videoStatus,videoTitle,playlistTitle,recoveredAt,publishedAt,YouTubeLink,CreatorName
RECOVERED,"Time Warp Scan Stitch Lever #1 - TikTok Compilation",characters,2023-01-13T14:00:01+01:00,2022-01-03T01:58:13+01:00,https://www.youtube.com/results?search_query=Time+Warp+Scan+Stitch+Lever+%231+-+TikTok+Compilation,"not available"
RECOVERED,"Marvel's Avengers Overview Breakdown   New Gameplay, Cosutumes and More!",characters,2022-12-22T18:30:01+01:00,2021-11-29T16:48:52+01:00,https://www.youtube.com/results?search_query=Marvel%27s+Avengers+Overview+Breakdown+++New+Gameplay%2C+Cosutumes+and+More%21,"not available"
RECOVERED,"Billie Eilish - Happier Than Ever (Unofficial Music Video)",characters,2022-07-28T00:30:02+02:00,2022-01-08T12:25:14+01:00,https://www.youtube.com/results?search_query=Billie+Eilish+-+Happier+Than+Ever+%28Unofficial+Music+Video%29,"not available"
RECOVERED,"People Did Exactly What They Were Asked To",characters,2022-12-12T04:30:01+01:00,2022-01-23T22:14:38+01:00,https://www.youtube.com/results?search_query=People+Did+Exactly+What+They+Were+Asked+To,"not available"
RECOVERED,"People Tried To Make A Panorama And Ended Up Opening The Gates Of Hell",characters,2022-11-21T12:00:01+01:00,2022-01-26T22:48:44+01:00,https://www.youtube.com/results?search_query=People+Tried+To+Make+A+Panorama+And+Ended+Up+Opening+The+Gates+Of+Hell,"not available"
RECOVERED,"funko store tour & tiny unboxing",characters,2022-06-28T20:00:01+02:00,2021-11-29T16:49:52+01:00,https://www.youtube.com/results?search_query=funko+store+tour+%26+tiny+unboxing,"not available"
RECOVERED,"Customers Share Their Worst McDonald’s Orders",characters,2022-09-04T12:30:02+02:00,2021-11-24T17:04:05+01:00,https://www.youtube.com/results?search_query=Customers+Share+Their+Worst+McDonald%E2%80%99s+Orders,"not available"
RECOVERED,"SMART PARENTING HACKS AND CRAFTS #shorts",characters,2022-07-08T14:30:02+02:00,2021-11-30T17:26:14+01:00,https://www.youtube.com/results?search_query=SMART+PARENTING+HACKS+AND+CRAFTS+%23shorts,"not available"
RECOVERED,"Billie Eilish - Happier Than Ever (Unofficial Music Video)",dance-pop!!!!!!,2022-07-28T00:30:02+02:00,2022-01-08T12:25:12+01:00,https://www.youtube.com/results?search_query=Billie+Eilish+-+Happier+Than+Ever+%28Unofficial+Music+Video%29,"not available"
RECOVERED,"2000s Pop Dance Hits Mix - Best Pop Party Songs 2000s",dance-pop!!!!!!,2022-11-21T12:00:01+01:00,2022-02-23T00:14:37+01:00,https://www.youtube.com/results?search_query=2000s+Pop+Dance+Hits+Mix+-+Best+Pop+Party+Songs+2000s,"not available"
RECOVERED,"Simpa pa pa polyubila (Simpa pa pa) - Michel Grimaldo",dance-pop!!!!!!,2022-10-13T00:30:01+02:00,2022-06-29T17:31:23+02:00,https://www.youtube.com/results?search_query=Simpa+pa+pa+polyubila+%28Simpa+pa+pa%29+-+Michel+Grimaldo,"not available"
