Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1527356902174502914,"RT @DANCEonFOX : Happiest of birthdays to our judge @itsjojosiwa! 🥳

We're so happy to have you with us this season. https://t.co/f5JjpsUUK4",JoJo Siwa!🌈❤️🎀,itsjojosiwa,2022-05-19T18:33:57.000Z,Thu May 19 18:33:57 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/FTI6U__VUAIAfAK.jpg,,,
1527343192017817609,RT @lifetimetv : Join us in wishing this 🌟 the happiest of birthdays!! @itsjojosiwa https://t.co/ZY1OQZzkfb,JoJo Siwa!🌈❤️🎀,itsjojosiwa,2022-05-19T17:39:28.000Z,Thu May 19 17:39:28 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/FTIkNAwVUAEPORN.jpg,,,
1527343158564384769,"RT @MaskedSingerFOX : Have a dino-mite birthday, @itsjojosiwa! 🦖 #TheMaskedSinger https://t.co/jv8qY0GFav",JoJo Siwa!🌈❤️🎀,itsjojosiwa,2022-05-19T17:39:20.000Z,Thu May 19 17:39:20 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,1,animated_gif,https://video.twimg.com/tweet_video/FTIfx9BVUAMfrin.mp4,,,
1527343119834161152,RT @papermagazine : HBD @itsjojosiwa 🤪🥳 https://t.co/DPHDPB7eBs,JoJo Siwa!🌈❤️🎀,itsjojosiwa,2022-05-19T17:39:11.000Z,Thu May 19 17:39:11 +0000 2022,0,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/FTIfl0YagAIO3cp.jpg,,,
1527087586250051590,"RT @justjaredjr : JoJo Siwa is trying new things and going on adventures in a new Facebook Watch series! 

https://t.co/qQjwzqU1Q0",JoJo Siwa!🌈❤️🎀,itsjojosiwa,2022-05-19T00:43:47.000Z,Thu May 19 00:43:47 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://www.justjaredjr.com/2022/05/18/jojo-siwa-to-go-on-adventures-in-new-facebook-watch-series-jojo-goes/ ,0,0,,,,,
1527087375406481411,"RT @FOX5Atlanta : #TheMaskedSinger Season Finale is is coming up NEXT! 🥳 Then, don't miss the dance competition series, #SYTYCD with judges @sir_twitch_alot, @itsjojosiwa and @matthewmorrison, premiering at 9 on FOX! https://t.co/gx6O2hf40N",JoJo Siwa!🌈❤️🎀,itsjojosiwa,2022-05-19T00:42:56.000Z,Thu May 19 00:42:56 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,3,photo,https://pbs.twimg.com/media/FTEDj-SXEAEmUNi.jpg,https://pbs.twimg.com/media/FTEDj-UXsAIbtVF.jpg,,
1527087325318094849,RT @TheView : TOMORROW: @itsjojosiwa joins us LIVE to tells us all about being the new judge on #SoYouThinkYouCanDance! #SYTYCD https://t.co/BJKT7P4cQp,JoJo Siwa!🌈❤️🎀,itsjojosiwa,2022-05-19T00:42:44.000Z,Thu May 19 00:42:44 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,1,photo,https://pbs.twimg.com/media/FTETVBRWQAAlSBX.jpg,,,
1527036734759919618,Idk about you but I'm lockin' in 2 hrs of EXCITING TV Tonight with #TheMaskedSinger Finale &amp; the @DANCEonFOX Season Premiere! 8-10p ET only on @foxtv! 📺  #SYTYCD,JoJo Siwa!🌈❤️🎀,itsjojosiwa,2022-05-18T21:21:43.000Z,Wed May 18 21:21:43 +0000 2022,307,49,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,2,2,,,,,
1527020694772428800,"RT @DANCEonFOX : Here’s a sneak peek of tonight’s season premiere of #SYTYCD 👀

Trust us, you DON’T want to miss it. Tune in at 9/8c on @FOXTV! https://t.co/5KLRTgxHEk",JoJo Siwa!🌈❤️🎀,itsjojosiwa,2022-05-18T20:17:58.000Z,Wed May 18 20:17:58 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,1,video,https://video.twimg.com/amplify_video/1527012900363042816/pl/BEOiegh9Myujsjc8.m3u8?tag=14&container=fmp4,,,
1526993698914897920,"RT @MaskedSingerFOX : Remember #FireflyMask's celeb bestie, @itsjojosiwa? Are you catching onto any clues? 👀 #TheMaskedSinger https://t.co/H0A5mBncDJ",JoJo Siwa!🌈❤️🎀,itsjojosiwa,2022-05-18T18:30:42.000Z,Wed May 18 18:30:42 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://twitter.com/MaskedSingerFOX/status/1506790637517037574 ,2,1,,,,,
