"S. no  ",Username,Date,Likes,Comment
,,,,
,"Media Link : https://www.tiktok.com/@itsjojosiwa/7124784523396631854/","Exported On : 08/26/2022 4:22 PM",,"Exported Using MaveSave.Com, Thanks For Choosing Us."
,,,,
1,kelseyrowe8,"Jul 26th, 2022, 8:54 PM",139544,"Girl. The TRAUMA 😭😭😭 I’m so sorry. 🥺"
2,lindseygilreath1,"Jul 26th, 2022, 9:11 PM",50477,"trichotillomania...hair pulling related to anxiety.... I had it when I was younger!"
3,x.vampire666.x,"Jul 26th, 2022, 9:24 PM",17423,"maybe i should stop picking my hair💀"
4,elevenstrangethings11,"Jul 26th, 2022, 8:48 PM",151367,"Dance moms seems stressful and I wasn’t even there"
5,kennneddyy,"Jul 26th, 2022, 9:00 PM",83985,"this is ~trauma baby~"
6,ily.kaedyn,"Jul 26th, 2022, 9:44 PM",17529,"i was stressed from dance moms and i wasnt even on the show"
7,bug_gutzz,"Jul 26th, 2022, 8:51 PM",330,"trichotillomania? I have it too."
8,.dist4nc3,"Aug 20th, 2022, 9:55 PM",3,"i have trichotillomania and i do this with my eye lashes only cause they grow back fast , it feels good to me idk why"
9,myshadowsdarkness,"Aug 17th, 2022, 12:27 AM",3,"ur carrying her love with u I love how u said it"
10,popliopopgotbannedagain,"Aug 16th, 2022, 1:34 AM",3,"I had to look at her name to know who she was cuz she don’t look like 2017 jojo siwa no nmo"
11,owo_titon_owo,"Aug 23rd, 2022, 12:12 AM",2,"pick at it? like pull your hair out??/gen (i ask cuz i see my little sis pulling on her hair or something and idk why)"
12,official_anya_forger3,"Aug 19th, 2022, 4:44 AM",2,"I love your new style :)"
13,amandaavila64,"Aug 22nd, 2022, 9:28 PM",1,"🥺🥺I feel sooo bad for ur hair🥺🥺🥺why did u have to cut it....."
14,happyhippehomesteader,"Aug 16th, 2022, 8:37 PM",2,"have you considered trying minoxidil it works wonders! as does rosemary oil"
15,alliemarsala,"Aug 15th, 2022, 2:33 AM",1,"Jojo siwa am your biggest fan"
16,nancyormond,"Aug 14th, 2022, 12:15 PM",1,"I liked your hair better long"
17,youbutternot22,"Aug 14th, 2022, 1:58 PM",1,"I just realized who u are! well hi! I've never heard of stress rash, but stress sure is an issue. you look good tho, healthy and happy. good for u 🥰"
18,ambeartv,"Aug 20th, 2022, 5:19 PM",2,"both sides get pulled actually"
19,suzaineanri1819,"Aug 14th, 2022, 8:14 AM",1,"Im big fan"
20,kellyskraftroom,"Aug 14th, 2022, 11:04 PM",1,"you're just a beautiful human. personality, looks, talent."
21,irelynnmullen,"Aug 15th, 2022, 3:57 AM",1,"JoJo I really love your TikTok’s and I love your song so much I dance to them all the time I love high top shoes other other kind of things"
22,pizzagang25,"Aug 21st, 2022, 12:13 PM",2,"what happened to the bow"
23,michelle.lee.t,"Aug 14th, 2022, 11:48 PM",1,"Why did you have to cut your hair I just want to know that!!!!!!"
24,janaaqid,"Aug 25th, 2022, 3:31 AM",1,"Use minoxidil"
25,meseme20,"Aug 16th, 2022, 12:04 AM",1,"Why did you cut off all your hair"
26,roryqpotter,"Aug 17th, 2022, 7:47 PM",3,"I’m literally writing a story about a crazy dance mom and the protagonist references Dance Moms a LOT"
27,aidanmanning666,"Aug 20th, 2022, 8:20 PM",2,"I used to pull my hair out but thank God it all grew back"
28,miaanthony955,"Aug 25th, 2022, 7:25 PM",0,"Why did you cut your hair"
29,myshadowsdarkness,"Aug 17th, 2022, 12:26 AM",1,lol
30,every710420day,"Aug 25th, 2022, 2:29 AM",0,"It makes sense I sometimes would notice myself scratching the rags and pulling my hair to then notice the hair loss on that spot"
31,caterpillar._._gallssss,"Aug 25th, 2022, 12:53 AM",0,"I have the same hair style"
32,lillxicat,"Aug 24th, 2022, 10:30 PM",0,"Oh my God 😳What happened to you like this 🥺"
33,proudlygothic,"Aug 24th, 2022, 10:30 PM",0,"Oh no I hope your ok now"
34,megzylegz84,"Aug 24th, 2022, 10:10 PM",0,"I’m proud of you growing into such a brave and beautiful young woman. I enjoyed watching you as a new mom lost in her 20’s. You inspire us!"
35,nickola_nova,"Aug 24th, 2022, 9:17 PM",0,"I couldn't imagine what all.of you went through during dance moms."
36,samanthablack55,"Aug 24th, 2022, 1:08 PM",0,"I did this to the front of my hair line 😿"
37,stroblewives,"Aug 24th, 2022, 8:15 AM",0,"As a mom😁 first off if you were that stressed out I wouldn't have kept you on the show! I could never do that to my daughter"
38,raebull1,"Aug 24th, 2022, 4:40 AM",0,"SAME!!!!!! I have a stress spot on my right side in the same spot!!!"
39,vanidakotimanusva,"Aug 24th, 2022, 3:55 AM",0,"Stress is one of the causes of hair falling out"
40,lauraine_martin,"Aug 24th, 2022, 3:22 AM",0,"Why did you cut your hair it was so pretty"
41,joannahuesca3,"Aug 24th, 2022, 2:02 AM",0,"I am your fan"
42,thebabbystar,"Aug 23rd, 2022, 10:44 PM",1,"When I was little I always listen to your music"
43,mariecassandra918,"Aug 23rd, 2022, 10:16 PM",0,"you're gorgeous"
44,galibruiz15,"Aug 23rd, 2022, 9:54 PM",1,"Why did you cut your hair 😳"
45,aishaminiworld,"Aug 23rd, 2022, 8:28 PM",0,Hi🥰
46,belladonna_817,"Aug 23rd, 2022, 6:25 PM",0,"I love your hair!! It’s so cute!!"
47,lawquishaishot23,"Aug 23rd, 2022, 4:28 PM",0,"Are you jojo?"
48,lovingheartspace,"Aug 23rd, 2022, 3:53 PM",0,"I’m so sorry. The pony tails did contribute though. I’m so sorry"
49,manniesaid,"Aug 23rd, 2022, 1:55 PM",0,"OMG JoJo You grew up so beautiful"
50,..xslzhy,"Aug 23rd, 2022, 9:52 AM",0,"middle part 🥺"
51,ponygirlboj,"Aug 23rd, 2022, 6:03 AM",0,"Why did you cut your hair"
52,felicia.lynn.320,"Aug 23rd, 2022, 5:28 AM",0,"I get that. I have a face picking disorder from a mix of stress anxiety and OCD"
53,ceku614,"Aug 23rd, 2022, 4:49 AM",0,"Why you cut your hair"
54,jlp10010,"Aug 23rd, 2022, 3:29 AM",0,"No little girl should have gone through the stress this stress. So sad to be put through this 😢😪"
55,libertarianvsliberal,"Aug 23rd, 2022, 3:24 AM",0,"I just love you. I never watched Dance Moms bc I tuned it for a moment and that woman seemed evil. Glad to get to know’ you"
56,lawpa2004,"Aug 23rd, 2022, 3:16 AM",0,"you poor thing. we love you so much!!!!"
57,eddiemunsonlover1300,"Aug 23rd, 2022, 12:22 AM",0,"You look so good with your short hair I can’t wait to see if I can meet you time maybe a concert or something"
58,ruledbyplanets,"Aug 23rd, 2022, 12:13 AM",0,"You look soooo much better without that damn bow! Slay, girl! Slay!"
59,connie618,"Aug 23rd, 2022, 12:10 AM",0,"Joe hi Joe Joe my name is Kaylee and I was wondering why did you cut your hair"
60,zoeyzeh,"Aug 22nd, 2022, 10:48 PM",0,"And my teacher said her favorite song was jojo song but my friend said oh nob"
61,menate09,"Aug 22nd, 2022, 10:27 PM",0,"Bro you actually look like Justin Bieber bro 😅😂😂😂😂😂😂😂😂"
62,krysnicole20,"Aug 22nd, 2022, 10:23 PM",0,"I have it too 🥺😭"
63,skye_misfit,"Aug 22nd, 2022, 10:17 PM",0,"Why the heck did you cut your hair"
64,hoperobertson601,"Aug 22nd, 2022, 9:32 PM",0,"This happens to my older sister when she's super stressed"
65,amandaavila64,"Aug 22nd, 2022, 9:28 PM",0,🥺
66,user3747790097517,"Aug 22nd, 2022, 9:24 PM",0,"Jojo siwa did you cut your hair"
67,j_kegs,"Aug 22nd, 2022, 6:53 PM",0,"You had such beautiful hair 😬😅😅"
68,crafty_momma_bear,"Aug 22nd, 2022, 6:50 PM",0,"my daughter thinks your hair is so awesome. you look great"
69,leslievargas573,"Aug 22nd, 2022, 6:14 PM",0,"where is your ponytail why did you cut your hair🧐🤨"
70,rokiarokiarokia,"Aug 22nd, 2022, 9:47 AM",1,"Justin Bieber"
71,smatsuki,"Aug 22nd, 2022, 7:12 AM",0,"Oh hey haven’t seen you in a while! Loving the short hair, tho as an aside sorry about the trauma 🥺"
72,momlife4me3,"Aug 22nd, 2022, 3:21 AM",0,"I get the same, at 38"
73,naybella2u,"Aug 22nd, 2022, 2:44 AM",0,🥰
74,chadroyvermont,"Aug 22nd, 2022, 2:43 AM",0,"Your understanding comes from seeing things from multiple perspectives"
75,kimakat7,"Aug 22nd, 2022, 2:02 AM",0,"didnt expect it"
76,colourful._.monke,"Aug 21st, 2022, 10:54 PM",0,"It’s called trichotilomania"
77,kayleehughes220,"Aug 21st, 2022, 10:50 PM",0,"I heard JoJo siwa is pregnant"
78,simplymemj,"Aug 21st, 2022, 9:57 PM",1,"Every time I see you and your authentic self and success I smile because she didn’t break you."
79,.ihe4rtadyy,"Aug 21st, 2022, 8:49 PM",0,"@texasgirl0908 it’s not bc of the pony tail lol luv u mum"
80,domm.a3p,"Aug 21st, 2022, 7:16 PM",0,"why did u cut ur hair"
81,taurusvibez4ever,"Aug 21st, 2022, 7:04 PM",0,"Is that a green screen in the background"
82,777_444kaash,"Aug 21st, 2022, 6:19 PM",0,"Is it just me or is Jojo getting fine ? 😂"
83,total.loser_,"Aug 21st, 2022, 8:24 AM",0,"Funny - (not actually funny if u know what i mean) but same thing happend to me - i had lots of stress as a kid and still do 😬"
84,p31ghtyn,"Aug 21st, 2022, 7:56 AM",0,"I was stressing out watching dance moms if I was in dance moms I would’ve had a freak out every day"
85,susan_chivers,"Aug 21st, 2022, 7:05 AM",0,"I'm so very sorry 🥺😳🥰"
86,7evelyn18,"Aug 20th, 2022, 11:58 PM",2,"Im actually really sorry for this 🥺"
87,perrysburgohiogirl,"Aug 20th, 2022, 11:20 PM",0,"I have that and it's from your hair being up too tight. sorry to burst your bubble but it's true"
88,phantom.the.ferret,"Aug 20th, 2022, 5:40 PM",0,"love the hair <3"
89,heidi_1111111,"Aug 20th, 2022, 5:30 PM",0,"Why did you cut your hair tho"
90,lindseyward11,"Aug 20th, 2022, 5:29 PM",0,"your voice....😍 that's all I could hear 😂"
91,jasepi13,"Aug 20th, 2022, 3:04 PM",1,"its alright girly. you are still beautiful!"
92,thatwitchfreya,"Aug 20th, 2022, 2:16 PM",1,"I pick at my scalp from stress/anxiety to the point of bald patches as well. You’re so brave to be speaking up about this. Know that my daughter 1/2"
93,juliarod72,"Aug 20th, 2022, 2:12 PM",3,"I have the same thing and with this natural treatment it’s Groming pretty good 😊"
94,theylove_p1p3r,"Aug 20th, 2022, 12:08 PM",0,"I have trick to It was so bad when I was younger that I had no eyelashes or eyebrows"
95,jovfairy,"Aug 20th, 2022, 11:44 AM",1,"I think Abby could make just about anybody's hair fall out 😂"
96,maeindecember,"Aug 20th, 2022, 4:53 AM",2,"Your short hair is so cute!"
97,jerenewilson,"Aug 20th, 2022, 4:37 AM",0,"I love that you are being true to you now . You deserve peace and authenticity!"
98,notlaylanieperez,"Aug 20th, 2022, 3:23 AM",0,"I love you"
