"S. no  ",Username,Date,Likes,Comment
,,,,
,"Media Link : https://www.tiktok.com/@itsjojosiwa/7101004079211564331/","Exported On : 08/26/2022 4:24 PM",,"Exported Using MaveSave.Com, Thanks For Choosing Us."
,,,,
1,rafsun9099,"May 23rd, 2022, 6:45 PM",7125,"can anyone see my COMMENT?"
2,.sweetxcamii,"May 23rd, 2022, 6:47 PM",3252,0%😭😭😭
3,fumetterya,"May 23rd, 2022, 6:43 PM",2521,"omg just saw the other one ahaha"
4,mrs.bench,"May 23rd, 2022, 7:00 PM",730,"I saw this one first!"
5,viennaskye,"May 23rd, 2022, 6:57 PM",92,"This one"
6,christinastrongtampa,"Aug 24th, 2022, 1:48 AM",0,0%first
7,supersienna3391,"Aug 18th, 2022, 11:29 PM",0,"This 1"
8,you.cant.buy.happiness,"Aug 15th, 2022, 2:56 PM",0,"Oddly this one passes the vibe"
9,eddsworld_fan_lol2341,"Aug 15th, 2022, 5:39 AM",0,"VERY energy"
10,joserosas4227,"Aug 13th, 2022, 11:35 PM",1,"JoJo you look sad but I really like your dance"
11,theyluvk_4,"Aug 13th, 2022, 4:55 PM",0,"this week"
12,difritzpooh59,"Aug 22nd, 2022, 3:41 PM",0,0%
13,drleemarie,"Aug 13th, 2022, 11:30 AM",0,1st
14,im_spongebob8,"Aug 12th, 2022, 12:30 PM",0,"I sall both but I sall the other one first"
15,urgirl_yerus,"Aug 22nd, 2022, 4:31 PM",0,"I saw this one first"
16,ykyk_april1,"Aug 12th, 2022, 1:36 AM",0,"I see this one"
17,monika_tocaboca1,"Aug 25th, 2022, 9:06 AM",0,"this one"
18,daltongonebad,"Aug 10th, 2022, 7:22 PM",0,This
19,zenitsu_offical04,"Aug 10th, 2022, 6:15 PM",0,"full energy"
20,i_really_like_y0u,"Aug 10th, 2022, 2:09 AM",0,"THISS ONEEEEEEEE"
21,denishaasberry,"Aug 10th, 2022, 12:44 AM",0,"She funny😅😁"
22,shadowrock786,"Aug 6th, 2022, 12:22 PM",0,"The one full energy 😏"
23,ffionworsey837,"Aug 5th, 2022, 2:29 PM",0,"This ine"
24,tanayalin,"Aug 5th, 2022, 5:41 AM",0,"its just i see on tiktok and not on your youtub so show your short hiar in your youtub cus i was sprised to see it sooo short"
25,halo_arts16.17,"Aug 4th, 2022, 8:49 PM",0,"I saw the other one first!"
