"S. no  ",Username,Date,Likes,Comment
,,,,
,"Media Link : https://www.tiktok.com/@itsjojosiwa/7126978637865209134/","Exported On : 08/26/2022 4:24 PM",,"Exported Using MaveSave.Com, Thanks For Choosing Us."
,,,,
1,yeahkillak,"Aug 2nd, 2022, 2:13 PM",1820,"JOJO YOU KILLED IT"
2,me.just.a.normal.person,"Aug 1st, 2022, 7:44 PM",1203,"I have the same shoes LOL"
3,that_idiot.ruby,"Aug 1st, 2022, 9:18 PM",651,Slayy
4,tills_x00,"Aug 26th, 2022, 1:57 PM",0,"Do u regret cutting ur hair xxx"
5,paigiebabe83,"Aug 26th, 2022, 3:12 AM",0,"killer best dancer in the world and I was at ur concert last year what happened at the end"
6,haleyreid296,"Aug 25th, 2022, 3:25 AM",1,slayyyyyyyy
7,hi_prextty,"Aug 24th, 2022, 6:38 AM",0,"Your house 😎"
8,bxdliiar_xx1,"Aug 23rd, 2022, 10:43 PM",0,"I love ur energy so much😭😭😭"
9,hoesluv_milyy,"Aug 23rd, 2022, 9:14 PM",0,"my sister has that shoes"
10,ironmangal,"Aug 23rd, 2022, 12:57 AM",0,"hope your baby is ok 🥰"
11,shanjack86,"Aug 22nd, 2022, 1:49 PM",0,"this video makes me smile when I'm having a bad day🥺"
12,your._local._anime_lover,"Aug 22nd, 2022, 11:34 AM",0,"you own this sound now"
13,malani238,"Aug 22nd, 2022, 1:38 AM",0,Okay!!!
14,horsegirlrodeo13,"Aug 21st, 2022, 11:01 PM",0,"Your hair is just like me 🥰🥰🥰"
15,robynjolie0,"Aug 21st, 2022, 9:51 PM",0,"JoJo does the dance better than other tiktoks😁"
16,4stup1d_k1d1,"Aug 21st, 2022, 4:08 PM",0,"I really tried to learn this dance💀😭"
17,gabbywabby20117,"Aug 21st, 2022, 3:29 PM",0,"U did this dance better than everyone else"
18,laylamattix,"Aug 21st, 2022, 1:40 PM",0,"i like it jojo"
19,.blushhy_,"Aug 21st, 2022, 8:15 AM",3,"Well if ur gonna yell at me I’m gonna cry 🥺"
20,analaura2012_yeababy,"Aug 20th, 2022, 7:50 PM",0,"Nice 👍🏻"
21,jaxsonrives645,"Aug 20th, 2022, 5:06 PM",0,Yeah
22,multidomus,"Aug 20th, 2022, 12:25 PM",0,"so good vibes"
23,chadfgroff,"Aug 20th, 2022, 2:51 AM",0,"You got that friw dance moms"
24,cordaebounds737,"Aug 19th, 2022, 11:20 PM",0,"hi JoJo"
25,aarenwatson,"Aug 19th, 2022, 10:46 PM",0,"Dang jojo your good at everything!"
26,cricketsgram,"Aug 19th, 2022, 9:19 PM",0,"May I have some of your energy please? 😍"
27,ich_mag_pizza6,"Aug 19th, 2022, 9:06 PM",0,"@joealbanese is better 😂"
28,isxaabellaa,"Aug 19th, 2022, 7:51 AM",0,"Omg I just love ur converse 🥹 I also have them!!"
29,ginabraydenamendo,"Aug 19th, 2022, 3:33 AM",1,"I love this girl prob more than I should 😏"
30,sincerespov,"Aug 19th, 2022, 2:17 AM",0,"when will ppl realize she's not who she says she is."
31,iloveboldguys7614,"Aug 19th, 2022, 12:42 AM",0,"@charlidamelio DO THIS"
32,snow_bunny91,"Aug 18th, 2022, 10:43 PM",0,"😁🥰🥰I wish I could come to you but if you could I live in Tennessee Knoxville but I wish I can come JoJo Siwa you’re my favorite one and I"
33,milimo97882,"Aug 18th, 2022, 9:53 PM",1,"l love the dance"
34,skyhunteryessssssq,"Aug 18th, 2022, 6:38 PM",0,Omgggg
35,ande4_life,"Aug 18th, 2022, 5:25 PM",1,"Imagine having star shoes👹"
36,idontreallyknow72,"Aug 18th, 2022, 2:01 PM",0,"How can she be pregnant"
37,restrooom,"Aug 18th, 2022, 7:50 AM",0,slayyyyyyy
38,haydreade,"Aug 18th, 2022, 3:40 AM",0,"Get it girl"
39,preppy_world81,"Aug 18th, 2022, 1:44 AM",0,"I been trying to learn the dance"
40,sevilfayyazi,"Aug 17th, 2022, 6:36 PM",0,My
41,music.______.fairy22k,"Aug 17th, 2022, 5:30 PM",0,"Where exactly did you get the shirt also SLAYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY!!!"
42,sawyer..mae,"Aug 17th, 2022, 3:04 PM",0,"Love this dance!!!!!!"
43,mlkewheel3r,"Aug 17th, 2022, 3:01 PM",2,"Hi Jojo"
44,user677401389,"Aug 17th, 2022, 2:59 AM",0,"I am big fan"
45,sleepy.babie,"Aug 17th, 2022, 2:48 AM",0,"U rock"
46,mr.white.monkey,"Aug 17th, 2022, 2:48 AM",0,"matty B"
47,destineeraee,"Aug 16th, 2022, 11:52 PM",0,"Are you letting your hair grow out or something??"
48,kixsysamx,"Aug 16th, 2022, 8:12 PM",0,"I have the same shoes<3"
49,mydeadbodywasfound,"Aug 16th, 2022, 7:02 PM",0,"so beautiful red converse"
50,paizlee_gunther,"Aug 16th, 2022, 5:30 PM",1,"you should do this dance with everleigh!"
51,thefroggyjudge,"Aug 16th, 2022, 2:58 PM",0,"are you going to continue to cut it?😊"
52,aprilcharityy,"Aug 16th, 2022, 2:53 PM",0,"Need one more for good vibes 🥰🥰"
53,sapphire..walffal,"Aug 16th, 2022, 11:44 AM",1,"GO GIRL"
54,lexilu04,"Aug 16th, 2022, 3:33 AM",0,"if you didn't know my name is Alexia"
55,matt.g_3,"Aug 16th, 2022, 3:21 AM",0,what
56,kk2010_spamzz,"Aug 16th, 2022, 2:50 AM",0,"@eddie_edits_4life ok but you and her when you where younger but you now and her😏😳"
57,beethemaskedupqueen23,"Aug 16th, 2022, 12:18 AM",0,"I love when you do this dance!!!! 😁"
58,kagielovesramen1,"Aug 16th, 2022, 12:18 AM",0,Yasss
59,julissa.r,"Aug 15th, 2022, 10:16 PM",0,"Jojo Hii you are so cool!!!"
60,el3v3n.._4nd._m4x,"Aug 15th, 2022, 10:01 PM",0,JOJO?
61,bgat48,"Aug 15th, 2022, 8:21 PM",1,"I love your energy jojo🥰"
62,kapi_cake2000,"Aug 15th, 2022, 3:47 PM",0,"I love your energy 😁😁😁"
63,aa_dockalova,"Aug 15th, 2022, 3:04 PM",0,"girl 😻"
64,gayfogel,"Aug 15th, 2022, 11:28 AM",0,"Are you planning to grow out?"
65,rozikk1234,"Aug 15th, 2022, 10:51 AM",0,Hii!!
66,you_are_cute_and_funny,"Aug 15th, 2022, 10:32 AM",0,"omg! u slayed"
67,wika1ksks,"Aug 15th, 2022, 7:21 AM",0,"I still remember when you were little"
68,shialino_stay_moa,"Aug 15th, 2022, 6:48 AM",1,SLAYED
69,mamabearto_2,"Aug 15th, 2022, 6:02 AM",0,"My daughter is a new fan of yours🥰🥰🥰❤️❤️❤️❤️She's 4🥰 Her name is aria 🥰🥰"
70,fivesweetbuns,"Aug 15th, 2022, 3:05 AM",0,"no, just no look at ur old pony and compare JoJo 😭"
