"S. no  ",Username,Date,Likes,Comment
,,,,
,"Media Link : https://www.tiktok.com/@itsjojosiwa/7124490375091473710/","Exported On : 08/26/2022 4:25 PM",,"Exported Using MaveSave.Com, Thanks For Choosing Us."
,,,,
1,cordelialauryn7,"Jul 26th, 2022, 1:46 AM",13917,"Dude you could really nail a Miley song. You’ve improved so much and I’m so grateful you exist 🥰"
2,billietour,"Jul 26th, 2022, 3:25 PM",485,"I mean this isn’t the worst…"
3,itsthebrownheaded.girl,"Jul 26th, 2022, 1:46 AM",4126,"JOJO YOUR VOCALS ARE SO IMPRESSIVE 🔥🤍"
4,imjuatarandomperson123,"Aug 17th, 2022, 11:50 PM",1024,"I don’t know why it’s weird to hear her cuss but I mean do what u want jojo"
5,lishaschords,"Jul 26th, 2022, 3:18 AM",179,"omg you’re cursing lol"
6,_kyraquintero_,"Jul 26th, 2022, 1:55 AM",454,"WHOOO HURTTT UUUU JOJOOOO!❤️😭🌸"
7,ashley_harcus7,"Jul 26th, 2022, 1:44 AM",1024,"Okay but all of Billies songs are fire🔥"
8,850queenv,"Jul 26th, 2022, 1:44 AM",40836,"Literally every female in the car alone 😂"
9,amandaremmert,"Jul 26th, 2022, 8:49 AM",11314,"it feels illegal to hear you cuss"
10,zodiac.obsessed1,"Aug 18th, 2022, 6:47 AM",1099,"Well it’s a step up from boomerang"
11,hiwelcometozulgeys,"Jul 26th, 2022, 4:05 AM",7272,"Jojo cursing in anything has to be the best thing ever"
12,zach_green123,"Jul 26th, 2022, 1:44 AM",5774,"Bro what💀"
13,_josealfonzo,"Jul 26th, 2022, 1:43 AM",12287,"jojo should make a sad song 😃"
14,official_bellaxxx,"Jul 26th, 2022, 2:43 AM",4325,"This just sounds like a heart break."
15,ev._a15,"Jul 26th, 2022, 1:42 AM",3753,"What 💀"
16,user283748399193774732,"Jul 26th, 2022, 1:47 AM",6815,"Hearing Jojo cus is MY therapy"
17,laurengodwin,"Jul 26th, 2022, 8:21 AM",1470,"The Kelly clarkson version is elite"
18,the_euphoria_vibez,"Aug 16th, 2022, 10:01 PM",100,"What happening to kid freindly jojo"
19,togalsmyfav,"Aug 14th, 2022, 10:56 AM",162,"didn't know you sweared"
20,.material._,"Aug 10th, 2022, 1:45 AM",70,"Feels wrong to hear her cuss"
21,.zenitsuo_o,"Aug 26th, 2022, 4:13 PM",0,"absolutely love this so astonishing 😧❤"
22,l0wkwy..abbie,"Aug 26th, 2022, 3:55 PM",0,"It’s feels illegal to hear jojo cus"
23,idoeditswow,"Aug 26th, 2022, 3:46 PM",1,"Sing or Steve Harrington dies. Me:"
24,x.theoneandonlyruby.x,"Aug 26th, 2022, 3:03 PM",0,"@Chlo 🤷‍♀️🤷‍♀️ bro she sounds so good omg"
25,phkanitz2011,"Aug 26th, 2022, 1:32 PM",0,"JoJo you are awesome one day I wish to meet you in person I’m a big fan of you and I see that you did a video Chelsea aunt Jax"
26,sashaandbritney2,"Aug 26th, 2022, 1:03 PM",0,"Can you sing happier by marshmallow"
27,bella_rosegirls,"Aug 26th, 2022, 12:54 PM",0,"your hair is sooo pretty jojo😁"
28,like_kid_why,"Aug 26th, 2022, 12:08 PM",0,"thought you were good at singing"
29,imnoone625,"Aug 26th, 2022, 11:50 AM",0,"woah jojosiwa change."
30,gemstonedonut,"Aug 26th, 2022, 11:48 AM",0,"Good voice though"
31,mel_urgirl2009,"Aug 26th, 2022, 11:29 AM",0,"Hi JoJo siwa, I love your vids and you too... omg"
32,suzannemurphy1,"Aug 26th, 2022, 10:09 AM",0,Omg
33,noahhsnd,"Aug 26th, 2022, 9:33 AM",0,"not gonna hate but.. i really miss the old you."
34,bacon.xxxxx,"Aug 26th, 2022, 8:50 AM",0,"is that your real haircut now?"
35,cutegirl_9283,"Aug 26th, 2022, 8:01 AM",1,"Chill 😂"
36,mxyleen__,"Aug 26th, 2022, 6:39 AM",1,"What is The Name of This Song ?"
37,cloclo.kaykay,"Aug 26th, 2022, 4:45 AM",0,"Girl! You would rock a Melanie Marteenez song!"
38,ariana_tischler,"Aug 26th, 2022, 3:42 AM",0,"I'm a big fan of you JoJo you inspired me"
39,kaykay.gracie,"Aug 26th, 2022, 2:41 AM",0,"I actually never heard her cuss before but do what you do JoJo"
40,olivia.october,"Aug 26th, 2022, 1:35 AM",2,"❤🧡💛💚💙💜 we got you babe. let it all out!"
41,slaying567,"Aug 26th, 2022, 1:25 AM",0,"Jojo let me tell you something I been watching you since I was 4 but then I stopped I kinda forgot about you and I loved your old videos babysitting!!"
42,aidan_mcgavin20,"Aug 26th, 2022, 1:15 AM",0,"this is giving me pink vibes 🥰🥰"
43,candacetocaboca,"Aug 26th, 2022, 1:04 AM",0,😳
44,arianamiller753,"Aug 26th, 2022, 12:55 AM",1,"What did you do to your hair"
45,user2180982577803,"Aug 26th, 2022, 12:43 AM",0,"Did she learn how to cuss…"
46,sashaandbritney2,"Aug 26th, 2022, 12:52 PM",0,"Yo she swore"
47,alexis_young7,"Aug 26th, 2022, 12:18 AM",3,"why are people being rude to her, honestly she sounds beautiful!"
48,briiidababymama,"Aug 26th, 2022, 12:17 AM",0,Yeeeees!!!!!!!!
49,user9619254262595,"Aug 25th, 2022, 11:52 PM",1,"Jojo I love that song 🥰🥰"
50,layzccz,"Aug 25th, 2022, 10:51 PM",0,"the haircut😨"
51,gemstonedonut,"Aug 26th, 2022, 11:48 AM",0,"So good though"
52,not_erin136,"Aug 25th, 2022, 10:34 PM",2,"Make this a sound!"
53,hair_wipersforthewin10,"Aug 25th, 2022, 8:42 PM",1,"I watch you on dance moms it so funny😂"
54,hearts4you21,"Aug 25th, 2022, 8:31 PM",1,"Shhhhh, keep it down"
55,poppys_daddy428,"Aug 25th, 2022, 8:23 PM",1,hi
56,funnymaninasuit,"Aug 25th, 2022, 8:10 PM",1,"SLAY JOJO"
57,thosecheergirls,"Aug 25th, 2022, 8:09 PM",1,"You cut your hair😳"
58,bella._3178,"Aug 25th, 2022, 7:37 PM",2,"I WAS LIKE :0 YOU CUSS"
59,enilylunabarneyis,"Aug 25th, 2022, 7:03 PM",0,"Can I have a shout out"
60,userfriendlyecobag,"Aug 25th, 2022, 6:45 PM",0,"please sing because i liked a boy by sabrina!"
61,audreyshocuspocus,"Aug 25th, 2022, 6:26 PM",3,"Its the caption for me 💀"
62,marshmallo_latte,"Aug 25th, 2022, 5:03 PM",0,"this is literally the anthem of my relationship with my mother"
63,beast.football8,"Aug 25th, 2022, 4:56 PM",0,"Can you hang out with tydus Travancore YouTube channel"
64,notnow467,"Aug 25th, 2022, 3:52 PM",0,Hi
65,i_love_ur_moms_tits_,"Aug 25th, 2022, 3:47 PM",0,"Is ur gf in ny"
66,maxinerodriguez4,"Aug 25th, 2022, 3:23 PM",0,"Nice 😎"
67,ninjaturtle.l,"Aug 25th, 2022, 3:20 PM",0,"I got chills"
68,.acting_life2022,"Aug 25th, 2022, 2:39 PM",1,"Its like that she have her hair shorter"
69,delaney.spamzz02,"Aug 25th, 2022, 1:46 PM",0,"You can rlly pull of a Taylor swift song try it plssssss 😁😁😁😁😁"
70,stinkychickenfingers23,"Aug 25th, 2022, 1:00 PM",0,Hi
71,whos1aya,"Aug 25th, 2022, 12:12 PM",0,"Can u do an Egyptian song PLEASSSS"
72,lexgamerqueen,"Aug 25th, 2022, 11:37 AM",0,"That was me one time"
73,lexgamerqueen,"Aug 25th, 2022, 11:37 AM",0,"O-O lol"
74,ashleyrobinson676,"Aug 25th, 2022, 11:32 AM",0,"Girl ur the queen 🥰"
75,jinxdrama,"Aug 25th, 2022, 8:41 AM",2,"Jojosiwa became emo /jj your lovely girly voice before is still in you girl your not good with those songs"
76,comedancewithme2145,"Aug 25th, 2022, 8:28 AM",1,"wow I've never heard you swear before lol"
77,.girls.stitch,"Aug 25th, 2022, 8:25 AM",1,"Bedroom Tour😏"
78,hhhhhhcynthia.08fft,"Aug 25th, 2022, 8:23 AM",0,"so brocken 🖤😔💔"
79,w0nqryy,"Aug 25th, 2022, 8:16 AM",1,What
80,pr0ximat3,"Aug 25th, 2022, 8:05 AM",2,"That moment when you hear somebody curse that you’ve never heard curse before"
81,chy.enne2,"Aug 25th, 2022, 7:42 AM",0,"@@I love JoJo and I wish you can come to my birthday and my birthday is in five more days can you come please dojo I really hope you can come because"
82,chy.enne2,"Aug 25th, 2022, 7:41 AM",0,"@Come to my birthday please I really love your videos to please come to my birthday birthday JoJo come to my birthday JoJo birthday JoJo"
83,lesbian_lindsay,"Aug 25th, 2022, 6:56 AM",0,"Break up song"
84,bellashowers2,"Aug 25th, 2022, 2:57 AM",0,"I love this song"
85,thebook_reader,"Aug 25th, 2022, 1:14 AM",0,"You’re so good at singing 😁"
86,ur.girl.gray,"Aug 25th, 2022, 1:09 AM",2,"oml ilyur voice but pls pls pls do victorias secret alone in car??? 🥰"
87,tiopancito0,"Aug 25th, 2022, 12:29 AM",2,"music like this feels good keep it up keep it up"
88,emmajane122,"Aug 25th, 2022, 12:11 AM",2,"I have a question do you know Kayla corral"
89,richkidcary,"Aug 24th, 2022, 11:57 PM",1,"JoJo Siwa I’m your biggest fan"
90,ir1sandm3riam,"Aug 24th, 2022, 11:31 PM",2,"Slay girl!🥰🥰"
91,_lover_loser_,"Aug 24th, 2022, 10:49 PM",2,"tbh I think it sounds really good!"
92,avocadolover61,"Aug 24th, 2022, 10:46 PM",0,"Slay girl"
93,killear_1105,"Aug 24th, 2022, 9:50 PM",0,"girl I never heard you sing anything but kids music you can write other music too"
94,uneven.stephens,"Aug 24th, 2022, 9:30 PM",1,"@mia Jono siwa swore"
95,grumpygoblinz,"Aug 24th, 2022, 9:20 PM",1,"ok but you have such a cool and nice voice i want more singing vids"
96,miacaepop,"Aug 24th, 2022, 8:52 PM",0,"love it"
97,saigeloves3,"Aug 24th, 2022, 8:52 PM",0,"Why did you cut your hair"
98,nattygwhiz,"Aug 24th, 2022, 7:41 PM",8,"Sis isn’t belting she’s screaming"
99,daya_torres19,"Aug 24th, 2022, 7:29 PM",0,🥺
100,definitely.yo.bestfriend,"Aug 24th, 2022, 6:14 PM",0,"Song name?"
101,priddy_tee8,"Aug 24th, 2022, 6:03 PM",0,"look good in short hair"
102,sienna_adrian07,"Aug 24th, 2022, 6:03 PM",0,"@niamh❤️‍🩹 please scream this with me xx"
103,preppy_preppypants,"Aug 24th, 2022, 6:00 PM",0,"GO GIRL"
104,aaronharrisimvu,"Aug 24th, 2022, 4:37 PM",0,"JoJo did you cut your hair"
105,lilsw33tdisaster,"Aug 24th, 2022, 4:16 PM",1,"I definitely need more 🥲💟"
106,shadowgirls030,"Aug 24th, 2022, 2:37 PM",2,"is that car a Lamborghini 😁"
107,s.tring,"Aug 24th, 2022, 2:14 PM",1,"Me in the car but morrissey"
108,b4b3st4ti0n,"Aug 24th, 2022, 1:47 PM",0,"i do tho"
109,ilikestrangerthings1.0,"Aug 24th, 2022, 12:59 PM",0,"Perfect 😁"
110,user5581148766798,"Aug 24th, 2022, 12:58 PM",0,Hi
111,ellieeb23,"Aug 24th, 2022, 10:53 AM",3,"Money doesn’t buy happiness but…..This is what I mean when I say I’d rather be sing-crying in a lambo. ❤️😂"
112,certified_freak690,"Aug 24th, 2022, 9:59 AM",1,"Yo you kinda sound like pink-"
113,x._.itss.evvv._.x,"Aug 24th, 2022, 8:52 AM",0,"@sootifieds omg"
114,carlymay122,"Aug 24th, 2022, 8:13 AM",0,"I have been such a big fan of u jojo"
115,billlies.wife,"Aug 24th, 2022, 7:53 AM",0,"@BILLIE EILISH LOOK !"
116,blinkyboo2013,"Aug 24th, 2022, 7:34 AM",0,"LOL get it girl"
117,ur..weird.com,"Aug 24th, 2022, 5:35 AM",2,"I grew up watching you on dance moms and seeing this makes me remember I'm old 😭😭"
118,phillygirl03,"Aug 24th, 2022, 4:43 AM",0,"There is no telling how many times i have come back to watch this. Jojo you inspire me."
119,elyssa2014,"Aug 24th, 2022, 3:41 AM",0,"I watch you two years"
120,stopgatchaheatrightnow,"Aug 24th, 2022, 2:22 AM",1,"I miss when you were kid friendly well you still are but........... I LOVE YOUR SONGS I LOVE BOOMRANG"
121,_lucymckay,"Aug 24th, 2022, 2:19 AM",1,"@nokarla4u @evie.hanlon that's it. that was my thirteenth reason."
122,livvvv1173,"Aug 24th, 2022, 2:01 AM",1,"Slay Jojo✨✨"
123,jodie.helenx,"Aug 24th, 2022, 1:54 AM",0,"@taylor 💋 she’s actually really good"
124,lilo_stitch_.0,"Aug 24th, 2022, 1:37 AM",0,"I remember when you were really girly I always wanted to be in one of your concerts"
125,problem_cat452,"Aug 24th, 2022, 1:22 AM",0,"Ur AMAZING 🥰🥰"
126,problem_cat452,"Aug 24th, 2022, 1:22 AM",0,Jk😌
127,problem_cat452,"Aug 24th, 2022, 1:21 AM",0,"I didn’t know cuss…"
128,jxcelynrafael,"Aug 24th, 2022, 1:16 AM",1,"I never knew you know cuss words"
129,prettygowrls654,"Aug 24th, 2022, 12:16 AM",1,"This is me home alone"
130,izzylovespink14andyall,"Aug 23rd, 2022, 11:53 PM",2,"I’m an big fan Jojo siwa"
131,ships295,"Aug 23rd, 2022, 11:14 PM",1,"your the best"
132,zaimymelgar7,"Aug 23rd, 2022, 10:53 PM",0,😅
133,shazlinegross,"Aug 23rd, 2022, 9:59 PM",1,😆😆😆
134,minyeong...winter,"Aug 23rd, 2022, 9:58 PM",3,"The emotion, the vocals, ITS EVERYTHING"
135,mariahjackalynn14_4_25,"Aug 23rd, 2022, 8:53 PM",1,"I LOVE THIS 🥰🥰🥰❤️❤️❤️❤️❤️"
136,bailey05mf,"Aug 23rd, 2022, 8:24 PM",1,"the emotion 😳😳😳"
137,jjaejjishere,"Aug 23rd, 2022, 8:06 PM",0,"You guys r honestly going in on her rlly hard. I think she has a lot of potential:)) sing smth else for us"
138,kanade_tachibana2,"Aug 23rd, 2022, 7:15 PM",0,"Oh gosh"
139,whyyougottabesorude6,"Aug 23rd, 2022, 7:02 PM",0,"I love this🥰😍"
140,x_emzcats_x,"Aug 23rd, 2022, 5:32 PM",0,"I didn’t know she actually had long hair wait what"
141,leilai10112,"Aug 23rd, 2022, 4:39 PM",0,"Why did you cut your hair JoJo"
142,beckahbabyy,"Aug 23rd, 2022, 4:27 PM",2,"Played this song and my dog is in love"
143,karahill12102,"Aug 23rd, 2022, 4:01 PM",0,hi
144,julienetterosa,"Aug 23rd, 2022, 3:51 PM",2,"IM SCREAMING💀😭💀"
145,alainaafaith,"Aug 23rd, 2022, 1:01 PM",0,"You’re so pretty man"
146,killamikeproductions,"Aug 23rd, 2022, 12:53 PM",1,"my daughter is ur biggest fan"
