Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1527505356687122469,RT @ArianaToday : Ariana’s third studio album “Dangerous Woman” turns 6 today! What are your top 3 favorite songs on the album? 🐰 https://t.co/a1w3RTNFRh,Ariana Grande’s Spotify,AGsSpotify,2022-05-20T04:23:51.000Z,Fri May 20 04:23:51 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FTLEnnQWQAAOSXa.jpg,,,
1526589539917119490,taste isn’t as common as you think https://t.co/UzbVL5jmzb,Ariana Grande’s Spotify,AGsSpotify,2022-05-17T15:44:43.000Z,Tue May 17 15:44:43 +0000 2022,63,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FS-JGHqWUAENYSw.jpg,https://pbs.twimg.com/media/FS-JGHsXsAE98jl.jpg,,
1526001791023841281,Ariana if she didn’t have one less problem https://t.co/i32Csz4QnZ,Ariana Grande’s Spotify,AGsSpotify,2022-05-16T00:49:13.000Z,Mon May 16 00:49:13 +0000 2022,89,8,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1526001758320922626/pu/vid/720x744/-TW9i_sjfyrBix7H.mp4?tag=12,,,
1525871807542198272,Ariana Grande and Nicki Minaj remain the best selling and most successful female duo of all time. https://t.co/G0DNPRuoWf,Ariana Grande’s Spotify,AGsSpotify,2022-05-15T16:12:42.000Z,Sun May 15 16:12:42 +0000 2022,3887,426,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FSz8T-EX0AMjzne.jpg,,,
1525603857421697024,https://t.co/uJDOkV2v6A,Ariana Grande’s Spotify,AGsSpotify,2022-05-14T22:27:58.000Z,Sat May 14 22:27:58 +0000 2022,10,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,https://twitter.com/agsspotify/status/1524849018735673346 ,0,0,,,,,
1525603501572775938,this is the song Ariana was streaming the other day https://t.co/JAcoE67srx,Ariana Grande’s Spotify,AGsSpotify,2022-05-14T22:26:33.000Z,Sat May 14 22:26:33 +0000 2022,64,3,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/janellelovestv/status/1525279247799033857 ,0,0,,,,,
1525535670873296899,.@ArianaGrande’s “7 rings” is now less than 700K units away from becoming diamond eligible. https://t.co/OEewQQsBP2,Ariana Grande’s Spotify,AGsSpotify,2022-05-14T17:57:01.000Z,Sat May 14 17:57:01 +0000 2022,216,37,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,animated_gif,https://video.twimg.com/tweet_video/FSvKml5XsAEn-GE.mp4,,,
1524853459278766080,https://t.co/SZkUOEAAnJ,Ariana Grande’s Spotify,AGsSpotify,2022-05-12T20:46:09.000Z,Thu May 12 20:46:09 +0000 2022,275,1,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,https://twitter.com/agsspotify/status/1524853330534711296 ,0,0,,,,,
1524853330534711296,Ariana Grande is currently listening to “22 (Taylor’s Version)” by @taylorswift13,Ariana Grande’s Spotify,AGsSpotify,2022-05-12T20:45:39.000Z,Thu May 12 20:45:39 +0000 2022,1741,111,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1524853148455780361,Ariana Grande skipped “22” by @taylorswift13,Ariana Grande’s Spotify,AGsSpotify,2022-05-12T20:44:55.000Z,Thu May 12 20:44:55 +0000 2022,2543,124,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1524852483104854017,Ariana Grande is currently listening to “OTHERSIDE” by @Beyonce,Ariana Grande’s Spotify,AGsSpotify,2022-05-12T20:42:17.000Z,Thu May 12 20:42:17 +0000 2022,465,43,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1524851695834087436,Ariana Grande is currently listening to “Sour Candy” by @ladygaga &amp; @BLACKPINK,Ariana Grande’s Spotify,AGsSpotify,2022-05-12T20:39:09.000Z,Thu May 12 20:39:09 +0000 2022,264,19,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,2,,,,,
1524851177971761170,Ariana Grande is currently listening to “The Night Is Still Young” by @NICKIMINAJ,Ariana Grande’s Spotify,AGsSpotify,2022-05-12T20:37:05.000Z,Thu May 12 20:37:05 +0000 2022,1591,140,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1524849745461936128,@macsearraigh_ @KekePalmer https://t.co/2Nmormr29Q,Ariana Grande’s Spotify,AGsSpotify,2022-05-12T20:31:24.000Z,Thu May 12 20:31:24 +0000 2022,2,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,https://open.spotify.com/track/4PVJFtOwdklRelHvf339gB?si=A98eGz_ASLeU8T26IbCrVA ,0,2,,,,,
1524849018735673346,Ariana Grande is currently listening to “Love You Hate You (feat. @KekePalmer)” by Rags Cast,Ariana Grande’s Spotify,AGsSpotify,2022-05-12T20:28:31.000Z,Thu May 12 20:28:31 +0000 2022,50,4,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1524840230804672525,"Bang Bang by  @JessieJ, @NICKIMINAJ &amp; Ariana Grande is now 100k units away from being certified diamond 💎 in the US. https://t.co/K0MNW802Qc",Ariana Grande’s Spotify,AGsSpotify,2022-05-12T19:53:35.000Z,Thu May 12 19:53:35 +0000 2022,276,45,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,2,photo,https://pbs.twimg.com/media/FSlSG5pXEAAdj7p.jpg,,,
1524594533870276610,Ariana Grande is currently listening to “Bottoms Up 2.0” by @KekePalmer,Ariana Grande’s Spotify,AGsSpotify,2022-05-12T03:37:17.000Z,Thu May 12 03:37:17 +0000 2022,43,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1524593350761926657,Ariana Grande is currently listening to “Blow Your Mind (Mwah)” by @DUALIPA,Ariana Grande’s Spotify,AGsSpotify,2022-05-12T03:32:35.000Z,Thu May 12 03:32:35 +0000 2022,119,5,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1524592353968889856,Ariana Grande is currently listening to “Don’t Wanna Be Torn” by Hannah Montana,Ariana Grande’s Spotify,AGsSpotify,2022-05-12T03:28:37.000Z,Thu May 12 03:28:37 +0000 2022,108,5,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1524457756564103168,we won https://t.co/PPTM9qE8RO,Ariana Grande’s Spotify,AGsSpotify,2022-05-11T18:33:46.000Z,Wed May 11 18:33:46 +0000 2022,268,15,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FSf2P8PXEAAA4by.jpg,,,
1524453114409111552,i don’t see pov https://t.co/cunkuXFVMo,Ariana Grande’s Spotify,AGsSpotify,2022-05-11T18:15:20.000Z,Wed May 11 18:15:20 +0000 2022,103,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/PopBase/status/1524452307106103296 ,0,0,,,,,
1524093272167227392,OMG https://t.co/LwuxV77x6F,Ariana Grande’s Spotify,AGsSpotify,2022-05-10T18:25:27.000Z,Tue May 10 18:25:27 +0000 2022,764,45,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FSaqwQWX0AAunU3.jpg,,,
1524089526976757764,"RT @PopCrave : Frankie Grande has married Hale Leon in a 'Star Wars' themed wedding:

“I’m married to the man of my dreams, our families have merged together so beautifully, and we are well on our way to happily ever after. I love you Hale Grande. I am so so honored to be your husband. 🥲” https://t.co/RXKEmDWCUM",Ariana Grande’s Spotify,AGsSpotify,2022-05-10T18:10:34.000Z,Tue May 10 18:10:34 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FSajFlJXoAMKgN_.jpg,https://pbs.twimg.com/media/FSajFlFWYAgtZdL.jpg,https://pbs.twimg.com/media/FSajFlDWYAA1K6Z.jpg,
