Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1528039176171622401,@MM02804 https://t.co/0AEKNIbw1E,About Music Charts,AboutMusicYT,2022-05-21T15:45:03.000Z,Sat May 21 15:45:03 +0000 2022,1,0,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,https://twitter.com/AboutMusicYT/status/1527344502675226625 ,0,1,,,,,
1528038814341599235,"Digital sales only.

Full list here: https://t.co/QszCApDGby",About Music Charts,AboutMusicYT,2022-05-21T15:43:37.000Z,Sat May 21 15:43:37 +0000 2022,7,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,photo,https://pbs.twimg.com/media/FTSvF9DXoAU33dY.png,https://pbs.twimg.com/media/FTSvHvRXoAAtM0W.jpg,,
1528038389995474945,"Best selling western female artists in China:

1. Taylor Swift - 8.2M
2. Selena Gomez - 1.4M
3. Ariana Grande - 1.1M
4. Cardi B - 496k
5. Adele - 361k
6. Rihanna - 331k
7. Zara Larsson - 240k
8. Katy Perry - 192k
9. Lorde - 167k
10. Nicki Minaj - 163k https://t.co/lOw5PZPTc9",About Music Charts,AboutMusicYT,2022-05-21T15:41:56.000Z,Sat May 21 15:41:56 +0000 2022,63,8,et,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FTSuZTHWIAEghnJ.jpg,,,
1527993362279567361,"'A Star Is Born' by Lady Gaga has reached 8.8M sales worldwide (via chartmasters).

— The Grammy winning album is the best selling female album of 2018. https://t.co/czd00XHC30",About Music Charts,AboutMusicYT,2022-05-21T12:43:00.000Z,Sat May 21 12:43:00 +0000 2022,39,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FTSFaB5X0AAIaDP.jpg,,,
1527682623983714304,"6. Alanis Morissette - Jagged Little Pill (42M)
7. Madonna - Like A Virgin (40M)
8. Madonna - True Blue (37M)
9. Lady Gaga - The Fame + Monster (37M)
10. Mariah Carey - Music Box (34M)",About Music Charts,AboutMusicYT,2022-05-20T16:08:15.000Z,Fri May 20 16:08:15 +0000 2022,123,15,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1527682594741317632,"Best selling female albums of all-time (via chartmasters):

1. Whitney Houston - The Bodygaurd (54M)
2. Adele - 21 (47M)
3. Celine Dion - Let's Talk About Love (46M)
4. Shania Twain - Come On Over (46M)
5. Celine Dion - Falling Into You (42M)\ https://t.co/CjbbBimvI2",About Music Charts,AboutMusicYT,2022-05-20T16:08:08.000Z,Fri May 20 16:08:08 +0000 2022,417,80,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FTNqQBzWUAIhxob.jpg,,,
1527630827118645248,"'My Everything' by Ariana Grande has reached 12.4M sales worldwide (via chartmasters).

— The Grammy nominated album is the 2nd best selling female album of 2014, and Ariana's best selling album to date. https://t.co/tNXEfavC83",About Music Charts,AboutMusicYT,2022-05-20T12:42:25.000Z,Fri May 20 12:42:25 +0000 2022,663,102,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FTM7nuDWQAE0Q0B.jpg,,,
1527344709643169793,"This is based on certifications.

credit: @ChartsArtists",About Music Charts,AboutMusicYT,2022-05-19T17:45:30.000Z,Thu May 19 17:45:30 +0000 2022,6,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1527344502675226625,"Best selling female artists in the UK:

1. Rihanna - 46M
2. Adele - 31.6M
3. Madonna - 29.9M
4. Beyoncé - 26.3M
5. Ariana Grande - 23.8M
6. P!nk - 22.87M
7. Little Mix - 22.8M
8. Taylor Swift - 22.1M
9. Lady Gaga - 20.7M
10. Dua Lipa - 19M https://t.co/eDCkrtJVr6",About Music Charts,AboutMusicYT,2022-05-19T17:44:40.000Z,Thu May 19 17:44:40 +0000 2022,757,130,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FTI3gEeaIAAsMA-.jpg,,,
1527314462826344448,"'Prism' by Katy Perry has reached 12.5M sales worldwide (via chartmasters).

— The album is the 2nd best selling album of 2013. https://t.co/VobKs6gU9K",About Music Charts,AboutMusicYT,2022-05-19T15:45:18.000Z,Thu May 19 15:45:18 +0000 2022,573,62,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FTIcK0KaUAIV4aQ.jpg,,,
