Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1521371777699565568,@StoneQT9 I have my mums phone she doesn’t have any friends or toy dinosaurs,shabnam grewal,shabnam,2022-05-03T06:11:12.000Z,Tue May 03 06:11:12 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1521371532110540800,@StoneQT9 They are more insane than the girl who made out with my toy dinosaur,shabnam grewal,shabnam,2022-05-03T06:10:13.000Z,Tue May 03 06:10:13 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1521368510869475328,I got my mums phone,shabnam grewal,shabnam,2022-05-03T05:58:13.000Z,Tue May 03 05:58:13 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,,,,,
1521368453478817794,RT @shabnam : Beyond excited that my novel is one of the three winners !!! Watch this space !!! https://t.co/ZO2hEKvwsH,shabnam grewal,shabnam,2022-05-03T05:57:59.000Z,Tue May 03 05:57:59 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/E_-byY1X0AAlD2w.jpg,,,
1521368193725575173,@Datshiane I have found out my mums account details for twitter,shabnam grewal,shabnam,2022-05-03T05:56:57.000Z,Tue May 03 05:56:57 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1452335090294566914,@Datshiane Lovely pics !!,shabnam grewal,shabnam,2021-10-24T18:04:03.000Z,Sun Oct 24 18:04:03 +0000 2021,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1449863797980778504,RT @Datshiane : This is unbearably sad news. I interviewed Sir David Amess in 2016 for my first Panorama on fuel poverty.  He’d been campaigning to end it since 2000. A huge undertaking that saved lives. He genuinely cared about his constituents and was immeasurably kind to me as a new reporter. https://t.co/fLLxWOBWdJ,shabnam grewal,shabnam,2021-10-17T22:24:01.000Z,Sun Oct 17 22:24:01 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://twitter.com/BBCBreaking/status/1449015781807820813 ,0,0,,,,,
1441041699132805127,Beyond excited that my novel is one of the three winners !!! Watch this space !!! https://t.co/ZO2hEKvwsH,shabnam grewal,shabnam,2021-09-23T14:08:08.000Z,Thu Sep 23 14:08:08 +0000 2021,4,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/E_-byY1X0AAlD2w.jpg,,,
1388174023054532611,"RT @BBCAfrica : 'Retirement Hell' - the new #BBCAfricaEye investigation, coming Monday 3rd May. 

Subscribe to our YouTube channel now so you don’t miss it: 🎥 https://t.co/lpmSQnhbAd https://t.co/Yfuv6N9h8B",shabnam grewal,shabnam,2021-04-30T16:50:52.000Z,Fri Apr 30 16:50:52 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://bit.ly/subscribetoafrica ,1,0,video,https://video.twimg.com/amplify_video/1388156055566360576/pl/bW-QlPmUsFXj8Awb.m3u8?tag=14,,,
1375186625110683651,"RT @FilmTVDiversity : David Harewood To Front BBC Documentary On The History Of Blackface; The hour-long film is made by historian David Olusoga’s Uplands TV;  Harewood is writing, presenting &amp; also EPs w/Olusoga, Mike Smith, producer &amp; directors are Eric Haynes &amp; Nia Campbell https://t.co/bKMVoXW8up",shabnam grewal,shabnam,2021-03-25T20:43:35.000Z,Thu Mar 25 20:43:35 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://deadline.com/2021/03/homeland-david-harewood-bbc-blackface-1234721582/ ,0,0,,,,,
1375184517548367878,@felicity_aston Just amazing . You really are enjoying some of the most amazing and powerful things planet earth has to offer !!!,shabnam grewal,shabnam,2021-03-25T20:35:13.000Z,Thu Mar 25 20:35:13 +0000 2021,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1370660938840485894,@felicity_aston Lovely to hear you on the today prog just now !!! Hope you are well :),shabnam grewal,shabnam,2021-03-13T09:00:08.000Z,Sat Mar 13 09:00:08 +0000 2021,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
