Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1528086320756576256,RT @dixiedamelio : WILD OUT MAY 27TH🖤 https://t.co/0an9cIuLo4 https://t.co/z1PTFGgCs4,charli,charlidamelio,2022-05-21T18:52:23.000Z,Sat May 21 18:52:23 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://laylo.com/dixie/boY4e ,0,0,photo,https://pbs.twimg.com/media/FTTQzuVUYAAALRL.jpg,,,
1527429371224391681,"RT @EliteDaily : .@charlidamelio and @dixiedamelio's @socialtouristLA shared some ~exclusive~ pictures of Social Tourist's May 2022 drop with us, so you can be among the first to check it out here. 😏 
https://t.co/g9RiFBTtLz",charli,charlidamelio,2022-05-19T23:21:55.000Z,Thu May 19 23:21:55 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://www.elitedaily.com/style/social-tourist-may-2022-drop-collection?utm_campaign=elitedaily&utm_content=1652994488&utm_medium=owned&utm_source=twitter ,0,3,,,,,
1527003683363647488,"RT @dameliofamily : Today is the last day to vote for the #MTVAwards Vote The D’Amelio Show for Best New Unscripted Series @MTVAwards @dameliosonhulu @hulu @marcdamelio @heididamelio @dixiedamelio @charlidamelio 

Vote here: https://t.co/PlgT4fhs6B https://t.co/2h2K5DXPEy",charli,charlidamelio,2022-05-18T19:10:23.000Z,Wed May 18 19:10:23 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://www.mtv.com/movie-and-tv-awards/vote/best-new-unscripted-series ,1,7,photo,https://pbs.twimg.com/media/FTEA1KgUAAEM3wr.jpg,,,
1526960805383634945,"RT @marcdamelio : Charli D’Amelio, Sister Dixie And Mom Heidi Talk Family Values And Channel ’60s Style For ‘V Magazine’ | https://t.co/fW3mex6qTX ⁦@heididamelio⁩ ⁦@dixiedamelio⁩ ⁦@charlidamelio⁩ ⁦@dameliofamily⁩  https://t.co/pBenKIJ9CK",charli,charlidamelio,2022-05-18T16:20:00.000Z,Wed May 18 16:20:00 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://ETCanada.com https://etcanada.com/news/897241/charli-damelio-sister-dixie-and-mom-heidi-talk-family-values-and-channel-60s-style-for-v-magazine/ ,0,4,,,,,
1526947144103563264,RT @socialtouristLA : ❤️‍🔥🌇🫶🪩🧨♉️🖤 https://t.co/g5OxOrXLQY,charli,charlidamelio,2022-05-18T15:25:43.000Z,Wed May 18 15:25:43 +0000 2022,0,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FTC7UAHWAAE7634.jpg,,,
1526735321999675392,"RT @HomeSchool_Film : Lights, camera, scripts! Exciting things are brewing for HOME SCHOOL. Starring @charlidamelio as Mira, this big film debut is one you won't want to miss. Who's excited?

#movienews #homeschoolmovie #homeschool #charlidamelio #supernaturalthriller #socialmedia #comingsoon https://t.co/GvxAvaAP5u",charli,charlidamelio,2022-05-18T01:24:00.000Z,Wed May 18 01:24:00 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,7,1,photo,https://pbs.twimg.com/media/FS-pYTLWUAIhmdO.jpg,,,
1526617583696285696,"RT @vmagazine : #TheDAmelioDynasty | @dixiedamelio, @charlidamelio, and @heididamelio are our new digital cover stars!

TikTok's first family chats about their rapid rise to fame + the notion of togetherness, while sporting the latest treasures from @TiffanyAndCo: https://t.co/QwJWia2w7K https://t.co/xWyxggWisO",charli,charlidamelio,2022-05-17T17:36:09.000Z,Tue May 17 17:36:09 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://bit.ly/3sGqbQw ,1,4,video,https://video.twimg.com/ext_tw_video/1526535567856607232/pu/vid/720x900/OsHsKAec41vpWBLm.mp4?tag=12,,,
1526020149853057025,"RT @TheSimpsons : Welcome to Springfield, @charlidamelio. https://t.co/ZS1C9nySoF",charli,charlidamelio,2022-05-16T02:02:10.000Z,Mon May 16 02:02:10 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/FSlhT9gWUAEBzV9.jpg,,,
1526001796006543360,RT @21metgala : Dixie D'Amelio attends the 2022 #BBMAs https://t.co/RVhn4HxhYM,charli,charlidamelio,2022-05-16T00:49:14.000Z,Mon May 16 00:49:14 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FS1ayMGXEAIRePC.jpg,,,
1526001784501641216,RT @dixiedamelio : tonight @BBMAs #BBMAs https://t.co/4tQGO7ISky,charli,charlidamelio,2022-05-16T00:49:11.000Z,Mon May 16 00:49:11 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,1,photo,https://pbs.twimg.com/media/FS0kgAbVEAABPBz.jpg,,,
