Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,
1527989061637783552,"@AsimRiazworld @imrealasim @realumarriaz Happy Birthday Maaz Bhai 

#UmarArmy",Perfect,series_perfect,2022-05-21T12:25:55.000Z,Sat May 21 12:25:55 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,1,3,,,
1527981186458742785,"RT @MKJ_SARA : (TIMEBOMB 8 ) BEST
REALITY OF 11M FOLLOWERS

10M FOLLOWERS OUT OF 11 ARE **THARKI** WHO ONLY FOLLOW HER TO SEE ONLY ONE THING🙈 WHICH IS COMPULSORY TO BE SHOWN IN EVERY VIDEO  OTHERWISE VIEWS OR FOLLOWER KAISE AYENGE.
#MunawarFaruqui 
#MunawarFaruqui𓃵 
#AnjaliArora 
#Anjalians https://t.co/q7UZIYDXk3",Perfect,series_perfect,2022-05-21T11:54:38.000Z,Sat May 21 11:54:38 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,4,0,video,https://video.twimg.com/ext_tw_video/1527960205690028033/pu/vid/320x568/0kDAAv-JNZYYJzX8.mp4?tag=12,
1527313826240413697,@Munawarkijaan @imrealbeast @AjayRaj8340 Kya ta 😂😂  mast ta lekin,Perfect,series_perfect,2022-05-19T15:42:46.000Z,Thu May 19 15:42:46 +0000 2022,0,0,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,3,,,
1527312639109775361,@TheFaruqui 😂😂,Perfect,series_perfect,2022-05-19T15:38:03.000Z,Thu May 19 15:38:03 +0000 2022,0,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,
1527312498399248384,@SheikhSayeed07 Ni Bhai 😂😂nai bhulunga,Perfect,series_perfect,2022-05-19T15:37:30.000Z,Thu May 19 15:37:30 +0000 2022,0,0,hi,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,
1526943554782007298,@umarjan0107 @TheSavageNeo Congratulations Neo,Perfect,series_perfect,2022-05-18T15:11:27.000Z,Wed May 18 15:11:27 +0000 2022,2,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,
1526943460540170240,@imrealbeast Lol 🤣🤣🤣,Perfect,series_perfect,2022-05-18T15:11:04.000Z,Wed May 18 15:11:04 +0000 2022,2,1,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,
1526781877763584000,RT @tosif_faruqui : @TheSavageNeo @Real_hitesh28 @Team_Faruqui https://t.co/lY1MYmxFJY,Perfect,series_perfect,2022-05-18T04:29:00.000Z,Wed May 18 04:29:00 +0000 2022,0,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,3,photo,https://pbs.twimg.com/media/FS-p5BOXwAA2fFo.jpg,
1526485481197776897,@shamshadkhan727 @munawar0018 @Team_Faruqui Thank q sooo much bro ❤️,Perfect,series_perfect,2022-05-17T08:51:14.000Z,Tue May 17 08:51:14 +0000 2022,1,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,3,,,
1526485401112039424,@kalim722 @munawar0018 @Team_Faruqui Thanks 🙏❤️,Perfect,series_perfect,2022-05-17T08:50:55.000Z,Tue May 17 08:50:55 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,3,,,
1526485352583921666,@umarjan0107 @munawar0018 @Team_Faruqui Thanks 🙏❤️,Perfect,series_perfect,2022-05-17T08:50:43.000Z,Tue May 17 08:50:43 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,3,,,
1526485278084726784,@MunawarPage @munawar0018 @Team_Faruqui Thanks 🙏❤️,Perfect,series_perfect,2022-05-17T08:50:25.000Z,Tue May 17 08:50:25 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,3,,,
