Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1538979539161735168,"RT @ArzzielMarcena : The 3rd season of 16 Hudson is set to premiere on TVOkids in Canada this summer.

@tvo @bigbadboo @ShabnamRezaei @AndreaLibman @VincentTong007 @MarykeHendrikse @CathyWeseluck 
#TheCartoonBase
#TheCarBees ? https://t.co/ovDwS5TTsw",?????? ??????,AndreaLibman,2022-06-20T20:18:09.000Z,Mon Jun 20 20:18:09 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,7,photo,https://pbs.twimg.com/media/FVs6RgdUEAASxUH.jpg,,,
1538542962249830401,@Peeardee ?,?????? ??????,AndreaLibman,2022-06-19T15:23:21.000Z,Sun Jun 19 15:23:21 +0000 2022,1,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1538542272785965058,@Peeardee What! No,?????? ??????,AndreaLibman,2022-06-19T15:20:37.000Z,Sun Jun 19 15:20:37 +0000 2022,2,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1538244331257012224,@michellecyca Ugh. Gross,?????? ??????,AndreaLibman,2022-06-18T19:36:42.000Z,Sat Jun 18 19:36:42 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1537980489633394688,@mktoon @MargaritaValdy @AnaSani14 @Matt_The_Ferg @anm8rchick @bahiawatson @DianaKaarina @VincentTong007 https://t.co/GvOULfvJey,?????? ??????,AndreaLibman,2022-06-18T02:08:17.000Z,Sat Jun 18 02:08:17 +0000 2022,8,0,qme,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,8,animated_gif,https://video.twimg.com/tweet_video/FVgBGbpUYAEoSn4.mp4,,,
1537221086579810304,@BaloneyBrony @TheBiggestJim @WheelOfCheese,?????? ??????,AndreaLibman,2022-06-15T23:50:41.000Z,Wed Jun 15 23:50:41 +0000 2022,6,0,qam,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,3,,,,,
1537067024802689026,RT @neon8light : Why do health waits not get the same daily media coverage as airports? Healthcare collapse should be top news with a daily story of different aspects. Canadians need to save their health system. ?@CSPLeaders? ?@picardonhealth? ?@NaheedD?  https://t.co/LxqHjrKwZl,?????? ??????,AndreaLibman,2022-06-15T13:38:30.000Z,Wed Jun 15 13:38:30 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://edmontonjournal.com/news/politics/disastrous-overcrowding-alberta-emergency-doctors-say-ers-facing-brunt-of-health-care-pressure ,0,3,,,,,
1535838027439742977,@TheRealSibsy Sour cream glazed!!,?????? ??????,AndreaLibman,2022-06-12T04:14:54.000Z,Sun Jun 12 04:14:54 +0000 2022,8,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1535631242980634631,@chrissyjeanz @tracklist HahHah yes,?????? ??????,AndreaLibman,2022-06-11T14:33:13.000Z,Sat Jun 11 14:33:13 +0000 2022,0,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1534730978546970625,@_rallycap Too cute!!!!,?????? ??????,AndreaLibman,2022-06-09T02:55:53.000Z,Thu Jun 09 02:55:53 +0000 2022,2,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1534690589676957697,@_rallycap Oh thank YOU! What a special and amazing girl. ????????,?????? ??????,AndreaLibman,2022-06-09T00:15:24.000Z,Thu Jun 09 00:15:24 +0000 2022,5,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1534677630787657728,@_rallycap Meant to be! ?,?????? ??????,AndreaLibman,2022-06-08T23:23:54.000Z,Wed Jun 08 23:23:54 +0000 2022,6,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1534677255707693056,@cowgirl27733 @CircuitMane @EverfreeNW ??,?????? ??????,AndreaLibman,2022-06-08T23:22:25.000Z,Wed Jun 08 23:22:25 +0000 2022,2,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,3,,,,,
1534267603601936384,@TheBiggestJim Anything could happen,?????? ??????,AndreaLibman,2022-06-07T20:14:36.000Z,Tue Jun 07 20:14:36 +0000 2022,6,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
