Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1539291412076056576,The Royal #Manchester Hospital reveals Ariana Grande sent 1000 gifts to children who spent #Christmas in the hospital. https://t.co/D8XyUOQa56,Ariana Grande Data,AriGData,2022-06-21T16:57:25.000Z,Tue Jun 21 16:57:25 +0000 2022,41,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/FVypX-WaAAAYx5a.jpg,,,
1539290689368113153,RT @AG7Source : Ariana Grande is the 11th most-acclaimed female artist in HISTORY according to https://t.co/uPNyRhKtX4 https://t.co/e4TnPrdGrW,Ariana Grande Data,AriGData,2022-06-21T16:54:33.000Z,Tue Jun 21 16:54:33 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://AcclaimedMusic.net ,0,0,photo,https://pbs.twimg.com/media/FVyY33tWAAUhs7N.jpg,,,
1539289670231932928,"RT @nickianaswoo : most streamed all female collaborations of all time:

1) kiss me more - doja &amp; sza
2) tusa - karol &amp; nicki
3) side to side - ariana &amp; nicki 
4) wap - cardi &amp; megan https://t.co/cOXPLw9WPd",Ariana Grande Data,AriGData,2022-06-21T16:50:30.000Z,Tue Jun 21 16:50:30 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FVyP_KEWQAAev6D.jpg,https://pbs.twimg.com/media/FVyP_KIWIAEhAw4.jpg,https://pbs.twimg.com/media/FVyP_KGWQAAyjEH.jpg,https://pbs.twimg.com/media/FVyP_KOX0AAUXyz.jpg
1539271730895949824,@kalseat it was pretty unstable on the charts tbh it deserved WAYYY better,Ariana Grande Data,AriGData,2022-06-21T15:39:13.000Z,Tue Jun 21 15:39:13 +0000 2022,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1539266191214399490,@kalseat https://t.co/1t4eYHH1bD,Ariana Grande Data,AriGData,2022-06-21T15:17:12.000Z,Tue Jun 21 15:17:12 +0000 2022,0,0,qme,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,photo,https://pbs.twimg.com/media/FVySbUEaIAEp6fr.png,,,
1539262912623439873,"""#Positions"" has now spent 85 weeks on the @Billboard 200, becoming #ArianaGrande's 5th album to do so.

It now ties ""#AfterHours"" as the 20th longest running 2020 project on the chart. https://t.co/315X7BM4Iy",Ariana Grande Data,AriGData,2022-06-21T15:04:11.000Z,Tue Jun 21 15:04:11 +0000 2022,33,6,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,3,1,photo,https://pbs.twimg.com/media/FVyPYJeaIAAbVc5.jpg,https://pbs.twimg.com/media/FVyPZFHaUAAYUG-.jpg,https://pbs.twimg.com/media/FVyPaf9aIAApbWq.jpg,
1539259433007869952,@ArianaToday @Vevo my hair &gt;&gt;&gt;&gt; positions &gt;&gt;&gt;&gt; pov &gt;&gt;&gt;&gt;&gt; safety net &gt;&gt;&gt; 34+35 &gt;&gt;&gt;&gt; off the table,Ariana Grande Data,AriGData,2022-06-21T14:50:21.000Z,Tue Jun 21 14:50:21 +0000 2022,3,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,2,,,,,
1539207964594425856,@BuzzingPop @Vevo @theweeknd @tydollasign this was moments before she completely murdered and killed off this era. had so much more potential,Ariana Grande Data,AriGData,2022-06-21T11:25:50.000Z,Tue Jun 21 11:25:50 +0000 2022,31,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,4,,,,,
1539203979032207361,"@joangrande @katyperry Day 24 - Favorite Pic with a Celeb

@KatyPerry https://t.co/wuBpSS8VGc",Ariana Grande Data,AriGData,2022-06-21T11:10:00.000Z,Tue Jun 21 11:10:00 +0000 2022,7,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,3,photo,https://pbs.twimg.com/media/FVsRDjvakAALtuZ.jpg,,,
1539181880574373888,"@Stuckwithpov1 even if one last time did hit top 10, it wouldn't have counted to this record since it became a single in 2015",Ariana Grande Data,AriGData,2022-06-21T09:42:11.000Z,Tue Jun 21 09:42:11 +0000 2022,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1539181036776878080,"4 years ago today, #ArianaGrande and @NickiMinaj released the music video for ""the light is coming"".

The clip has gained over 60 MILLION views on YouTube and was a single from Grande's 4th studio album, ""Sweetener"".https://t.co/w9lwNydD9u",Ariana Grande Data,AriGData,2022-06-21T09:38:50.000Z,Tue Jun 21 09:38:50 +0000 2022,24,6,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,1,video,https://video.twimg.com/ext_tw_video/1406637262411026439/pu/vid/1280x720/4gBMnE5oETQSYSb2.mp4?tag=12,,,
1539179433491599360,its giving https://t.co/gdMpBRl9Ya,Ariana Grande Data,AriGData,2022-06-21T09:32:28.000Z,Tue Jun 21 09:32:28 +0000 2022,2,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF ,0,0,,,,,
1539179328558477314,"Billboard Argentina Hot 100: #69(-13) Save Your Tears Remix, #ArianaGrande &amp; @TheWeeknd [50 weeks]. *peak #8*",Ariana Grande Data,AriGData,2022-06-21T09:32:03.000Z,Tue Jun 21 09:32:03 +0000 2022,33,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,1,,,,,
1539178915289530369,"Billboard Streaming Songs: #38(+10) Save Your Tears Remix, #ArianaGrande &amp; @TheWeeknd [71 weeks]. *peak #2*??",Ariana Grande Data,AriGData,2022-06-21T09:30:24.000Z,Tue Jun 21 09:30:24 +0000 2022,18,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,1,,,,,
1539178380041797633,"Billboard Global 200 Excl. US: #22(-2) Save Your Tears Remix, #ArianaGrande &amp; @TheWeeknd [76 weeks]. *peak #2*",Ariana Grande Data,AriGData,2022-06-21T09:28:17.000Z,Tue Jun 21 09:28:17 +0000 2022,20,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,1,,,,,
1539163375519014912,@BuzzingPop while people are sh!Itting her and on this album it trends. her fcking power,Ariana Grande Data,AriGData,2022-06-21T08:28:39.000Z,Tue Jun 21 08:28:39 +0000 2022,17,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1539162656351076352,RT @BuzzingPop : ‘positions’ by Ariana Grande is trending on US iTunes. https://t.co/MnlV6cn4Jp,Ariana Grande Data,AriGData,2022-06-21T08:25:48.000Z,Tue Jun 21 08:25:48 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FVvr-LwWQAEBDAs.jpg,https://pbs.twimg.com/media/FVvr-LwXEAE3FAw.jpg,,
1539061886490386432,"""Leave Me Lonely"" is now eligible for Gold for selling over 500,000 units in the country. https://t.co/KyOUkJlDRM",Ariana Grande Data,AriGData,2022-06-21T01:45:22.000Z,Tue Jun 21 01:45:22 +0000 2022,44,5,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVvYjS8acAEHDwr.jpg,,,
1539061324550123520,"RT @AG7Source : .@ArianaGrande’s albums with the most RIAA Gold-eligible tracks:

#1. “Positions” — 14
#2. “Sweetener” — 13
#3. “thank u, next” — 12
#3. “My Everything” — 12
#3. “Dangerous Woman” — 12
#4. “Yours Truly” — 6 https://t.co/kbYdpnWuXh",Ariana Grande Data,AriGData,2022-06-21T01:43:08.000Z,Tue Jun 21 01:43:08 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/FVt3OTtWAAQ7YA0.jpg,,,
1539061183772520448,"RT @theariarchive : Ex acts with the most #1s on global charts 

• Britney Spears – 195
• ARIANA GRANDE – 187
• Christina Aguilera – 114
• Demi Lovato – 61
• Miley Cyrus – 58
• Selena Gomez – 43 https://t.co/sIxh1rkoS8",Ariana Grande Data,AriGData,2022-06-21T01:42:35.000Z,Tue Jun 21 01:42:35 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FVtoabcWAAENcgq.jpg,,,
1538921486169571329,#ArianaGrande becomes the youngest artist to reach 318 MILLION Instagram followers. https://t.co/tvDhJM918l,Ariana Grande Data,AriGData,2022-06-20T16:27:28.000Z,Mon Jun 20 16:27:28 +0000 2022,52,7,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FVtY7a-agAAG3BK.jpg,https://pbs.twimg.com/media/FVtY7jIaUAEWPd0.jpg,,
1538921123911708672,Ariana Grande is the artist that has the most songs in the top 20 best selling female singles this decade (5). https://t.co/8znrbWw8rw,Ariana Grande Data,AriGData,2022-06-20T16:26:02.000Z,Mon Jun 20 16:26:02 +0000 2022,52,12,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVtYmaWakAA4clG.jpg,https://pbs.twimg.com/media/FVtYmd3akAE5SmJ.jpg,,
1538920908538392576,RT @happierdam : most streamed female songs of 2020 on spotify https://t.co/fQ9cVuNriL,Ariana Grande Data,AriGData,2022-06-20T16:25:11.000Z,Mon Jun 20 16:25:11 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FVtPRFIWYAAgS00.jpg,,,
1538920894059651072,RT @happierdam : most streamed female songs of 2019 on spotify https://t.co/xy0coRDa2z,Ariana Grande Data,AriGData,2022-06-20T16:25:07.000Z,Mon Jun 20 16:25:07 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FVtPQqVX0AQSV7m.jpg,,,
1538920881640316928,RT @happierdam : most streamed female songs of 2018 on spotify https://t.co/kOh1magato,Ariana Grande Data,AriGData,2022-06-20T16:25:04.000Z,Mon Jun 20 16:25:04 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FVtPQQ0XoAUUftK.jpg,,,
1538910463572180993,RT @AboutMusicYT : Best selling female singles of the 2020's so far: https://t.co/JxNhFqceKD,Ariana Grande Data,AriGData,2022-06-20T15:43:40.000Z,Mon Jun 20 15:43:40 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FVtMWOvWUAYdU1i.jpg,,,
1538904952294502400,@AG7Source @MaximMag they're not wrong,Ariana Grande Data,AriGData,2022-06-20T15:21:46.000Z,Mon Jun 20 15:21:46 +0000 2022,33,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,2,,,,,
1538904922892414976,"RT @AG7Source : Ariana Grande is one of the worlds Top 100 hottest women right now, according to @MaximMag https://t.co/udEAZlVsgk",Ariana Grande Data,AriGData,2022-06-20T15:21:39.000Z,Mon Jun 20 15:21:39 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/FVtJsAyWYAUXDEN.jpg,https://pbs.twimg.com/media/FVtJsA0WIAYMFhs.jpg,,
1538902173140271105,@osnapiitziivan leave me the fuck aloneeee i saw a tweet like this for katy perry and stole it??,Ariana Grande Data,AriGData,2022-06-20T15:10:44.000Z,Mon Jun 20 15:10:44 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1538888495267459073,#ArianaGrande is one of the only four women to be the best selling act the decade they were born in and the decade they debuted. https://t.co/Cyl2QuzSqB,Ariana Grande Data,AriGData,2022-06-20T14:16:23.000Z,Mon Jun 20 14:16:23 +0000 2022,51,17,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FVs667MakAEFPfM.jpg,https://pbs.twimg.com/media/FVs67QgacAEyEMC.jpg,,
1538864854307831810,@swtave ?,Ariana Grande Data,AriGData,2022-06-20T12:42:26.000Z,Mon Jun 20 12:42:26 +0000 2022,3,0,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1538857135253372929,@DuaOnSpotify @DUALIPA @Spotify HOLY FUCKING SHIT THIS BICTH HJDSKHJDSHHSD HOW TF,Ariana Grande Data,AriGData,2022-06-20T12:11:46.000Z,Mon Jun 20 12:11:46 +0000 2022,2,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,3,,,,,
1538852431572140032,@PopBase 7 rings had the girlies shaking. if only they had not pulled it from radio SOOO quickly https://t.co/QjmABhL2SH,Ariana Grande Data,AriGData,2022-06-20T11:53:04.000Z,Mon Jun 20 11:53:04 +0000 2022,15,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,video,https://video.twimg.com/ext_tw_video/1426912415732703232/pu/vid/480x270/yTkrAViR-lNGhle_.mp4?tag=12,,,
1538850752109907968,RT @AriGData : The best Ariana Grande album is EverySweet DangerousPositionThankYouTruly. https://t.co/BIkhklX1xv,Ariana Grande Data,AriGData,2022-06-20T11:46:24.000Z,Mon Jun 20 11:46:24 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FVsYhqYaQAEdeRR.jpg,,,
1538850673642868736,The best Ariana Grande album is EverySweet DangerousPositionThankYouTruly. https://t.co/BIkhklX1xv,Ariana Grande Data,AriGData,2022-06-20T11:46:05.000Z,Mon Jun 20 11:46:05 +0000 2022,15,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVsYhqYaQAEdeRR.jpg,,,
1538850089049128960,"If Ariana Grande had 1 million fans, I would be one of them, if she had 10 fans, I would be one of them, if she had 1 fan I would be him, if Ariana Grande had no fans I died. https://t.co/1saPdDzTaX",Ariana Grande Data,AriGData,2022-06-20T11:43:46.000Z,Mon Jun 20 11:43:46 +0000 2022,85,12,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVsX_pjagAE3Bap.jpg,,,
1538841591388835840,@joangrande @katyperry Day 23 - Favorite Collab https://t.co/YzozrVR6Zy,Ariana Grande Data,AriGData,2022-06-20T11:10:00.000Z,Mon Jun 20 11:10:00 +0000 2022,7,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,2,video,https://video.twimg.com/ext_tw_video/1412805416979992582/pu/pl/koedDQ3KM4eRQztF.m3u8?tag=12&container=fmp4,,,
1538829338124386304,@DuaOnSpotify @DUALIPA @Drake @Spotify SHE DID THAT OMG HER POWER IS INSANE,Ariana Grande Data,AriGData,2022-06-20T10:21:18.000Z,Mon Jun 20 10:21:18 +0000 2022,5,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,4,,,,,
1538795698778689536,"""Ariana Grande"" is trending on Twitter Music.",Ariana Grande Data,AriGData,2022-06-20T08:07:38.000Z,Mon Jun 20 08:07:38 +0000 2022,11,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,,,,,
1538795518847221760,"RT @AriGData : 4 years ago today, #ArianaGrande and @NickiMinaj released ""the light is coming"".

The song peaked at #89 on the Hot 100 &amp; is Grande &amp; Minaj's 5th collaboration. The track is hated on by both fandoms &amp; artists. It was released as a single from Ari's 4th album ""Sweetener"". https://t.co/iOeHP1N1I8",Ariana Grande Data,AriGData,2022-06-20T08:06:55.000Z,Mon Jun 20 08:06:55 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,1,1,photo,https://pbs.twimg.com/media/FVrmTfBaIAEGqgh.jpg,,,
1538795455693606913,"4 years ago today, #ArianaGrande and @NickiMinaj released ""the light is coming"".

The song peaked at #89 on the Hot 100 &amp; is Grande &amp; Minaj's 5th collaboration. The track is hated on by both fandoms &amp; artists. It was released as a single from Ari's 4th album ""Sweetener"". https://t.co/iOeHP1N1I8",Ariana Grande Data,AriGData,2022-06-20T08:06:40.000Z,Mon Jun 20 08:06:40 +0000 2022,13,6,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,1,photo,https://pbs.twimg.com/media/FVrmTfBaIAEGqgh.jpg,,,
1538794763134332928,RT @rembeauty : ????????? https://t.co/M7um8q7e6e,Ariana Grande Data,AriGData,2022-06-20T08:03:55.000Z,Mon Jun 20 08:03:55 +0000 2022,0,0,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FVovCLeXwAAqan5.jpg,,,
