Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1539728277920976898,POV: you’re Blue Ivy helping mom get ready to quit her job ? #bratz @Beyonce https://t.co/SXiY7ZZOEn,Bratz,Bratz,2022-06-22T21:53:22.000Z,Wed Jun 22 21:53:22 +0000 2022,8553,1049,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,1,photo,https://pbs.twimg.com/media/FV42tS-UAAAdQ1o.jpg,,,
1537467841233858560,Something *mini* is coming ??@miniversesocial #bratz https://t.co/i87NxZFacO,Bratz,Bratz,2022-06-16T16:11:12.000Z,Thu Jun 16 16:11:12 +0000 2022,1649,136,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,1,photo,https://pbs.twimg.com/media/FVYu2kSUYAApg0y.jpg,,,
1537453499625009152,"RT @miniversesocial : Miniverse has entered the chat! With 24 Bratz Minis and 16 mini cosmetics, we can't wait for you to add them to your collection! Each detailed mini comes in its own box that doubles as a display case…your world is about to get a lot smaller! Online and in stores July! #miniverse https://t.co/IjhZt4S91E",Bratz,Bratz,2022-06-16T15:14:13.000Z,Thu Jun 16 15:14:13 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,video,https://video.twimg.com/ext_tw_video/1537409285801451520/pu/vid/404x360/3ek04pqSVCTDAhAH.mp4?tag=12,,,
1537291943511662593,@realnorireed ?,Bratz,Bratz,2022-06-16T04:32:15.000Z,Thu Jun 16 04:32:15 +0000 2022,89,1,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1537207480895213568,"We loved seeing you at Pride, Bratz Pack!! ?? Don’t forget — you can purchase our fave girlfriendz on https://t.co/OTZDJotnNs and https://t.co/NjLTG88H1m by clicking the link in bio. Happy Pride! ????? #bratz https://t.co/bMeE6S4cAb",Bratz,Bratz,2022-06-15T22:56:38.000Z,Wed Jun 15 22:56:38 +0000 2022,795,78,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,http://Walmart.com http://Target.com ,1,0,photo,https://pbs.twimg.com/media/FVVCDlGUUAAI6mY.jpg,,,
1534976450427617281,@glaad The gays are gaying!,Bratz,Bratz,2022-06-09T19:11:18.000Z,Thu Jun 09 19:11:18 +0000 2022,100,16,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1534936650102366208,"Get in loser, we’re going to Fire Island ? #bratz @LasCulturistas @matos_tomas https://t.co/ezQ94YPw0U",Bratz,Bratz,2022-06-09T16:33:09.000Z,Thu Jun 09 16:33:09 +0000 2022,4284,310,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,2,photo,https://pbs.twimg.com/media/FU0wvyTUYAI2WaT.jpg,,,
1534290611074805760,Where my Ashley O fanz at??? ?? @MileyCyrus #bratz https://t.co/c8a0APFKPj,Bratz,Bratz,2022-06-07T21:46:02.000Z,Tue Jun 07 21:46:02 +0000 2022,8243,990,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,1,photo,https://pbs.twimg.com/media/FUrlLcTVUAAY9et.jpg,,,
1533958420545425408,@kurtisconner v interesting choice Kurtis…?,Bratz,Bratz,2022-06-06T23:46:01.000Z,Mon Jun 06 23:46:01 +0000 2022,9723,75,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1533923741826109441,It’s feeling like a *Dance Fever* Pride if you ask me! ?? @florencemachine #bratz https://t.co/9Ruex4qDOF,Bratz,Bratz,2022-06-06T21:28:13.000Z,Mon Jun 06 21:28:13 +0000 2022,2785,466,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,1,photo,https://pbs.twimg.com/media/FUmXg6dUsAApRZA.jpg,,,
