Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1555043202268291074,@ebruenig I love you Liz. People have a habit of conjuring caricatures of you yet forget they’re targeting a real person. Just know that you’ve got a friend in me always.,Gene Park,GenePark,2022-08-04T04:09:25.000Z,Thu Aug 04 04:09:25 +0000 2022,143,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1555042696812793856,@GameDadJP @officialSDGC Happy birthday friend,Gene Park,GenePark,2022-08-04T04:07:24.000Z,Thu Aug 04 04:07:24 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1554959188404719617,"RT @naomicfisher : When parents talk to me about gaming and screens, it’s always about fear. ‘Will they get addicted?’ they ask me. ‘I can’t control my own use, how can a child do it?’. There’s so much fear that we have no time to talk about the benefits. So here are some of the things I see. 1/",Gene Park,GenePark,2022-08-03T22:35:34.000Z,Wed Aug 03 22:35:34 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1554959122193416192,"great thread and a reminder that mainstream media still doesn’t understand this (while we also want you to subscribe and get hooked on our media content on screens ?)

New York Times last year: https://t.co/G1KhzbuyKq https://t.co/HVilgPs0Mu",Gene Park,GenePark,2022-08-03T22:35:19.000Z,Wed Aug 03 22:35:19 +0000 2022,154,10,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/naomicfisher/status/1554827874854531074 ,0,0,photo,https://pbs.twimg.com/media/FZRTFJJWIAAhGO5.jpg,,,
1554957573140451329,@charmer_123 That and more. Long story don’t wanna get into it now lol,Gene Park,GenePark,2022-08-03T22:29:09.000Z,Wed Aug 03 22:29:09 +0000 2022,4,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1554955597434478595,@JezCorden Not the best doom imo but a great one I need to play once annually at least. It’s highly underrated and thrown under the bus as “not really doom” when it actually is,Gene Park,GenePark,2022-08-03T22:21:18.000Z,Wed Aug 03 22:21:18 +0000 2022,20,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1554929667232210944,@lucyjamesgames hey birthday twin ?,Gene Park,GenePark,2022-08-03T20:38:16.000Z,Wed Aug 03 20:38:16 +0000 2022,65,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1554920659804905472,"for Gene Park lore enthusiasts, this is the same Karen that stabbed my ex with her heels https://t.co/HHlSVldvtm",Gene Park,GenePark,2022-08-03T20:02:28.000Z,Wed Aug 03 20:02:28 +0000 2022,229,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,https://twitter.com/genepark/status/1546442743551070208 ,0,0,,,,,
1554903880110145537,@negaoryx yep pretty much out of the question for folks like us and many others,Gene Park,GenePark,2022-08-03T18:55:48.000Z,Wed Aug 03 18:55:48 +0000 2022,10,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1554903622357602305,@KarenAttiah Ty Karen my sweet. Miss you much,Gene Park,GenePark,2022-08-03T18:54:46.000Z,Wed Aug 03 18:54:46 +0000 2022,4,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1554901442066108417,@A2ZJIRWINKO Lol I just got mine today. Great minds,Gene Park,GenePark,2022-08-03T18:46:07.000Z,Wed Aug 03 18:46:07 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1554900595080822785,"RT @dallasnagata : Happy birthday to one of my favorite people, @GenePark! It’s been six years since this, our last photo together, and I really hope we can take a new one soon! Miss you ?? https://t.co/WiinUwQYLj",Gene Park,GenePark,2022-08-03T18:42:45.000Z,Wed Aug 03 18:42:45 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/FZQbl7fUUAAUJM9.jpg,,,
1554900523870027777,"RT @cliffordlevy : DIGITAL era: The New York Times now has 9.17 million paid subscribers. It has a goal of 15 million by the end of 2027.
PRINT era: The Times's circulation peaked at 1.2 million for the daily paper. 
(1.8 million for the Sunday paper.)
https://t.co/JMYYWEB6d5",Gene Park,GenePark,2022-08-03T18:42:28.000Z,Wed Aug 03 18:42:28 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://nyti.ms/3zrazmE ,0,0,,,,,
1554893828770996224,@SupraMayro Yeah it does feel like they’d tell us by now. I don’t mind because of what you said. The exploration will still make it interesting,Gene Park,GenePark,2022-08-03T18:15:51.000Z,Wed Aug 03 18:15:51 +0000 2022,4,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1554892408856379393,do we know how catching and field battles begin in pokemon scarlet violet? It doesn’t seem like it follows the legend formula. I don’t mind the open world looks great I just still feel unclear about that aspect,Gene Park,GenePark,2022-08-03T18:10:13.000Z,Wed Aug 03 18:10:13 +0000 2022,143,3,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1554877895142670337,Love you forever and always Michelle https://t.co/1oVIqQio7X,Gene Park,GenePark,2022-08-03T17:12:33.000Z,Wed Aug 03 17:12:33 +0000 2022,381,5,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/myhlee/status/1554820079711551488 ,0,0,,,,,
1554798601641000961,prime rib was good too. Ate it as if my life depended on it (and it kinda does!) https://t.co/5l5OWtc3Pr,Gene Park,GenePark,2022-08-03T11:57:28.000Z,Wed Aug 03 11:57:28 +0000 2022,529,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,photo,https://pbs.twimg.com/media/FZPBFj9XEAcC6b_.jpg,,,
1554797533855207424,My best friend Karen and hubby Billy flew from Hong Kong to buy me dinner for my 41st birthday which is today. She’s the most special person in the world to me outside family and it gladdens my spirit to spend time with her even for a moment. https://t.co/I1b26eFwyC,Gene Park,GenePark,2022-08-03T11:53:13.000Z,Wed Aug 03 11:53:13 +0000 2022,3752,19,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FZPAHY3XgAAEtjC.jpg,https://pbs.twimg.com/media/FZPAHY4X0AIOkAu.jpg,,
1554677201051738112,"RT @YouTubeGaming : Gather ‘round Tarnished! Let’s look at the breakdown of how Elden Ring garnered 3.4 billion video views in 60 days, making it one of the biggest launches ever on YouTube ?? https://t.co/252qjZsmOv",Gene Park,GenePark,2022-08-03T03:55:03.000Z,Wed Aug 03 03:55:03 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FZLYXc9WYAEtAdw.jpg,,,
1554654911018713089,@KeepItFiveStar @YourBoyDrew Ok wait I need to find the whole vod hahahaha,Gene Park,GenePark,2022-08-03T02:26:29.000Z,Wed Aug 03 02:26:29 +0000 2022,5,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1554618421911879686,@ZakWojnar They do lol,Gene Park,GenePark,2022-08-03T00:01:29.000Z,Wed Aug 03 00:01:29 +0000 2022,22,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1554618376328253440,@TrippNostalgia Yes it does and is!,Gene Park,GenePark,2022-08-03T00:01:18.000Z,Wed Aug 03 00:01:18 +0000 2022,2,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1554618096173948929,@matthewlehew All for the content lol,Gene Park,GenePark,2022-08-03T00:00:12.000Z,Wed Aug 03 00:00:12 +0000 2022,50,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1554617552327917571,2022 is a dry year for games so I decided to make it wet ? https://t.co/jxSYqNhcGn,Gene Park,GenePark,2022-08-02T23:58:02.000Z,Tue Aug 02 23:58:02 +0000 2022,880,11,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FZMcbGvWYAA0ohx.jpg,,,
1554605663229206530,@LeaderGrev The most annoying thing about this is how it validates shingy as a digital prophet https://t.co/Jt45gmOh3U,Gene Park,GenePark,2022-08-02T23:10:47.000Z,Tue Aug 02 23:10:47 +0000 2022,2,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,photo,https://pbs.twimg.com/media/FZMRnGAWYAAM9m3.jpg,,,
1554604878999289860,RT @MikeHumePost : This. And then fans are told (by those with vested $ interests) not to trust the media (which has no investment in the content/product) because the only story lines those “direct feeds” won’t touch are scrutinizing their vested interests. Cutting out journalists erodes trust. https://t.co/MCDgYx830L,Gene Park,GenePark,2022-08-02T23:07:40.000Z,Tue Aug 02 23:07:40 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://twitter.com/leadergrev/status/1554574365634732032 ,0,0,,,,,
1554586573726957569,@Merryquitecont1 Yep I’m glad you see the throughline lol,Gene Park,GenePark,2022-08-02T21:54:56.000Z,Tue Aug 02 21:54:56 +0000 2022,2,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1554585862498836480,"my cancer board: “Gene you need to eat meat if you want any hope to survive.” 

me: https://t.co/b5DBp6hDmO",Gene Park,GenePark,2022-08-02T21:52:07.000Z,Tue Aug 02 21:52:07 +0000 2022,439,7,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,photo,https://pbs.twimg.com/media/FZL_mcYXgAAUJcg.jpg,https://pbs.twimg.com/media/FZL_mcSXgAICCDu.jpg,,
1554584687397543937,Doctors said I need to eat tons of meat which is great. To be totally clear I’m on Gordon ramsays level of carnivorism lol https://t.co/wkXanHqd9S,Gene Park,GenePark,2022-08-02T21:47:26.000Z,Tue Aug 02 21:47:26 +0000 2022,496,4,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Tweet,https://twitter.com/biffmcskylark/status/1554584383193075712 ,0,0,,,,,
