Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs
1506795136872812551,"weather be like:

mon - 75° ☀
tues - 22° ❄
wed - 57° ⛅
thurs - 30° ☔
fri - 80°☀ (with a chance of snow)",SpongeBob,ItsFunnyTimes,2022-03-24T00:48:50.000Z,Thu Mar 24 00:48:50 +0000 2022,14,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,
1506794266743668739,"i’m always:

1.annoyed
2.hungry
3.annoyed",SpongeBob,ItsFunnyTimes,2022-03-24T00:45:22.000Z,Thu Mar 24 00:45:22 +0000 2022,1,2,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,
1348815777571463169,"Beedrill, Venomoth, Scyther #PokemonGOTourContest https://t.co/puI1H8sJBd",SpongeBob,ItsFunnyTimes,2021-01-12T02:15:15.000Z,Tue Jan 12 02:15:15 +0000 2021,9,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/Erf0m55XMAM6crV.jpg
1322919565475663875,GO VOTE #BidenForPresident,SpongeBob,ItsFunnyTimes,2020-11-01T15:12:57.000Z,Sun Nov 01 15:12:57 +0000 2020,6,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,0,,
1227486608313765888,I wonder if brooms will stay up by themselves in the ocean.,SpongeBob,ItsFunnyTimes,2020-02-12T06:56:27.000Z,Wed Feb 12 06:56:27 +0000 2020,25,6,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,
1223498733867950081,In a couple thousand years archaeologists will dig up tanning beds and think we fried people as punishment.,SpongeBob,ItsFunnyTimes,2020-02-01T06:50:04.000Z,Sat Feb 01 06:50:04 +0000 2020,60,13,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,
1221619868438581251,"In my life:
I've lived,
I've loved,
I've lost, 
I've missed, 
I've hurt, 
I've trusted, 
I've made mistakes. 
But most of all,
I've learned.",SpongeBob,ItsFunnyTimes,2020-01-27T02:24:07.000Z,Mon Jan 27 02:24:07 +0000 2020,75,29,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,
1221298334910033922,"weather be like:

mon - 75° ☀
tues - 22° ❄
wed - 57° ⛅
thurs - 30° ☔
fri - 80°☀ (with a chance of snow)",SpongeBob,ItsFunnyTimes,2020-01-26T05:06:28.000Z,Sun Jan 26 05:06:28 +0000 2020,51,18,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,
1221296269169172480,"As a teenager, you look for every excuse to drive. As an adult, you look for every excuse not to drive.",SpongeBob,ItsFunnyTimes,2020-01-26T04:58:15.000Z,Sun Jan 26 04:58:15 +0000 2020,62,23,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,
1220768348033703936,"emailing professors be like 

me: *polite greeting, multiple paragraphs, perfect grammar* 

professor: ""sure"" -sent from my iphone",SpongeBob,ItsFunnyTimes,2020-01-24T18:00:29.000Z,Fri Jan 24 18:00:29 +0000 2020,44,14,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,
1220093404996100101,"Retweet if you played any
Basketball 🏀
Football 🏈
Volleyball 🙌
Baseball ⚾
Hockey ❄
Soccer ⚽
Tennis 🎾
Golf ⛳
Cheer 🎉
Track 🏃
Dance 👯
Wrestle💪",SpongeBob,ItsFunnyTimes,2020-01-22T21:18:30.000Z,Wed Jan 22 21:18:30 +0000 2020,17,11,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,
1219845366847287296,In a couple thousand years archaeologists will dig up tanning beds and think we fried people as punishment.,SpongeBob,ItsFunnyTimes,2020-01-22T04:52:53.000Z,Wed Jan 22 04:52:53 +0000 2020,29,7,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,
1219658671061393413,The sad moment when you return to your ordinary life after watching an awesome movie..,SpongeBob,ItsFunnyTimes,2020-01-21T16:31:02.000Z,Tue Jan 21 16:31:02 +0000 2020,35,14,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,
1219281102759694337,When you look something up on Amazon and suddenly it shows up as an ad on every app on your phone https://t.co/EyEsKLAGGA,SpongeBob,ItsFunnyTimes,2020-01-20T15:30:42.000Z,Mon Jan 20 15:30:42 +0000 2020,34,12,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/EOvBss6WsAImROX.jpg
1219135276653645824,@InfiniteOneSI Yes it did. Dancing the night away..,SpongeBob,ItsFunnyTimes,2020-01-20T05:51:15.000Z,Mon Jan 20 05:51:15 +0000 2020,2,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,
