Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs
1537471087126134795,You might not expect who the richest earner in the history of #TheView is https://t.co/egQKKlDCu1,JustJared.com,JustJared,2022-06-16T16:24:06.000Z,Thu Jun 16 16:24:06 +0000 2022,2,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.justjared.com/2022/06/16/the-richest-the-view-co-hosts-ranked-from-lowest-to-highest-the-wealthiest-has-a-net-worth-of-170-million/ ,1,0,,
1537469539805446148,"""Hacks"" has been renewed for a third season at HBO Max!  https://t.co/n2Bx8ql8qZ",JustJared.com,JustJared,2022-06-16T16:17:57.000Z,Thu Jun 16 16:17:57 +0000 2022,11,2,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/hacks-renewed-for-season-3-at-hbo-max/ ,0,0,,
1537457437522944000,A video of Tom Hanks is going viral after he became irate when a mob of fans caused his wife Rita Wilson to trip and nearly fall:   https://t.co/AXgTMWuO4B,JustJared.com,JustJared,2022-06-16T15:29:52.000Z,Thu Jun 16 15:29:52 +0000 2022,10,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/tom-hanks-screams-at-mob-of-fans-who-cause-wife-rita-wilson-to-trip-in-viral-video/ ,0,0,,
1537450293599911936,"Beyonce is on the cover of ""British Vogue"" just after her ""Renaissance"" reveal and the magazine's description of her new music is going viral - see why:  https://t.co/FUy2llc6ZN",JustJared.com,JustJared,2022-06-16T15:01:29.000Z,Thu Jun 16 15:01:29 +0000 2022,4,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/beyonce-covers-british-vogue-magazines-description-of-renaissance-goes-viral/ ,0,0,,
1537441288168951809,"Andy Cohen accidentally revealed the plastic surgery procedure that Kyle Richards had done, and she reacted live. Watch: https://t.co/J3ANzUbWit",JustJared.com,JustJared,2022-06-16T14:25:42.000Z,Thu Jun 16 14:25:42 +0000 2022,7,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/andy-cohen-accidentally-reveals-kyle-richards-plastic-surgery-she-reacts-live-video/ ,0,0,,
1537429185228161025,"The first teaser trailer for Netflix's ""Blonde,"" starring Ana de Armas as Marilyn Monroe, just debuted online! The film is rated NC-17: https://t.co/QvkgVKnFEh",JustJared.com,JustJared,2022-06-16T13:37:36.000Z,Thu Jun 16 13:37:36 +0000 2022,12,2,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/netflixs-blonde-trailer-see-ana-de-armas-as-marilyn-monroe-in-nc-17-drama/ ,0,0,,
1537426132999471104,"Ryan Grantham, who appeared in ""Riverdale"" and a few other CW shows, allegedly plotted to kill Canadian Prime Minister Justin Trudeau. He plead guilty to murdering his mother in court this year:  https://t.co/RzabRO1cBW",JustJared.com,JustJared,2022-06-16T13:25:28.000Z,Thu Jun 16 13:25:28 +0000 2022,1,3,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/riverdale-actor-ryan-grantham-allegedly-plotted-to-kill-justin-trudeau-pleads-guilty-to-murdering-his-own-mother/ ,0,0,,
1537414123331506176,"One of the jurors in the Johnny Depp/Amber Heard trial has broken his silence and revealed what the jury thought of Amber Heard's emotions on the witness stand, her donation testimony, Johnny Depp's testimony, social media, and so much more: https://t.co/WSVHsbnIvv",JustJared.com,JustJared,2022-06-16T12:37:45.000Z,Thu Jun 16 12:37:45 +0000 2022,17,4,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/johnny-depp-amber-heard-trial-juror-breaks-silence-reveals-what-they-thought-of-amber-her-donation-testimony/ ,0,0,,
1537411768544280577,One Beyoncé album is considered her all-time best https://t.co/L4hgiRGJNk,JustJared.com,JustJared,2022-06-16T12:28:24.000Z,Thu Jun 16 12:28:24 +0000 2022,2,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.justjared.com/2022/06/16/every-beyonce-solo-album-ranked-worst-to-best-according-to-critics/ ,0,0,,
1537327255369748480,"Kim Kardashian is sharing more insight into her split from Kanye West, revealing if she has any ""guilt"" over leaving him: https://t.co/lIxBLLwMEs",JustJared.com,JustJared,2022-06-16T06:52:34.000Z,Thu Jun 16 06:52:34 +0000 2022,8,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/kim-kardashian-reveals-if-she-has-any-guilt-over-leaving-kanye-west/ ,0,0,,
1537324224486023168,"Simone Ashley, Luke Evans, &amp; Hayley Atwell stepped out for the Royal Academy of Arts Summer Party in London: https://t.co/46mCnzp6xu",JustJared.com,JustJared,2022-06-16T06:40:31.000Z,Thu Jun 16 06:40:31 +0000 2022,119,18,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/luke-evans-joins-simone-ashley-hayley-atwell-more-stars-at-royal-academy-of-arts-summer-party/ ,0,0,,
1537319259973382145,Beyonce dropped an Easter egg about her album #Renaissance almost a year ago and we didn't even realize at the time! https://t.co/sXiQMXlSih,JustJared.com,JustJared,2022-06-16T06:20:48.000Z,Thu Jun 16 06:20:48 +0000 2022,16,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/beyonce-dropped-a-renaissance-easter-egg-almost-a-year-ago-no-one-even-realized/ ,1,0,,
1537316085401280514,Sami Sheen reveals how her mom Denise Richards really feels about her launching an OnlyFans account: https://t.co/oOhKKQddKc,JustJared.com,JustJared,2022-06-16T06:08:11.000Z,Thu Jun 16 06:08:11 +0000 2022,3,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/sami-sheen-reveals-her-mom-denise-richards-thoughts-on-her-onlyfans-career/ ,0,0,,
1537315824674803713,"Lea Michele, Ariana DeBose, and more stars attended the @aliceandolivia anniversary party. Check out photos! https://t.co/lKQXM2HV5y",JustJared.com,JustJared,2022-06-16T06:07:09.000Z,Thu Jun 16 06:07:09 +0000 2022,23,6,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/lea-michele-ariana-debose-join-alice-olivia-to-celebrate-the-brand-20th-anniversary/ ,0,1,,
1537307740405571585,OMG! Beyonce just announced her new album. Check out the title and release date! https://t.co/k4nILQiqBb,JustJared.com,JustJared,2022-06-16T05:35:01.000Z,Thu Jun 16 05:35:01 +0000 2022,39,8,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/beyonce-announces-new-album-renaissance-release-date-revealed/ ,0,0,,
1537301302857850881,#TheOtherTwo's Heléne Yorke &amp; husband Bary Dunn have welcomed their first child together! https://t.co/E71rtFGkPI,JustJared.com,JustJared,2022-06-16T05:09:26.000Z,Thu Jun 16 05:09:26 +0000 2022,5,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/the-other-two-star-helene-yorke-gives-birth-welcomes-first-child-with-husband-bary-dunn/ ,1,0,,
1537296658404237312,Khloe Kardashian stepped out tonight with Kendall and mom Kris for a #TheKardashians FYC event! https://t.co/uy5urUEWrN,JustJared.com,JustJared,2022-06-16T04:50:59.000Z,Thu Jun 16 04:50:59 +0000 2022,7,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/khloe-kardashian-bares-side-boob-in-white-jumpsuit-at-kardashians-fyc-event-with-kendall-kris-jenner/ ,1,0,,
1537289388627054594,Hailey Bieber is having a busy week in NYC promoting her new skin care line #Rhode - see her stylish looks! https://t.co/aufg12tIZQ,JustJared.com,JustJared,2022-06-16T04:22:06.000Z,Thu Jun 16 04:22:06 +0000 2022,8,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/hailey-bieber-shows-off-her-stylish-side-while-promoting-her-rhode-skin-care-line-in-nyc/ ,1,0,,
1537286461128470528,"Check out photos from tonight's ""Loot"" premiere with Maya Rudolph and more! https://t.co/kJYLRGla3A",JustJared.com,JustJared,2022-06-16T04:10:28.000Z,Thu Jun 16 04:10:28 +0000 2022,3,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/16/maya-rudolph-is-perfectly-pink-for-loot-premiere-with-michaela-jae-rodriguez-more/ ,0,0,,
1537280023672934400,Austin Butler held hands with girlfriend Kaia Gerber while leaving an #ElvisMovie screening tonight. See pics! https://t.co/ySq0dVHCcH,JustJared.com,JustJared,2022-06-16T03:44:53.000Z,Thu Jun 16 03:44:53 +0000 2022,14,3,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/austin-butlers-girlfriend-kaia-gerber-joins-him-at-elvis-screening-in-new-york/ ,1,0,,
1537279716394254336,Chris Evans returned to his hometown of Boston for an early screening of #Lightyear! https://t.co/LDOqJ5rTyV,JustJared.com,JustJared,2022-06-16T03:43:40.000Z,Thu Jun 16 03:43:40 +0000 2022,36,8,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/chris-evans-makes-surprise-appearance-at-early-screening-of-lightyear-in-his-hometown-boston/ ,1,0,,
1537272792948756484,Ezra Miller appears to have deleted their Instagram page after posting memes that seemingly mocked the courts inability to locate them https://t.co/jnUMRdhhvY,JustJared.com,JustJared,2022-06-16T03:16:09.000Z,Thu Jun 16 03:16:09 +0000 2022,19,13,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/ezra-miller-deletes-instagram-account-after-seemingly-mocking-courts-for-not-locating-them/ ,0,0,,
1537271010386395137,Morgan Stewart's husband Jordan McGraw got a vasectomy after welcoming two kids in less than a year: https://t.co/Fp63L7CiEU,JustJared.com,JustJared,2022-06-16T03:09:04.000Z,Thu Jun 16 03:09:04 +0000 2022,8,2,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/morgan-stewarts-husband-jordan-mcgraw-gets-vasectomy-after-welcoming-back-to-back-babies/ ,0,0,,
1537265189145411586,Miles Teller is joined by wife Keleigh Sperry at the NYC screening of his new Netflix movie #Spiderhead: https://t.co/w7tf4VTS5O,JustJared.com,JustJared,2022-06-16T02:45:56.000Z,Thu Jun 16 02:45:56 +0000 2022,8,4,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/miles-teller-gets-support-from-wife-keleigh-sperry-at-spiderhead-screening-in-nyc/ ,1,0,,
1537263703409557504,"Stephanie Styles went from Paris to the red carpet for the premiere of her new show ""Loot"" https://t.co/KVTsiyb3F4",JustJared.com,JustJared,2022-06-16T02:40:02.000Z,Thu Jun 16 02:40:02 +0000 2022,3,2,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/stephanie-styles-loot-premiere-apple/ ,0,0,,
1537262943141871616,We’re taking a look at all of the shows that Disney+ has renewed in 2022 so far: https://t.co/9MK08Fn0A5,JustJared.com,JustJared,2022-06-16T02:37:01.000Z,Thu Jun 16 02:37:01 +0000 2022,5,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/heres-every-show-disney-has-renewed-so-far-this-year/ ,0,0,,
1537254300245643264,The cast of the #FatheroftheBride remake hit the red carpet last night in Miami! https://t.co/9sZ9QOS5I6,JustJared.com,JustJared,2022-06-16T02:02:40.000Z,Thu Jun 16 02:02:40 +0000 2022,5,2,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/diego-boneta-adria-arjona-more-attend-the-father-of-the-bride-2022-premiere-in-miami/ ,1,0,,
1537250717840330752,Matthew Broderick is enjoying a rare night out with 19-year-old son James Wilkie! https://t.co/gbuIoVveDg,JustJared.com,JustJared,2022-06-16T01:48:26.000Z,Thu Jun 16 01:48:26 +0000 2022,6,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/matthew-broderick-celebrates-haute-living-magazine-cover-with-son-james/ ,0,0,,
1537246628771414016,Nick Jonas is explaining why he &amp; Priyanka Chopra decided to speak publicly about their daughter Malti's hospitalization: https://t.co/yVb16h08nS,JustJared.com,JustJared,2022-06-16T01:32:11.000Z,Thu Jun 16 01:32:11 +0000 2022,100,22,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/nick-jonas-explains-why-he-priyanka-chopra-spoke-publicly-about-daughter-maltis-hospitalization/ ,0,0,,
1537240138769498112,Who should play Fanny Brice next in Broadway's #FunnyGirl? Vote in our poll now! https://t.co/ogNaZs8lmA,JustJared.com,JustJared,2022-06-16T01:06:24.000Z,Thu Jun 16 01:06:24 +0000 2022,2,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/broadways-next-fanny-brice-who-should-replace-beanie-feldstein-in-funny-girl-vote-in-our-poll/ ,1,0,,
1537232572300038144,Landon Barker raves over Kourtney Kardashian after she married his dad Travis Barker: https://t.co/w14flbHKgs,JustJared.com,JustJared,2022-06-16T00:36:20.000Z,Thu Jun 16 00:36:20 +0000 2022,5,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/landon-barker-raves-about-amazing-stepmom-kourtney-kardashian/ ,0,0,,
1537231422859096065,"Naomi Watts and Liev Schreiber shared photos of their ""modern family"" at their child Kai's graduation https://t.co/qAcTuEFuWf",JustJared.com,JustJared,2022-06-16T00:31:46.000Z,Thu Jun 16 00:31:46 +0000 2022,10,4,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/naomi-watts-liev-schreibers-partners-join-them-for-kais-graduation-modern-family/ ,0,0,,
1537229289921589248,Rosario Dawson is showing off her new pixie cut at the #Dopesick FYC Event! https://t.co/8mjHxZLnbP,JustJared.com,JustJared,2022-06-16T00:23:17.000Z,Thu Jun 16 00:23:17 +0000 2022,8,2,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/rosario-dawson-debuts-new-shorter-hair-at-dopesick-fyc-event-with-co-stars-kaitlyn-dever-michael-keaton/ ,1,0,,
1537221740589613056,Sharna Burgess is explaining why she reached out to Megan Fox when she first started dating Brian Austin Green: https://t.co/kTyGtXZsiK,JustJared.com,JustJared,2022-06-15T23:53:17.000Z,Wed Jun 15 23:53:17 +0000 2022,7,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/sharna-burgess-reveals-she-reached-out-to-megan-fox-when-she-started-dating-brian-austin-green/ ,0,0,,
1537216519888699392,Chris Evans is blasting any homophobes who are criticizing the gay kiss in #Lightyear https://t.co/4pLUCkFmfw,JustJared.com,JustJared,2022-06-15T23:32:33.000Z,Wed Jun 15 23:32:33 +0000 2022,46,6,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/chris-evans-blasts-homophobes-who-criticized-lightyear-gay-kiss-scene/ ,1,0,,
1537207418345635841,Dakota Fanning and Denzel Washington are teaming up on screen again https://t.co/kbkxry6Dkd,JustJared.com,JustJared,2022-06-15T22:56:23.000Z,Wed Jun 15 22:56:23 +0000 2022,21,7,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.justjared.com/2022/06/15/dakota-fanning-will-reunite-with-denzel-washington-for-equalizer-3/ ,0,0,,
1537206284482535428,Eva Mendes is sharing her reaction to seeing partner Ryan Gosling in character as Ken! https://t.co/G1rOQrG9kF,JustJared.com,JustJared,2022-06-15T22:51:52.000Z,Wed Jun 15 22:51:52 +0000 2022,10,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/eva-mendes-shares-her-reaction-to-ryan-goslings-ken-photo/ ,0,0,,
1537198537837907968,Beanie Feldstein has announced that she will be leaving #FunnyGirl on Broadway https://t.co/zRq0fmH57T,JustJared.com,JustJared,2022-06-15T22:21:05.000Z,Wed Jun 15 22:21:05 +0000 2022,6,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/beanie-feldstein-announces-final-show-in-funny-girl-on-broadway-read-her-statement/ ,1,0,,
1537194613823393792,Sam Asghari and Mel Gibson get into the action in #HotSeat. Watch the first trailer https://t.co/NgdjhYztEx,JustJared.com,JustJared,2022-06-15T22:05:30.000Z,Wed Jun 15 22:05:30 +0000 2022,4,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.justjared.com/2022/06/15/sam-asghari-mel-gibson-star-in-hot-seat-watch-the-trailer/ ,1,0,,
1537194475201495040,Amber Heard explains why she still loves her ex Johnny Depp https://t.co/4wjmp6Tsr3,JustJared.com,JustJared,2022-06-15T22:04:57.000Z,Wed Jun 15 22:04:57 +0000 2022,2,2,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/amber-heard-explains-why-she-still-loves-johnny-depp/ ,0,0,,
1537185882175811585,The Jonas Brothers all weighed in on where they stand now https://t.co/MxLfUVfHOB,JustJared.com,JustJared,2022-06-15T21:30:48.000Z,Wed Jun 15 21:30:48 +0000 2022,14,5,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.justjared.com/2022/06/15/the-jonas-brothers-get-candid-about-where-they-stand-now-as-a-group/ ,0,0,,
1537182443064680450,Coco Rocha strikes a pose at the Neiman Marcus launch of Salon 1884 by Andrea Mary Marshall in NYC https://t.co/tlLaXOGEjh,JustJared.com,JustJared,2022-06-15T21:17:08.000Z,Wed Jun 15 21:17:08 +0000 2022,1,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.justjared.com/2022/06/15/coco-rocha-celebrates-at-neiman-marcus-nyc-launch-of-salon-1884-by-andrea-mary-marshall/ ,0,0,,
1537176747677888513,The real life Michael Peterson gave an interview about Colin Firth's portrayal of him: https://t.co/80MF0AAHh0,JustJared.com,JustJared,2022-06-15T20:54:30.000Z,Wed Jun 15 20:54:30 +0000 2022,1,2,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/real-life-michael-peterson-thinks-colin-firth-is-dull-as-dirt/ ,0,0,,
1537176143916318721,#WestSideStory co-stars and real life couple Josh Andrés Rivera and Rachel Zegler are reuniting on screen https://t.co/wXaRqpqQyU,JustJared.com,JustJared,2022-06-15T20:52:06.000Z,Wed Jun 15 20:52:06 +0000 2022,5,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.justjared.com/2022/06/15/west-side-storys-josh-andres-rivera-joins-hunger-games-prequel-alongside-girlfriend-rachel-zegler/ ,1,0,,
1537167732029915139,"Dakota Johnson revealed the film she's most proud of making (and the reason why, too) https://t.co/dlGuU1iE26",JustJared.com,JustJared,2022-06-15T20:18:41.000Z,Wed Jun 15 20:18:41 +0000 2022,151,31,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.justjared.com/2022/06/15/dakota-johnson-reveals-which-of-her-films-shes-most-proud-of-why/ ,0,0,,
