Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1541085747578650629,https://t.co/XrNbGW4Vi2,livies hq ?,LiviesHQ,2022-06-26T15:47:28.000Z,Sun Jun 26 15:47:28 +0000 2022,858,88,zxx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,photo,https://pbs.twimg.com/media/FWMJTyHXgAE_mt-.jpg,https://pbs.twimg.com/media/FWMJTyLXoAInFq-.jpg,,
1541085730423832578,baby’s first #glastonbury was one for the books ?? https://t.co/K9J1hsyirV,livies hq ?,LiviesHQ,2022-06-26T15:47:24.000Z,Sun Jun 26 15:47:24 +0000 2022,5647,682,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FWMJR4LXkAA_Jex.jpg,https://pbs.twimg.com/media/FWMJR4SWYAI8XNv.jpg,https://pbs.twimg.com/media/FWMJR4NX0AE8ntk.jpg,https://pbs.twimg.com/media/FWMJR54WYAEUn5j.jpg
1540879719012474881,"RT @PopCrave : Olivia Rodrigo and @LiviesHQ have started a fundraiser for Planned Parenthood following the overturning of Roe v. Wade. 

Donate: https://t.co/u8i1gQG5Xn https://t.co/nG1QRg7xue",livies hq ?,LiviesHQ,2022-06-26T02:08:47.000Z,Sun Jun 26 02:08:47 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://instagram.com/livieshq?igshid=YmMyMTA2M2Y= ,0,1,photo,https://pbs.twimg.com/media/FWILLh0UEAA3gSP.jpg,https://pbs.twimg.com/media/FWILLhzUsAAyhif.jpg,,
1540859576995778560,donate any amount to the fundraiser for ur chance to win 1 of 3 olivia prize packs ? #BansOffOurBodies https://t.co/DimaHzBQWX,livies hq ?,LiviesHQ,2022-06-26T00:48:45.000Z,Sun Jun 26 00:48:45 +0000 2022,943,212,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://www.instagram.com/linking/fundraiser?fundraiser_id=432877162082481 ,1,0,,,,,
1540805826880933889,? take action by making a monthly or single donation to ur local @PPFA to help them &amp; all those they reach #bansoffourbodies,livies hq ?,LiviesHQ,2022-06-25T21:15:10.000Z,Sat Jun 25 21:15:10 +0000 2022,566,103,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,1,1,,,,,
1540805824502763520,"we are heartbroken &amp; devastated over the supreme court’s decision to overturn roe vs wade &amp; take away women’s basic human right to choose how to take care of her body. 
https://t.co/sF8h1dyv0b",livies hq ?,LiviesHQ,2022-06-25T21:15:10.000Z,Sat Jun 25 21:15:10 +0000 2022,2691,490,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://www.instagram.com/reel/CfPZRyeDB7E/?igshid=YmMyMTA2M2Y= ,0,0,,,,,
1540774324889681920,@goood4rep @oliviarodrigo PROUD OF OLIVIA,livies hq ?,LiviesHQ,2022-06-25T19:09:59.000Z,Sat Jun 25 19:09:59 +0000 2022,380,29,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1540768038823264257,!!!!!!!! https://t.co/3e3WOkF9q7,livies hq ?,LiviesHQ,2022-06-25T18:45:01.000Z,Sat Jun 25 18:45:01 +0000 2022,5410,376,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/alexlukewood/status/1540764802988908551 ,0,0,,,,,
1540766634339536896,this is the most unbelievable thing we have EVER heard ??? https://t.co/7HCmYHUwEL,livies hq ?,LiviesHQ,2022-06-25T18:39:26.000Z,Sat Jun 25 18:39:26 +0000 2022,2442,253,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/jelousyliv/status/1540760420431982593 ,0,0,,,,,
1540765993806417920,@Iivgetsdejavu @oliviarodrigo CHILLS. #Glastonbury2022,livies hq ?,LiviesHQ,2022-06-25T18:36:53.000Z,Sat Jun 25 18:36:53 +0000 2022,36,4,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,1,2,,,,,
1540765886587338753,RT @needymotel : never been prouder of anyone ever. ?? #Glastonbury2022 @oliviarodrigo @LiviesHQ https://t.co/uYtKRjqStO,livies hq ?,LiviesHQ,2022-06-25T18:36:28.000Z,Sat Jun 25 18:36:28 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,2,photo,https://pbs.twimg.com/media/FWHlwEUUEAElD5b.jpg,,,
1540765846750040064,SHE IS THE MOMENT #Glastonbury2022 https://t.co/nurpp5N4Z1,livies hq ?,LiviesHQ,2022-06-25T18:36:18.000Z,Sat Jun 25 18:36:18 +0000 2022,2272,253,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/_egocrush/status/1540763097287102465 ,1,0,,,,,
