Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1535902270574972928,"15 years ago today, @Rihanna released “Shut Up And Drive” as the second single from ‘Good Girl Gone Bad.’

The track became an international top 10 hit, peaking at #4 in Australia and at #5 in the UK. It reached #15 on the Hot 100 and is certified 2x Platinum by the @RIAA. https://t.co/YRDcO70qGw",Pop Crave,PopCrave,2022-06-12T08:30:11.000Z,Sun Jun 12 08:30:11 +0000 2022,58,6,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,0,2,photo,https://pbs.twimg.com/media/FVCe-YcXEAAzpJU.jpg,https://pbs.twimg.com/media/FVCe-YeXoAAEuni.jpg,https://pbs.twimg.com/media/FVCe-YgXwAARbj_.jpg,
1535887160741593088,"2 years ago today, @ChloexHalle released their sophomore album, ‘Ungodly Hour.’

The LP was met with widespread critical acclaim and earned 3 Grammy Award nominations. It became their first top 20 album in the US, reaching #16, and spawned the singles “Do It” and “Forgive Me.” https://t.co/fRDiwNstD4",Pop Crave,PopCrave,2022-06-12T07:30:09.000Z,Sun Jun 12 07:30:09 +0000 2022,573,74,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/FVCRO4IXoAAL0qO.jpg,https://pbs.twimg.com/media/FVCRO35WQAA2w_C.jpg,,
1535870326269149184,"32 years ago today, @MariahCarey released her self-titled debut album.

It topped the Billboard 200 for 11 weeks and has been certified 9x Platinum by @RIAA. The record spawned four #1 singles, including “Vision Of Love,” and marked the beginning of her record-breaking career. https://t.co/zxr54dCk17",Pop Crave,PopCrave,2022-06-12T06:23:15.000Z,Sun Jun 12 06:23:15 +0000 2022,882,196,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,2,photo,https://pbs.twimg.com/media/FVCB6tjWYAEEZr5.jpg,https://pbs.twimg.com/media/FVCB6tlWYAIVqoO.jpg,,
1535843415736262656,“All Too Well” (10 Minute Version) (The Short Film) has a run-time of 11 minutes and 26 seconds. https://t.co/u4gjmmtYJw,Pop Crave,PopCrave,2022-06-12T04:36:19.000Z,Sun Jun 12 04:36:19 +0000 2022,1979,133,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVBpcj7VIAEYGag.jpg,,,
1535842960356413445,"Taylor Swift has released a new, cinematic version of 'All Too Well (10 Minute Version)' with an extended ending in honor of her appearance at the Tribeca Film Festival. 

Stream: https://t.co/hpjeFtYOyV https://t.co/gcdfOe7IRT",Pop Crave,PopCrave,2022-06-12T04:34:30.000Z,Sun Jun 12 04:34:30 +0000 2022,2190,268,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://open.spotify.com/track/1u4HUiREUR6vX1W1RYG2Tm?si=5tMdMK8cTsuM00iu0gJQgQ&context=spotify%3Aalbum%3A2O1NYIBQCUobrL97A2Unk8 ,0,0,photo,https://pbs.twimg.com/media/FVBpCDnVIAY5oLN.jpg,,,
1535824602588274689,"Lynn and Jamie Lynn Spears react to posts regarding Britney Spears’ wedding, which they weren’t invited to. https://t.co/CmMRewvdlF",Pop Crave,PopCrave,2022-06-12T03:21:34.000Z,Sun Jun 12 03:21:34 +0000 2022,3569,181,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVBYVQQVIAAAmft.jpg,https://pbs.twimg.com/media/FVBYVQSUAAEzIsJ.jpg,,
1535818905234444288,RT @PopCrave : Taylor Swift revealed at Tribeca Film Festival that she’d like to direct a movie following her experience writing and directing the ‘All Too Well’ short film. https://t.co/9EDoOg2h01,Pop Crave,PopCrave,2022-06-12T02:58:55.000Z,Sun Jun 12 02:58:55 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FVAwgbDVUAAowqB.jpg,https://pbs.twimg.com/media/FVAwgbEUEAEAli-.jpg,,
1535810209486077954,"‘Scream 6’ will take place in New York City, according to photos from set. 🔪 https://t.co/CKc2FMwo2u",Pop Crave,PopCrave,2022-06-12T02:24:22.000Z,Sun Jun 12 02:24:22 +0000 2022,2453,192,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVBLPtJWQAEDPji.jpg,,,
1535785046719594497,"31 members of white supremacist group, Patriot Front have been arrested and charged with conspiracy to riot near a Pride event in Coeur d’Alene, Idaho.

A citizen spotted the group traveling to the event in a U-Haul.

Police found shields, shin guards, &amp; one smoke grenade. https://t.co/tDpQfTprpj",Pop Crave,PopCrave,2022-06-12T00:44:23.000Z,Sun Jun 12 00:44:23 +0000 2022,4065,488,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVA0XBaVsAIgDSp.jpg,https://pbs.twimg.com/media/FVA0XCAUEAAgwhb.jpg,,
1535780810615205888,Taylor Swift revealed at Tribeca Film Festival that she’d like to direct a movie following her experience writing and directing the ‘All Too Well’ short film. https://t.co/9EDoOg2h01,Pop Crave,PopCrave,2022-06-12T00:27:33.000Z,Sun Jun 12 00:27:33 +0000 2022,8685,561,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVAwgbDVUAAowqB.jpg,https://pbs.twimg.com/media/FVAwgbEUEAEAli-.jpg,,
