Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1523336778245103617,"Don't forget to put your mom in the spotlights today Robloxians. #HappyMothersDay to all the moms out there! ??

#RobloxFM https://t.co/dBIDXCNXFA",Roblox FM ?,RBXFM_Official,2022-05-08T16:19:24.000Z,Sun May 08 16:19:24 +0000 2022,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,2,0,animated_gif,https://video.twimg.com/tweet_video/FSP6uOfWUAAIj78.mp4,,,
1521154741916549120,"RT @RFMCrazyWeekend : After a 3,5 year hiatus, Hardwell returned to the scene with his blistering performance at Ultra Miami months ago, as well as announcing his world tour and solo album ""Rebels Never Die""! The third single ""F*CKING SOCIETY"" is this week's #RobloxFMCrazyWeekend Track Of The Week! https://t.co/nyupawdBWo",Roblox FM ?,RBXFM_Official,2022-05-02T15:48:46.000Z,Mon May 02 15:48:46 +0000 2022,0,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FRw4-_-XEAEK98H.png,,,
1521153792229576704,"It's time for the brand new HOTW of Week 18! This week, ex-One Direction member Harry Styles returns with a brand new single from his 3rd solo album ""Harry's House"". This is his new song ""As It Was""! ?

#RobloxFM https://t.co/hfiIFl1oZc",Roblox FM ?,RBXFM_Official,2022-05-02T15:45:00.000Z,Mon May 02 15:45:00 +0000 2022,1,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FRw3s-0XMAA-UVC.png,,,
1521153791588020224,"Here comes the brand new Dance Smash of Week 18! With this week, the Swedish Alesso returns with a new track together with fellow Swede, Zara Larsson. It's called ""Words""!

#RobloxFM https://t.co/jThKVfc8zS",Roblox FM ?,RBXFM_Official,2022-05-02T15:45:00.000Z,Mon May 02 15:45:00 +0000 2022,19,7,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FRw4jciWQAA9RIj.png,,,
1519094377091641346,"This week on the @RFMCrazyWeekend Track Of The Week voting:

1. James Hype &amp; Miggy Del Rosa - Ferrari
2. BLOND:ISH, Francis Mercier, Amadou &amp; Mariam - Sete
3. Hardwell - F*CKING SOCIETY
4. Valentino Khan x Dillon Francis - Move It

Vote on our poll!",Roblox FM ?,RBXFM_Official,2022-04-26T23:21:37.000Z,Tue Apr 26 23:21:37 +0000 2022,1,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1519094374281490435,"This week on the Dance Smash voting:

1. Martin Garrix &amp; DubVision feat. Shaun Farrugia - Starlight (Keep Me Afloat)
2. Swedish House Mafia feat. Connie Constance - Heaven Takes You Home
3. Alesso feat. Zara Larsson - Words
4. ARTY - So Good To Me

Vote on our poll!",Roblox FM ?,RBXFM_Official,2022-04-26T23:21:36.000Z,Tue Apr 26 23:21:36 +0000 2022,8,7,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1519094371580362752,"This week on the HOTW voting:

1. The Kid LAROI - Thousand Miles
2. Harry Styles - As It Was
3. PinkPantheress feat. WILLOW - Where you are
4. Masked Wolf feat. Bring Me The Horizon - Fallout

Which of the four songs will become the HOTW Week 18? Vote on our poll!",Roblox FM ?,RBXFM_Official,2022-04-26T23:21:36.000Z,Tue Apr 26 23:21:36 +0000 2022,2,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1519094367897718786,"After a short break for a month, we are back in full effect. Let's break the silence with the brand new voting lists for the HOTW, Dance Smash, and @RFMCrazyWeekend Track Of The Week of Week 18! ??

Happy voting Robloxians!

#RobloxFM https://t.co/f9WPCvgDLN",Roblox FM ?,RBXFM_Official,2022-04-26T23:21:35.000Z,Tue Apr 26 23:21:35 +0000 2022,3,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,1,photo,https://pbs.twimg.com/media/FRTmiboWYAQAPqe.png,https://pbs.twimg.com/media/FRTmxYMWYAMYxwM.png,https://pbs.twimg.com/media/FRTnNhtXEAAUfs6.png,
1518971239339016192,@BetalandRadioFM ??,Roblox FM ?,RBXFM_Official,2022-04-26T15:12:19.000Z,Tue Apr 26 15:12:19 +0000 2022,2,0,und,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1518900871593144320,"What do you say Robloxians, should we start uploading DJ sets from the radio studio on YouTube? ?

#RobloxFM",Roblox FM ?,RBXFM_Official,2022-04-26T10:32:42.000Z,Tue Apr 26 10:32:42 +0000 2022,3,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,1,0,,,,,
1515739821309935630,"From all of us from Roblox FM, we hope you're having an blessed and amazing Easter! ??

#RobloxFM https://t.co/kOnlgG3fnw",Roblox FM ?,RBXFM_Official,2022-04-17T17:11:49.000Z,Sun Apr 17 17:11:49 +0000 2022,2,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,0,animated_gif,https://video.twimg.com/tweet_video/FQj9VGoWQAsrmNt.mp4,,,
1505701460088180741,"RT @RFMCrazyWeekend : It's time for the brand new #RobloxFMCrazyWeekend Track Of The Week of Week 12. With this week, Imanbek and BYOR are taking over the spot with their latest smasher ""Belly Dancer""! ??

#RobloxFM https://t.co/OUl00XHvKx",Roblox FM ?,RBXFM_Official,2022-03-21T00:22:57.000Z,Mon Mar 21 00:22:57 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,2,0,photo,https://pbs.twimg.com/media/FOUt1whWUAQdy11.png,,,
1505661710727888899,"Who else cannot wait for SHM's upcoming album ""Paradise Again"" to be dropped, and premiered at Lollapalooza this year? The third single off the album ""Redlight"", is the brand new Dance Smash of Week 12! ???

#RobloxFM https://t.co/MP5cNLWJDs",Roblox FM ?,RBXFM_Official,2022-03-20T21:45:00.000Z,Sun Mar 20 21:45:00 +0000 2022,1,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FOUtZVnXMAgm3gt.png,,,
