Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1374826240931209217,"Is #R9 coming ""soon""? ? https://t.co/ZWXLcE0q8m",Rihanna Diva,RihannaDiva,2021-03-24T20:51:33.000Z,Wed Mar 24 20:51:33 +0000 2021,157,41,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/ExRdLS1XEAk8n6Y.jpg,,,
1302505670781145088,"@MarckHerz @TMZ @rihanna As much as you - and we - want new music, it's not kind to wish Rihanna to be hurt physically (or emotionally) and you shouldn't joke about health. Please reconsider your thoughts and tweet.",Rihanna Diva,RihannaDiva,2020-09-06T07:15:25.000Z,Sun Sep 06 07:15:25 +0000 2020,8,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,3,,,,,
1302333023434743808,"Rihanna has been spotted at Giorgio Baldi with a black eye and some swelling in her face. Her rep told @TMZ she was on an e-scooter a few days ago and ate it after it flipped over, smacking her in the face and forehead. It looks worse than it is. Stay safe next time @rihanna ?",Rihanna Diva,RihannaDiva,2020-09-05T19:49:23.000Z,Sat Sep 05 19:49:23 +0000 2020,459,85,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,2,,,,,
1290639847510757377,Rihanna for Haper's Bazaar (HQ) https://t.co/jndtQY6xuL,Rihanna Diva,RihannaDiva,2020-08-04T13:24:53.000Z,Tue Aug 04 13:24:53 +0000 2020,187,36,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,0,photo,https://pbs.twimg.com/media/EelGEXbWAAAuH1R.jpg,https://pbs.twimg.com/media/EelGFjIXkAAccWz.jpg,,
1290638210222227456,Rihanna for Harper's Bazaar https://t.co/itAv4uHr1Z,Rihanna Diva,RihannaDiva,2020-08-04T13:18:22.000Z,Tue Aug 04 13:18:22 +0000 2020,300,68,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/EelElHxX0AQu_8p.jpg,https://pbs.twimg.com/media/EelEmgCXsAA1Xl4.jpg,,
1284882992217886720,"Rihanna's Fenty Skin coming up with formulas that work with and without makeup, and an eco-friendly packaging! ? https://t.co/ak20WPEB7I",Rihanna Diva,RihannaDiva,2020-07-19T16:09:11.000Z,Sun Jul 19 16:09:11 +0000 2020,248,33,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/EdTR6OkXsAAuLaH.jpg,https://pbs.twimg.com/media/EdTSLBkXoAkSNjY.png,,
1283144652254851079,"RT @rihanna : Ima try my best to be humble about this but, @fentyskin is coming July 31st exclusively at https://t.co/f8LNnr3cE8!! Y’all ain’t hear it from me ? but you can shop it early if ya drop me your email: https://t.co/YaT6BFSJec https://t.co/NLUknNxwfd",Rihanna Diva,RihannaDiva,2020-07-14T21:01:39.000Z,Tue Jul 14 21:01:39 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,http://FENTYSKIN.COM https://ri-hanna.io/fentyskin ,0,1,video,https://video.twimg.com/ext_tw_video/1283144400269238272/pu/vid/480x480/Pmx7ozKQkFSGl0NX.mp4?tag=10,,,
1273369772156166147,@shevfenty We're still here!,Rihanna Diva,RihannaDiva,2020-06-17T21:39:46.000Z,Wed Jun 17 21:39:46 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,0,,,,,
1265183394780061698,@RihRobyn it still works for me :(,Rihanna Diva,RihannaDiva,2020-05-26T07:30:01.000Z,Tue May 26 07:30:01 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1265183355479437312,https://t.co/OSwBnjLNr4,Rihanna Diva,RihannaDiva,2020-05-26T07:29:52.000Z,Tue May 26 07:29:52 +0000 2020,23,3,zxx,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,https://twitter.com/rihanna/status/482231945204465665 ,0,0,,,,,
1265183158959472640,"Listen to Rihanna's entire version of Selena's ""Same Old Love"": https://t.co/BZnBqqkPr7",Rihanna Diva,RihannaDiva,2020-05-26T07:29:05.000Z,Tue May 26 07:29:05 +0000 2020,127,50,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.youtube.com/watch?v=7AqdOQCtSA8 ,0,0,,,,,
1265182815697715202,@Esteban_RDiva Bon anniversaire Esteban !,Rihanna Diva,RihannaDiva,2020-05-26T07:27:43.000Z,Tue May 26 07:27:43 +0000 2020,1,0,fr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,0,1,,,,,
1264662115039748097,"Rihanna released her debut single ""Pon De Replay"" 15 years ago, on may 24, 2005! The rest is histoRIH! #15YearsOfRihanna https://t.co/AHByVxyjeB",Rihanna Diva,RihannaDiva,2020-05-24T20:58:39.000Z,Sun May 24 20:58:39 +0000 2020,147,23,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,0,animated_gif,https://video.twimg.com/tweet_video/EYz7e-NXYAAj76m.mp4,,,
