Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1537972203790077958,RT @TayliviaTeam : Team Swiftie ? #TheSummerITurnedPretty https://t.co/7FnbdXQIuX,Taylivia Team,TayliviaTeam,2022-06-18T01:35:22.000Z,Sat Jun 18 01:35:22 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FVdmuYQWAAAwipJ.jpg,,,
1537952088688234497,"?| @oliviarodrigo via Instagram 

“SOUR TOUR in europe!!!! been wonderful so far. Germany Italy and Switzerland!!!! thank you!!!! ????????” https://t.co/6QOoLaxGik",Taylivia Team,TayliviaTeam,2022-06-18T00:15:26.000Z,Sat Jun 18 00:15:26 +0000 2022,161,17,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/FVfnRF6UsAAigE_.jpg,https://pbs.twimg.com/media/FVfnRF0VEAA8nOU.jpg,https://pbs.twimg.com/media/FVfnRFvVEAATK3t.jpg,https://pbs.twimg.com/media/FVfnRFyUUAENHFb.jpg
1537943267265765378,RT @thesummeritp : we don't want to hear anything right now but this olivia rodrigo track,Taylivia Team,TayliviaTeam,2022-06-17T23:40:23.000Z,Fri Jun 17 23:40:23 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1537878770241228800,RT @LiviesHQ : thank u milan 4 such a beautiful night ? get ready #SOURTOURcologne bc we’re heading ur way! https://t.co/iIVGetmige,Taylivia Team,TayliviaTeam,2022-06-17T19:24:05.000Z,Fri Jun 17 19:24:05 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FVejx-hUEAMJh6L.jpg,https://pbs.twimg.com/media/FVejx-mVIAgp_fQ.jpg,https://pbs.twimg.com/media/FVejx-kVUAYW53F.jpg,https://pbs.twimg.com/media/FVejx_aVUAIwUnG.jpg
1537866021792632833,"?| @conangray on his friendship with @oliviarodrigo via Rolling Stone

“She’s someone that I just adore. And it’s always nice to have friends that you can depend on. […] it’s nice to have people that you can relate to and find comfort in.” https://t.co/cXX5FY8OZp",Taylivia Team,TayliviaTeam,2022-06-17T18:33:26.000Z,Fri Jun 17 18:33:26 +0000 2022,953,95,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,2,photo,https://pbs.twimg.com/media/FVeY_aGXwAQ02fp.jpg,,,
1537846031685144578,"“..A complete surprise to all of us in
the cast because it was so top secret that this collaboration was happening. That was so wild and so unbelievable and unbelievably amazing because it's Taylor Swift.”
#TheSummerITurnedPretty  #TaylorSwift https://t.co/pY40OZX5kb",Taylivia Team,TayliviaTeam,2022-06-17T17:14:00.000Z,Fri Jun 17 17:14:00 +0000 2022,27,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,2,0,photo,https://pbs.twimg.com/media/FVeG0NDXwAAAZ66.jpg,https://pbs.twimg.com/media/FVeG0NNWYAAEvbP.jpg,,
1537846027172171777,"?| @thesummeritp actress Lola Tung talks about having @taylorswift13’s music in the show and on the collaboration 

“Her lyrics are just beautiful and
so lovely. I just thought they just fit so perfectly” https://t.co/H5is8xcoe3",Taylivia Team,TayliviaTeam,2022-06-17T17:13:59.000Z,Fri Jun 17 17:13:59 +0000 2022,127,10,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,2,photo,https://pbs.twimg.com/media/FVeGz5MWUAAKO7H.jpg,https://pbs.twimg.com/media/FVeGz5MXEAIGnD9.jpg,,
1537810754983845893,Team Swiftie ? #TheSummerITurnedPretty https://t.co/7FnbdXQIuX,Taylivia Team,TayliviaTeam,2022-06-17T14:53:49.000Z,Fri Jun 17 14:53:49 +0000 2022,206,27,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FVdmuYQWAAAwipJ.jpg,,,
1537798670137040896,"RT @TayliviaTeam : ?| #thesummeriturnedpretty #Spoiler 

@taylorswift13’s “The Way I Loved You” from Fearless (Taylor’s Version) is played in episode 7 of @thesummeritp ! 

It. Sounds. So. Good. What do you think? #TaylorSwift ?? 

https://t.co/rCcXCKu8Qw",Taylivia Team,TayliviaTeam,2022-06-17T14:05:48.000Z,Fri Jun 17 14:05:48 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,3,2,video,https://video.twimg.com/ext_tw_video/1537609111948472320/pu/pl/DlUPJLOJ615umpJz.m3u8?tag=12&container=fmp4,,,
1537798650528776194,"RT @TayliviaTeam : ?| #thesummeriturnedpretty #Spoiler 

@taylorswift13’s song “False God” as featured in episode 4 of “The Summer I Turned Pretty” on Amazon! 

https://t.co/Et4lfG8zMe",Taylivia Team,TayliviaTeam,2022-06-17T14:05:43.000Z,Fri Jun 17 14:05:43 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,1,video,https://video.twimg.com/ext_tw_video/1537606150602076162/pu/pl/YLWqpcvBTBMA3XEH.m3u8?tag=12&container=fmp4,,,
1537798620422017024,"RT @TayliviaTeam : ?| #TheSummerITurnedPretty spoiler 

@oliviarodrigo’s “brutal” plays on the first episode of #TheSummerITurnedPretty https://t.co/RJyC3p59zi",Taylivia Team,TayliviaTeam,2022-06-17T14:05:36.000Z,Fri Jun 17 14:05:36 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,1,video,https://video.twimg.com/ext_tw_video/1537597900993306630/pu/vid/480x270/mjrRPLb0Da7yzw-J.mp4?tag=12,,,
1537621712187142144,"RT @TayliviaTeam : ? The Summer I Turned Pretty, based on @jennyhan’s book, features FIVE @taylorswift13 songs in total!! 

Ep 1: Cruel Summer and Lover
Ep 2: False God 
Ep 7: The Way I Loved You (TV) and This Love (TV)
 #TheSummerITurnedPretty https://t.co/lquwp4eMvY",Taylivia Team,TayliviaTeam,2022-06-17T02:22:38.000Z,Fri Jun 17 02:22:38 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,2,photo,https://pbs.twimg.com/media/FVaoQrYWQAMHMOc.jpg,,,
1537621698517815298,"*ep 4: False God ?? 

We were clearly too excited ?",Taylivia Team,TayliviaTeam,2022-06-17T02:22:35.000Z,Fri Jun 17 02:22:35 +0000 2022,26,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,,,,,
