Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1538001070911172608,"HBO Max has released the teaser for ‘Pretty Little Liars: Original Sin,’ streaming July 28.

https://t.co/deUNhcrOd5",Affinity Magazine,TheAffinityMag,2022-06-18T03:30:04.000Z,Sat Jun 18 03:30:04 +0000 2022,1,1,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,0,0,video,https://video.twimg.com/amplify_video/1536880985077190657/vid/720x720/65LxnxHDRP5q2N_l.mp4?tag=14,,,
1537985955210010625,"“Hopefully audiences will see more of these efforts in the future of this genre.”

https://t.co/ypHLM0I1aK",Affinity Magazine,TheAffinityMag,2022-06-18T02:30:00.000Z,Sat Jun 18 02:30:00 +0000 2022,0,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://culture.affinitymagazine.us/review-robert-pattinson-delivers-vengeance-in-the-batman/ ,0,0,,,,,
1537955784922845184,"“There is nothing natural about the binary divide of the world we live in.”

https://t.co/XZ1ENIr8yQ",Affinity Magazine,TheAffinityMag,2022-06-18T00:30:07.000Z,Sat Jun 18 00:30:07 +0000 2022,3,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://affinitymagazine.us/2020/11/09/changing-language-on-pronouns-and-grammar/ ,0,0,,,,,
1537951184060702720,".@charlieputh and @bts_twt’s #Jungkook will be releasing their collaboration ‘Left and Right’ next Friday, June 24. https://t.co/Tg51yyz62U",Affinity Magazine,TheAffinityMag,2022-06-18T00:11:50.000Z,Sat Jun 18 00:11:50 +0000 2022,1468,499,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,2,photo,https://pbs.twimg.com/media/FVfmccpUEAA6upM.jpg,,,
1537948544237043715,.@BebeRexha and @ITZYofficial possibly tease a remix of ‘Break My Heart Myself’ on Twitter. ? https://t.co/oSnsZHTKPe,Affinity Magazine,TheAffinityMag,2022-06-18T00:01:21.000Z,Sat Jun 18 00:01:21 +0000 2022,8,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,2,photo,https://pbs.twimg.com/media/FVfkC4YUEAMsvbs.jpg,https://pbs.twimg.com/media/FVfkC4fUYAAHEqE.jpg,https://pbs.twimg.com/media/FVfkC4VUYAURGv2.jpg,
1537940679921266693,"#TheSummerITurnedPretty is now available for streaming on Prime Video!

Are you Team Conrad or Team Jeremiah? ? https://t.co/GBQXJL37DR",Affinity Magazine,TheAffinityMag,2022-06-17T23:30:06.000Z,Fri Jun 17 23:30:06 +0000 2022,1,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FVfc5XCUcAAePXZ.jpg,,,
1537925557760843777,"“Streetwear explores the relationship between commodity, luxury and societal perceptions of the boundaries of these goods’ values.”

https://t.co/PszwIVRL2H",Affinity Magazine,TheAffinityMag,2022-06-17T22:30:00.000Z,Fri Jun 17 22:30:00 +0000 2022,1,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://culture.affinitymagazine.us/the-young-face-of-streetwear-claudette-the-brand-an-interview-with-layan-al-dabbous/ ,0,0,,,,,
1537910491929972736,no thoughts just dylan o’brien and logan lerman together. https://t.co/LUNiS6tblW,Affinity Magazine,TheAffinityMag,2022-06-17T21:30:08.000Z,Fri Jun 17 21:30:08 +0000 2022,293,23,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVfBcImVEAQC9yM.jpg,,,
1537895384235708416,"“Yes, I’m certain this experience isn’t exclusive to the U.S., or just any predominantly White country.”

https://t.co/WrMSSHqaVh",Affinity Magazine,TheAffinityMag,2022-06-17T20:30:06.000Z,Fri Jun 17 20:30:06 +0000 2022,0,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://affinitymagazine.us/2021/07/19/acknowledging-my-internalized-racism-as-an-asian-american-who-barely-lived-in-america/ ,0,0,,,,,
1537865244567121920,"“Exploring a wider range of genres, Red Velvet takes on the challenge of bringing classical music into K-Pop, and the end results are simply magical.”

https://t.co/tqBHbjcb2p",Affinity Magazine,TheAffinityMag,2022-06-17T18:30:21.000Z,Fri Jun 17 18:30:21 +0000 2022,0,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://culture.affinitymagazine.us/review-red-velvet-sparkles-in-new-magical-album-feel-my-rhythm/ ,0,0,,,,,
1537850123182538752,"At his first solo stadium concert in his home, Manchester, @Harry_Styles’ mother wore the same shirt from his X-Factor audition from over 10 years ago. ? https://t.co/ELalKHqUSk",Affinity Magazine,TheAffinityMag,2022-06-17T17:30:15.000Z,Fri Jun 17 17:30:15 +0000 2022,33,2,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/FVeKiWDXEAI6iJ8.jpg,https://pbs.twimg.com/media/FVeKiWFWQAEmYS5.jpg,,
1537850082187522049,"Noah Schnapp, who plays Will on #StrangerThings4, has revealed that there will be “some deaths coming” in Season 4 Volume II, premiering on July 1st. https://t.co/dM82QxzvVH",Affinity Magazine,TheAffinityMag,2022-06-17T17:30:06.000Z,Fri Jun 17 17:30:06 +0000 2022,3,1,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FVeKf7FXoAId8QR.jpg,,,
1537844728372334593,"With ‘Running Up That Hill’ hitting #1, Kate Bush breaks the following records in the UK: 

• Oldest female singer to have a #1 single
• Longest gap between #1 hits
• Longest time for a single to reach #1 https://t.co/1QIDTBmmMd",Affinity Magazine,TheAffinityMag,2022-06-17T17:08:49.000Z,Fri Jun 17 17:08:49 +0000 2022,19,3,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,photo,https://pbs.twimg.com/media/FVeFoKwWUAARROm.jpg,,,
1537844017437806592,"TV Daily is reporting that @BLACKPINK’s #JENNIE is in talks to appear in the upcoming HBO series ‘The Idol.’ 

The show stars The Weeknd and Lily- Rose Depp. https://t.co/iJdDmUYO4V",Affinity Magazine,TheAffinityMag,2022-06-17T17:06:00.000Z,Fri Jun 17 17:06:00 +0000 2022,1141,276,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,1,photo,https://pbs.twimg.com/media/FVeE-yjWYAEMDap.jpg,https://pbs.twimg.com/media/FVeE-ymX0AA7bJ2.jpg,,
1537843304921976832,"Kate Bush’s ‘Running Up That Hill (A Deal With God)’ hits #1 in the UK charts. 

It is her first #1 hit in the country since 1978. https://t.co/S2ExA20rcY",Affinity Magazine,TheAffinityMag,2022-06-17T17:03:10.000Z,Fri Jun 17 17:03:10 +0000 2022,22,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVeEVXBXoAUbfQX.jpg,,,
1537835083364712448,"“The film is a beautifully heartwarming exploration of love, family and friendship.”

https://t.co/rfuM8nDEDs",Affinity Magazine,TheAffinityMag,2022-06-17T16:30:30.000Z,Fri Jun 17 16:30:30 +0000 2022,3,1,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://culture.affinitymagazine.us/turning-red-is-a-triumph/ ,0,0,,,,,
1537804820211539970,"“They have their own governor and a non-voting representative in the U.S. House of Representatives, but they may not vote in Senate or presidential elections.”

https://t.co/0NPUt4BBiN",Affinity Magazine,TheAffinityMag,2022-06-17T14:30:14.000Z,Fri Jun 17 14:30:14 +0000 2022,1,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://affinitymagazine.us/2022/03/29/modern-american-imperialism/ ,0,0,,,,,
1537774613123452929,"“Her perspective on the pop music genre has become clearer than ever and it truly shows who @Charli_XCX is not only as an artist but also as a pop star.”

https://t.co/TPiXrWLPYE",Affinity Magazine,TheAffinityMag,2022-06-17T12:30:12.000Z,Fri Jun 17 12:30:12 +0000 2022,0,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://culture.affinitymagazine.us/charli-xcx-is-trying-to-crash-the-popstar-stereotype-review/ ,0,1,,,,,
1537744399953801217,"“Its sequel arrives 36 years later managing to highlighting these very same elements, while completely reinventing them for the better.”

https://t.co/O2cm9EiZF3",Affinity Magazine,TheAffinityMag,2022-06-17T10:30:09.000Z,Fri Jun 17 10:30:09 +0000 2022,0,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://culture.affinitymagazine.us/top-gun-maverick-is-the-definition-of-a-perfect-sequel/ ,0,0,,,,,
1537729270813949953,Demi Lovato by Dennis Leupold for L’Officiel Italia. https://t.co/Txv8nA2fYW,Affinity Magazine,TheAffinityMag,2022-06-17T09:30:02.000Z,Fri Jun 17 09:30:02 +0000 2022,484,75,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVccn0EXwAINyba.jpg,,,
1537714163635605505,"“Each primary that a state holds chooses which candidates will run in the general.”

https://t.co/3BUCVdl6Lu",Affinity Magazine,TheAffinityMag,2022-06-17T08:30:00.000Z,Fri Jun 17 08:30:00 +0000 2022,0,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://affinitymagazine.us/2022/06/06/2022-u-s-midterms-dispatch-3-have-recent-primaries-changed-predictions-for-fall/ ,0,0,,,,,
1537699142130073600,"In an interview with Rolling Stone, Megan Thee Stallion revealed that in addition to writing a docuseries about her career, she also plans to launch a career in direction. 

?: Ramona Rosales https://t.co/Ts7bo6IGLT",Affinity Magazine,TheAffinityMag,2022-06-17T07:30:19.000Z,Fri Jun 17 07:30:19 +0000 2022,14,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVcBOEDXoAAIi6c.jpg,,,
1537683993948217344,"“Some have argued that Harry is a rockstar, but this album is the work of a popstar innovating in his field — it’s easy listening in the best possible way.”

https://t.co/H9EQI8f1Lf",Affinity Magazine,TheAffinityMag,2022-06-17T06:30:07.000Z,Fri Jun 17 06:30:07 +0000 2022,0,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://culture.affinitymagazine.us/harry-styles-invites-fans-home-on-his-third-solo-album-harrys-house-a-track-by-track-analysis-review/ ,0,0,,,,,
1537653782426931203,"“Red Bull’s #CultureClash takes place on June 24th at The Shrine Expo Hall in downtown Los Angeles.”

https://t.co/KQZiBd3sNK",Affinity Magazine,TheAffinityMag,2022-06-17T04:30:04.000Z,Fri Jun 17 04:30:04 +0000 2022,1,1,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://culture.affinitymagazine.us/red-bull-brings-culture-clash-back-to-l-a-after-10-years/ ,1,0,,,,,
1537623568749576194,"""People who are straight are never stripped of their recognition in society.""

https://t.co/rvZp8V7zwP",Affinity Magazine,TheAffinityMag,2022-06-17T02:30:01.000Z,Fri Jun 17 02:30:01 +0000 2022,0,0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,http://affinitymagazine.us/2017/06/04/dear-non-queer-people-there-isnt-a-straight-pride-month-because-your-sexuality-has-been-normalized/ ,0,0,,,,,
