"Tweet Id","Text","Name","Screen Name","UTC","Created At","Favorites","Retweets","Language","Client","Tweet Type","URLs","Hashtags","Mentions","Media Type","Media URLs","","",""
"1527779829143044096","Happy Friday 💜","Coco Jones","TheRealCocoJ","2022-05-20T22:34:30.000Z","Fri May 20 22:34:30 +0000 2022","598","33","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","","0","0","","","","",""
"1527407093678059520","Coco in Cocoa 🤎 https://t.co/hkLz2aa55o","Coco Jones","TheRealCocoJ","2022-05-19T21:53:23.000Z","Thu May 19 21:53:23 +0000 2022","76993","5940","es","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","","0","0","photo","https://pbs.twimg.com/media/FTJwp4jWUAcRf9A.jpg","https://pbs.twimg.com/media/FTJwp4jWUA88mjn.jpg","",""
"1527405215972052992","Choosing peace 💜","Coco Jones","TheRealCocoJ","2022-05-19T21:45:55.000Z","Thu May 19 21:45:55 +0000 2022","957","228","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","","0","0","","","","",""
"1527048314595819520","Something is coming very soon 😉 https://t.co/hG2RZcVm4b","Coco Jones","TheRealCocoJ","2022-05-18T22:07:44.000Z","Wed May 18 22:07:44 +0000 2022","1880","127","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","","0","0","photo","https://pbs.twimg.com/media/FTEqWM0XsAAFY1Q.jpg","","",""
"1527037316006543361","Truly enjoy learning new ways to love myself","Coco Jones","TheRealCocoJ","2022-05-18T21:24:01.000Z","Wed May 18 21:24:01 +0000 2022","639","120","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","","0","0","","","","",""
"1527028734162882561","I ain’t make a remix in a minute what should I cover?","Coco Jones","TheRealCocoJ","2022-05-18T20:49:55.000Z","Wed May 18 20:49:55 +0000 2022","631","30","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","","0","0","","","","",""
"1526669348982689792","Y’all we discussed this…..remind me tho ? https://t.co/ZdflpbaZzb","Coco Jones","TheRealCocoJ","2022-05-17T21:01:51.000Z","Tue May 17 21:01:51 +0000 2022","440","11","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","https://twitter.com/nottaylon/status/1526669011265765384 ","0","0","","","","",""
"1526668835646062592","https://t.co/LXkWGonyQl https://t.co/OwyE55JCKE","Coco Jones","TheRealCocoJ","2022-05-17T20:59:49.000Z","Tue May 17 20:59:49 +0000 2022","92","3","und","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","https://twitter.com/samaraaahii/status/1526637932647358469 ","0","0","animated_gif","https://video.twimg.com/tweet_video/FS_RNgcWQAYQm1k.mp4","","",""
"1526667846335725568","I’m crineeee can I get a EP out first? I’m performing unreleased songs rn 😭🤕 https://t.co/sCGZf2GxjT","Coco Jones","TheRealCocoJ","2022-05-17T20:55:53.000Z","Tue May 17 20:55:53 +0000 2022","282","10","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","https://twitter.com/bigbootyjuni/status/1526637629264912385 ","0","0","","","","",""
"1526644605902520325","Mr. Daye , Mr. Lucky Daye https://t.co/U4LF0nsuBF","Coco Jones","TheRealCocoJ","2022-05-17T19:23:32.000Z","Tue May 17 19:23:32 +0000 2022","1259","128","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","https://twitter.com/Kaybogus/status/1526638263481651203 ","0","0","","","","",""
"1526644492891209729","Giving 90s love songgggg https://t.co/OgNIbIdWcW","Coco Jones","TheRealCocoJ","2022-05-17T19:23:05.000Z","Tue May 17 19:23:05 +0000 2022","291","13","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","https://twitter.com/selenesmvse/status/1526640206350151680 ","0","0","","","","",""
"1526642875190190082","@bribricutie3_ If you ain’t gone come correct don’t come at all 🗣","Coco Jones","TheRealCocoJ","2022-05-17T19:16:39.000Z","Tue May 17 19:16:39 +0000 2022","37","3","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","1","","","","",""
"1526642139567992834","@ppstanx At this point I MUST😂 I stay performing that song","Coco Jones","TheRealCocoJ","2022-05-17T19:13:44.000Z","Tue May 17 19:13:44 +0000 2022","13","0","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","1","","","","",""
