Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1537464727659421696,"Zendaya on Instagram Stories, “Are you kidding me!?!? divine” https://t.co/wOAOkULV0c",Zendaya Updates,Zendaya_Updated,2022-06-16T15:58:50.000Z,Thu Jun 16 15:58:50 +0000 2022,75,9,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,photo,https://pbs.twimg.com/media/FVYsBFcUEAcfDL-.jpg,,,
1537462882866065409,"Zendaya on Instagram Stories, “Y’all already know how I’m feeling…” https://t.co/zVs6VGtRav",Zendaya Updates,Zendaya_Updated,2022-06-16T15:51:30.000Z,Thu Jun 16 15:51:30 +0000 2022,319,49,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVYqVx5VUAE3GaP.jpg,,,
1537462864146857984,"Zendaya on Instagram Stories, “So proud of you @LUXURYLAW” https://t.co/KzUZh9aDsl",Zendaya Updates,Zendaya_Updated,2022-06-16T15:51:26.000Z,Thu Jun 16 15:51:26 +0000 2022,70,3,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/FVYqUr_VEAAdEvt.jpg,,,
1537332938945073152,Euphoria premiered on HBO 3 years ago today. https://t.co/Wyz5s6GsZL,Zendaya Updates,Zendaya_Updated,2022-06-16T07:15:09.000Z,Thu Jun 16 07:15:09 +0000 2022,1012,107,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVW0J5VVEAApDVL.jpg,https://pbs.twimg.com/media/FVW0J5YUYAAigup.jpg,https://pbs.twimg.com/media/FVW0J5XVsAAyRt9.jpg,https://pbs.twimg.com/media/FVW0J5XVEAAlONR.jpg
1537125508910964736,"this is why y’all shouldn’t be spreading rumours, whether you choose to realise it actually affects people or not. some of y’all step on the internet and just lose all critical thinking skills…",Zendaya Updates,Zendaya_Updated,2022-06-15T17:30:54.000Z,Wed Jun 15 17:30:54 +0000 2022,567,48,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,,,,,
1537125020354240512,Zendaya on Instagram Stories! https://t.co/pW7wwu4GMa,Zendaya Updates,Zendaya_Updated,2022-06-15T17:28:57.000Z,Wed Jun 15 17:28:57 +0000 2022,1068,65,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVT3DdCVsAA-EPX.jpg,,,
1537124345591451648,"Zendaya on Instagram Stories, “See now, this is why I stay off Twitter… Just making stuff up for no reason…weekly. Anyway back to filming ? Challengers” https://t.co/4ZZBla5D2M",Zendaya Updates,Zendaya_Updated,2022-06-15T17:26:17.000Z,Wed Jun 15 17:26:17 +0000 2022,3588,301,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVT2cNzUUAAToNX.jpg,https://pbs.twimg.com/media/FVT2cNyUEAIgvo_.jpg,,
1536908128268144640,@spidecheIle PLS?,Zendaya Updates,Zendaya_Updated,2022-06-15T03:07:06.000Z,Wed Jun 15 03:07:06 +0000 2022,4,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1536907484350193665,https://t.co/bQAtmkGbWM,Zendaya Updates,Zendaya_Updated,2022-06-15T03:04:33.000Z,Wed Jun 15 03:04:33 +0000 2022,36,2,zxx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,https://twitter.com/pbssocal/status/1536854603148324865 ,0,0,,,,,
1536907379765174272,Zendaya &amp; Andrew Garfield for Variety’s ‘Actors on Actors’. https://t.co/xUcf1oT40W,Zendaya Updates,Zendaya_Updated,2022-06-15T03:04:08.000Z,Wed Jun 15 03:04:08 +0000 2022,1664,102,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVQxHIpVEAAViRJ.jpg,,,
1536898378910830594,[Recently resurfaced],Zendaya Updates,Zendaya_Updated,2022-06-15T02:28:22.000Z,Wed Jun 15 02:28:22 +0000 2022,39,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,,,,,
1536898316570480640,Zendaya behind the scenes for Valentino’s Pink PP Collection revealed last March. https://t.co/NofOEm3Mw7,Zendaya Updates,Zendaya_Updated,2022-06-15T02:28:07.000Z,Wed Jun 15 02:28:07 +0000 2022,5146,498,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1536898292516237312/pu/vid/720x900/3tXH7aHyfeoGnfyp.mp4?tag=12,,,
1536686245744504832,Source: @TheFilmStage,Zendaya Updates,Zendaya_Updated,2022-06-14T12:25:25.000Z,Tue Jun 14 12:25:25 +0000 2022,10,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1536686037543440386,"Luca Guadagnino’s “Challengers” starring Zendaya, Mike Faist &amp; Josh O’Connor is set to be released on August 11, 2023. https://t.co/xiTDMHvkRM",Zendaya Updates,Zendaya_Updated,2022-06-14T12:24:36.000Z,Tue Jun 14 12:24:36 +0000 2022,1377,103,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVNny5qVIAApLER.jpg,https://pbs.twimg.com/media/FVNny5oUEAAXR2d.jpg,https://pbs.twimg.com/media/FVNny5oVIAALmIJ.jpg,
1536149736540864512,Zendaya &amp; Quinta Brunson at the TIME100 Gala. https://t.co/kgWT0IlKVm,Zendaya Updates,Zendaya_Updated,2022-06-13T00:53:32.000Z,Mon Jun 13 00:53:32 +0000 2022,1959,189,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1536148009880281088/pu/pl/hEC5qKC7SStjaRDH.m3u8?tag=12&container=fmp4,,,
1536142664730804224,The show is currently live on ABC.,Zendaya Updates,Zendaya_Updated,2022-06-13T00:25:26.000Z,Mon Jun 13 00:25:26 +0000 2022,23,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,,,,,
1536142551623041024,Zendaya’s introduction at the TIME100 celebration gala. https://t.co/qb6lqaPqRZ,Zendaya Updates,Zendaya_Updated,2022-06-13T00:24:59.000Z,Mon Jun 13 00:24:59 +0000 2022,919,101,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1536141210431242240/pu/vid/500x270/Kwy04FToFaBbZwxB.mp4?tag=12,,,
1535659723550126080,Variety on Tiktok https://t.co/yzrdpd4zKu,Zendaya Updates,Zendaya_Updated,2022-06-11T16:26:23.000Z,Sat Jun 11 16:26:23 +0000 2022,37,0,sv,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,https://vt.tiktok.com/ZSdt7RBkd/?k=1 ,0,0,,,,,
1535659497938509824,Zendaya &amp; Andrew Garfield behind the scenes for Variety’s ‘Actors on Actors’. https://t.co/B1HDHkcNKa,Zendaya Updates,Zendaya_Updated,2022-06-11T16:25:30.000Z,Sat Jun 11 16:25:30 +0000 2022,1574,189,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1535659458646290432/pu/vid/320x568/1ej00n6KQDLJKtv1.mp4?tag=12,,,
1535513956080439296,Zendaya for Bulgari’s ‘Unexpected Wonders’ campaign. https://t.co/0ApS9XlbOi,Zendaya Updates,Zendaya_Updated,2022-06-11T06:47:10.000Z,Sat Jun 11 06:47:10 +0000 2022,1124,94,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FU89zSgUAAACDv9.jpg,,,
1535512323430883329,?  https://t.co/uzLkHUlz1O https://t.co/u3TQPIC2e5,Zendaya Updates,Zendaya_Updated,2022-06-11T06:40:41.000Z,Sat Jun 11 06:40:41 +0000 2022,125,12,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,https://www.instagram.com/p/CepipUZsH8K/?igshid=YmMyMTA2M2Y= ,0,0,photo,https://pbs.twimg.com/media/FU88UFYUYAAc9JQ.jpg,,,
