"Tweet Id","Text","Name","Screen Name","UTC","Created At","Favorites","Retweets","Language","Client","Tweet Type","URLs","Hashtags","Mentions","Media Type","Media URLs","","",""
"1527680858605228034","@surasiuaudio Hope she feels better soon!","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-20T16:01:14.000Z","Fri May 20 16:01:14 +0000 2022","4","0","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","1","","","","",""
"1527493319831351296","@tarastrong @catfarnsworth Gorgeous","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-20T03:36:01.000Z","Fri May 20 03:36:01 +0000 2022","28","2","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","2","","","","",""
"1526703039838449664","@chrissyjeanz @ShashiSBhat https://t.co/oFS1kUpDYR","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-17T23:15:44.000Z","Tue May 17 23:15:44 +0000 2022","2","0","und","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","2","animated_gif","https://video.twimg.com/tweet_video/FS_wRWOVUAAiWuM.mp4","","",""
"1526036326704812033","@WhoMom95 Glad I checked! Librarians are the best btw!","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-16T03:06:27.000Z","Mon May 16 03:06:27 +0000 2022","1","0","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","1","","","","",""
"1526034657417932800","@rebeccal_ess I will always come back","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-16T02:59:49.000Z","Mon May 16 02:59:49 +0000 2022","2","0","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","1","","","","",""
"1526027594423889921","@TheRealSibsy Hahaha I don’t but this is next level!","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-16T02:31:45.000Z","Mon May 16 02:31:45 +0000 2022","2","0","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","1","","","","",""
"1526026364016422912","Il pleut tellement fort","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-16T02:26:52.000Z","Mon May 16 02:26:52 +0000 2022","37","0","fr","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","","0","0","","","","",""
"1525620914565488640","@chrissyjeanz Me in front of the loans desk","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-14T23:35:45.000Z","Sat May 14 23:35:45 +0000 2022","2","0","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","1","","","","",""
"1525620324586250240","@paolo_iriarte Yep","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-14T23:33:24.000Z","Sat May 14 23:33:24 +0000 2022","2","1","und","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","1","","","","",""
"1525618952000286720","Meaning they had been reshelved at the library but not scanned as returned.","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-14T23:27:57.000Z","Sat May 14 23:27:57 +0000 2022","22","0","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","0","","","","",""
"1525618664518455296","Did my own shelf check and found all 3. BOOM 💥","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-14T23:26:48.000Z","Sat May 14 23:26:48 +0000 2022","27","0","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","0","","","","",""
"1525618533635223552","Went to the library today and said I think I returned these or am I losing it? 
Librarian looked at me dubiously but said she’d do a shelf check - she doubted they didn’t scan all 3.","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-14T23:26:17.000Z","Sat May 14 23:26:17 +0000 2022","18","0","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","0","","","","",""
"1525618322464616450","Tore the house apart looking for them.","𝔸𝕟𝕕𝕣𝕖𝕒 𝕃𝕚𝕓𝕞𝕒𝕟","AndreaLibman","2022-05-14T23:25:27.000Z","Sat May 14 23:25:27 +0000 2022","15","0","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","0","","","","",""
