Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1334917673235271680,hahaha watch tomorrow night at 830/730c on @Nickelodeon ( @TheMitchellBerg ) https://t.co/V3nkwtQs8z,Jules,annieleblanc,2020-12-04T17:49:09.000Z,Fri Dec 04 17:49:09 +0000 2020,2392,57,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,2,video,https://video.twimg.com/ext_tw_video/1334917636262486016/pu/vid/320x568/j1bghlxUHUwAYRh4.mp4?tag=10,,,
1329856429218430977,"RT @HayleyLeBlanc : ""Last Christmas"" music video is out now! 🎄💕 full video ▶️ https://t.co/vOEEqaDxTY // @JamJROfficial https://t.co/pE664MuaUL",Jules,annieleblanc,2020-11-20T18:37:34.000Z,Fri Nov 20 18:37:34 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://bit.ly/RTW_LastChristmas ,0,1,video,https://video.twimg.com/ext_tw_video/1329855844117143554/pu/vid/480x480/hCPtZkXdcHDeJOx2.mp4?tag=10,,,
1326578248424202241,ICYMI | first episode of #SideHustle is now LIVE on my YouTube channel | check it out ▶️ https://t.co/ejFcn5ng1H https://t.co/0AKvDVgXl7,Jules,annieleblanc,2020-11-11T17:31:15.000Z,Wed Nov 11 17:31:15 +0000 2020,2269,98,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://youtu.be/O6mXLusS54s ,1,0,photo,https://pbs.twimg.com/media/Emh88J7VoAARWOH.jpg,,,
1325157448366256128,so excited for you guys to meet lex tonight at 830/730c on @Nickelodeon https://t.co/1i85H26rTH,Jules,annieleblanc,2020-11-07T19:25:30.000Z,Sat Nov 07 19:25:30 +0000 2020,4414,141,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/EmPnrNSVoAAzHsa.jpg,,,
1324048228900237319,"RT @Nickelodeon : Calling all writers 📝 Tell @wattpad about a #SideHustle you’d start if you were in a sticky situation. Best entry will win a shoutout from Jules &amp; Jayden! Full details, rules &amp; enter at https://t.co/EeDNEzJuHw. https://t.co/J4E06WPfVj",Jules,annieleblanc,2020-11-04T17:57:52.000Z,Wed Nov 04 17:57:52 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://www.wattpad.com/user/sidehustle ,1,1,photo,https://pbs.twimg.com/media/El2ZFPSWoAELNHh.jpg,,,
1321187913669902341,recorded a little theme song https://t.co/CxOiCqexgi make sure to catch the premiere of #sidehustle saturday nov 7th 8:30p/7:30c only on @Nickelodeon https://t.co/WaGvgXXbiC,Jules,annieleblanc,2020-10-27T20:31:59.000Z,Tue Oct 27 20:31:59 +0000 2020,2302,115,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://sidehustle.ffm.to/wegotthis ,1,1,video,https://video.twimg.com/ext_tw_video/1321187750331043840/pu/vid/320x320/5qQk5X9qAEduhDi0.mp4?tag=10,,,
1321184202922971139,hello to myself 🕷 https://t.co/Ht7YIjXiv8,Jules,annieleblanc,2020-10-27T20:17:15.000Z,Tue Oct 27 20:17:15 +0000 2020,8186,344,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/ElXKBsSUUAA6DIK.jpg,,,
1319422005985198081,"RT @HayleyLeBlanc : ""Beautiful"" by Run the World 💕 @xtina cover 💕 out now! https://t.co/8uetaMrpHB",Jules,annieleblanc,2020-10-22T23:34:54.000Z,Thu Oct 22 23:34:54 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.youtube.com/watch?v=tx1PcjPeAeQ ,0,1,,,,,
1319343052704509952,#sidehustle premieres nov 7 only on @Nickelodeon 🧡 https://t.co/bMyQcxGcHD,Jules,annieleblanc,2020-10-22T18:21:10.000Z,Thu Oct 22 18:21:10 +0000 2020,4766,172,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,1,video,https://video.twimg.com/ext_tw_video/1319342975705468929/pu/pl/tGhIDUB7QLVqa2cb.m3u8?tag=10,,,
1319341911631482883,🧡🧡🧡 https://t.co/XFeifxKIZF,Jules,annieleblanc,2020-10-22T18:16:38.000Z,Thu Oct 22 18:16:38 +0000 2020,2688,85,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/Nickelodeon/status/1319312188897697793 ,0,0,,,,,
1319034957411487748,"special project - ""It Counts"" ▶️ https://t.co/sCIPELl7rx https://t.co/ELs1uXDoN0",Jules,annieleblanc,2020-10-21T21:56:54.000Z,Wed Oct 21 21:56:54 +0000 2020,2241,110,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.youtube.com/watch?v=nGJGnXkWJ20 ,0,0,photo,https://pbs.twimg.com/media/Ek4nAkKU8AAYl7f.jpg,,,
1318281435761922048,"RT @HayleyLeBlanc : 🌺 ""Beautiful"" / 10.22 🌺 @xtina 🌺 https://t.co/8uetaMrpHB https://t.co/xW3LTNGFbW",Jules,annieleblanc,2020-10-19T20:02:41.000Z,Mon Oct 19 20:02:41 +0000 2020,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.youtube.com/watch?v=tx1PcjPeAeQ ,0,1,video,https://video.twimg.com/ext_tw_video/1318280594447425537/pu/vid/480x270/EVsHMcrwp-ogN1Ol.mp4?tag=10,,,
