Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1542906666684907520,haven’t been home for an hour yet and i literally just fell down the stairs,? em | 5 ?,bbyblue_em,2022-07-01T16:23:09.000Z,Fri Jul 01 16:23:09 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1542888463426617346,@satelliteandrea @Luke5SOS i had so much fun with you!! we need to plan another concert soon!! ?,? em | 5 ?,bbyblue_em,2022-07-01T15:10:49.000Z,Fri Jul 01 15:10:49 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1542888332740403202,"RT @satelliteandrea : @bbyblue_em you are amazing. i cannot thank you enough for everything you did. couldn’t have asked for a better soundcheck/pit buddy!

btw @Luke5SOS look how cute we look sporting your merch ?? https://t.co/gmnkFNLref",? em | 5 ?,bbyblue_em,2022-07-01T15:10:18.000Z,Fri Jul 01 15:10:18 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,2,photo,https://pbs.twimg.com/media/FWlS69-X0AAeu5a.jpg,,,
1542883676492537856,RT @zaynmalik : Thank you for all the love and support - Today is the last day to get my https://t.co/3UpJZL91eS collection! https://t.co/VS2pVFXops,? em | 5 ?,bbyblue_em,2022-07-01T14:51:48.000Z,Fri Jul 01 14:51:48 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://payntbyzayn.com ,0,0,photo,https://pbs.twimg.com/media/FWlsXZXXEAsP1SR.jpg,,,
1542853028042182656,about to delete twitter so i don’t see any more tweets about strangers things,? em | 5 ?,bbyblue_em,2022-07-01T12:50:01.000Z,Fri Jul 01 12:50:01 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1542851687341346818,RT @5SOST0URUPDATES : Ashton posted on his Instagram story! #TakeMyHandNashville https://t.co/9ffvvR7890,? em | 5 ?,bbyblue_em,2022-07-01T12:44:41.000Z,Fri Jul 01 12:44:41 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,video,https://video.twimg.com/ext_tw_video/1542851125937946624/pu/pl/M4lUIEW6Ev3YjHBX.m3u8?tag=12&container=fmp4,,,
1542851010451968000,RT @5SOST0URUPDATES : Ashton posted on his Instagram story! #TakeMyHandNashville https://t.co/Rpzp8v7TMW,? em | 5 ?,bbyblue_em,2022-07-01T12:42:00.000Z,Fri Jul 01 12:42:00 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,video,https://video.twimg.com/ext_tw_video/1542850907779616768/pu/pl/dcVZrQZvqRSybBu9.m3u8?tag=12&container=fmp4,,,
1542826610352586757,how is luke hemmings real,? em | 5 ?,bbyblue_em,2022-07-01T11:05:02.000Z,Fri Jul 01 11:05:02 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1542826095913074688,fuck. that’s was one of the best @5SOS shows i’ve been too,? em | 5 ?,bbyblue_em,2022-07-01T11:03:00.000Z,Fri Jul 01 11:03:00 +0000 2022,2,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1542822095381487617,"RT @HSHQ : Love On Tour. Shop Merch Early.
Saturday, 2nd July and Sunday, 3rd July at Royal Arena. https://t.co/LKwWtHbZLx",? em | 5 ?,bbyblue_em,2022-07-01T10:47:06.000Z,Fri Jul 01 10:47:06 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FWizCbOXwAAh1SQ.jpg,,,
1542749289495019523,"RT @TMUOnWonderTour : SET LIST V2: #WonderTheWorldTour 

Sacramento - version 2 @ShawnMendes @ShawnAccess https://t.co/c9JYePzGSC",? em | 5 ?,bbyblue_em,2022-07-01T05:57:48.000Z,Fri Jul 01 05:57:48 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,2,photo,https://pbs.twimg.com/media/FWjqkX5XkAA4W-2.jpg,,,
1542748072769617920,"RT @TMUOnWonderTour : “After doing a couple shows, I realized this one is never gonna die”.

— Shawn on Never Be Alone #WonderTheWorldTour",? em | 5 ?,bbyblue_em,2022-07-01T05:52:58.000Z,Fri Jul 01 05:52:58 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,,,,,
1542745830385385473,RT @TMUOnWonderTour : “this next one is a new addition to the set list that I hadn't played it yet.” — Shawn Mendes before singing Never Be Alone #WonderTheWorldTour #WonderTheTourSacramento,? em | 5 ?,bbyblue_em,2022-07-01T05:44:03.000Z,Fri Jul 01 05:44:03 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,0,,,,,
1542734173747699717,my pants look more blue in person then in the photos,? em | 5 ?,bbyblue_em,2022-07-01T04:57:44.000Z,Fri Jul 01 04:57:44 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,,,,,
1542733545285865472,kinda matching blue pants with my favorite ? @Luke5SOS https://t.co/St3HvjR2wa,? em | 5 ?,bbyblue_em,2022-07-01T04:55:14.000Z,Fri Jul 01 04:55:14 +0000 2022,2,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/FWjj-NTWIAAmkMO.jpg,https://pbs.twimg.com/media/FWjj-NSXoAAC2mt.jpg,https://pbs.twimg.com/media/FWjj-NQXwAEMz1i.jpg,https://pbs.twimg.com/media/FWjj-NVWIAAm2Lr.jpg
1542708885068324864,"RT @5SOST0URUPDATES : 5 SECONDS OF SUMMER, LIVE IN ATLANTA, GA! 

Here are the worldwide times 5SOS should be taking the stage for #TakeMyHandAtlanta! https://t.co/OdGvHNlPoJ",? em | 5 ?,bbyblue_em,2022-07-01T03:17:15.000Z,Fri Jul 01 03:17:15 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FWjMUf_WYAQuk-H.jpg,https://pbs.twimg.com/media/FWjMUf-XgAEPBf-.jpg,,
1542686779786117120,"RT @5SOST0URUPDATES : Apparently some of the crowd is singing happy birthday to Petunia, led by venue security! #TakeMyHandNashville",? em | 5 ?,bbyblue_em,2022-07-01T01:49:24.000Z,Fri Jul 01 01:49:24 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,,,,,
