Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,
1548593412391276544,Check out Halsey's new 'do! ?  https://t.co/QxkFTlPNlm,billboard,billboard,2022-07-17T09:00:15.000Z,Sun Jul 17 09:00:15 +0000 2022,76,3,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/IUCogPb ,0,0,,,,
1548563220473995264,"Even with her lucrative rap career, Cardi B will always prioritize her kids. https://t.co/CLXSYf5lt0",billboard,billboard,2022-07-17T07:00:17.000Z,Sun Jul 17 07:00:17 +0000 2022,205,11,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/SCS02OC ,0,0,,,,
1548532976870461441,Here's a roundup of the top 15 #BTS collaborations of all time. https://t.co/YNGBLTHHax,billboard,billboard,2022-07-17T05:00:06.000Z,Sun Jul 17 05:00:06 +0000 2022,884,120,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/HqaXRep ,1,0,,,,
1548502813151412226,Here are 11 times the #OneDirection boys supported each other since their hiatus  https://t.co/1Wt2ebKenp,billboard,billboard,2022-07-17T03:00:15.000Z,Sun Jul 17 03:00:15 +0000 2022,363,44,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/k7jKcWg ,1,0,,,,
1548492705843400707,Hey A’TIN! ? Don’t miss your chance to vote for @SB19Official in the final round of #BBFanArmy2022! https://t.co/NRunFejpt3 https://t.co/cadZAKj7u8,billboard,billboard,2022-07-17T02:20:05.000Z,Sun Jul 17 02:20:05 +0000 2022,2265,1430,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/A7S7DEK ,1,1,photo,https://pbs.twimg.com/media/FX1Z6PjVQAEkwz5.jpg,,
1548477614607568898,Attention #STAY! ? Don’t miss your chance to vote for @Stray_Kids in the final round of #BBFanArmy2022! https://t.co/uPL6r5WOkm https://t.co/jB7lDHYkHm,billboard,billboard,2022-07-17T01:20:07.000Z,Sun Jul 17 01:20:07 +0000 2022,3966,1463,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/4yRppWt ,2,1,photo,https://pbs.twimg.com/media/FX1MLyOVUAAvFbd.jpg,,
1548472640871968768,"Zendaya says that working with the #Euphoria crew is the ""highlight of my life""  https://t.co/VYmhzv9iGL",billboard,billboard,2022-07-17T01:00:21.000Z,Sun Jul 17 01:00:21 +0000 2022,329,19,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/Et5MrYB ,1,0,,,,
1548462145062334466,"Britney Spears gushed about her wedding guests, especially one very “special person” who was in attendance: Selena Gomez https://t.co/myNYu8G75t",billboard,billboard,2022-07-17T00:18:39.000Z,Sun Jul 17 00:18:39 +0000 2022,304,33,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/ML2Lsqj ,0,0,,,,
1548449950609993728,"Will #StrayKids Stay or #SB19's A'TIN win the final round of  #BBFanArmy2022? ?

Cast your vote here: https://t.co/45sOhCmWMw https://t.co/YyVobsxLUR",billboard,billboard,2022-07-16T23:30:11.000Z,Sat Jul 16 23:30:11 +0000 2022,2701,1348,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/mx8bJpf ,3,0,photo,https://pbs.twimg.com/media/FX0zBLoVsAAOmSZ.jpg,https://pbs.twimg.com/media/FX0zBiJVsAIcujC.jpg,
1548442430936035333,"Featuring over 30 pieces, the vibrant collection comes in a range of colors including orange neon, pastel pink, royal purple and black.  https://t.co/R5O9R3Xh5M",billboard,billboard,2022-07-16T23:00:18.000Z,Sat Jul 16 23:00:18 +0000 2022,174,16,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/HLxMnuS ,0,0,,,,
1548437338958639104,Ne-Yo (@NeYoCompound) chatted with #BillboardNews about his new album ‘Self-Explanatory’ and saving his marriage https://t.co/I2QfdUmhpz,billboard,billboard,2022-07-16T22:40:04.000Z,Sat Jul 16 22:40:04 +0000 2022,184,21,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/IvqiPqF ,1,1,,,,
1548431058378506243,"Axl Rose thanked fans for their support, dedicated @GunsNRoses' tour to the late Taylor Hawkins and slammed ""murderous little man"" Vladimir Putin https://t.co/lMBolCrhnv",billboard,billboard,2022-07-16T22:15:07.000Z,Sat Jul 16 22:15:07 +0000 2022,137,10,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/8vMzedN ,0,1,,,,
1548423478273007616,.@Shenyeng is showing the world that she is a force to be reckoned with. ? #ad Dive into the dancehall star's career in exclusive videos by @honda and Billboard. https://t.co/6K8Nx6EUfd https://t.co/1l4tQ74WHP,billboard,billboard,2022-07-16T21:45:00.000Z,Sat Jul 16 21:45:00 +0000 2022,224,34,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://blbrd.cm/PHjKL9L ,1,2,photo,https://pbs.twimg.com/media/FX0BEvXVsAUAmru.jpg,https://pbs.twimg.com/media/FX0BEvZUUAgU7ZB.jpg,
1548412250553102345,Marcus Mumford's forthcoming album features Brandi Carlile and Phoebe Bridgers. https://t.co/tYDF4V4BzE,billboard,billboard,2022-07-16T21:00:23.000Z,Sat Jul 16 21:00:23 +0000 2022,147,12,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/ugujQiL ,0,0,,,,
1548404659777568768,U.S. soprano Angel Blue is pulling out of an opera in Italy because blackface was used in another staging at the venue.  https://t.co/7oLZIiB4gb,billboard,billboard,2022-07-16T20:30:13.000Z,Sat Jul 16 20:30:13 +0000 2022,124,18,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/NySNbul ,0,0,,,,
1548400861549699074,Here's what happened in the Latin music world this week. https://t.co/okHM2kHUid,billboard,billboard,2022-07-16T20:15:07.000Z,Sat Jul 16 20:15:07 +0000 2022,118,11,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/sxkMqhi ,0,0,,,,
1548397096721559555,.@theweeknd flew out a 6-year-old fan to his Philadelphia tour opener after the child was photographed crying outside his postponed Toronto gig. https://t.co/FzwgsEPxxh,billboard,billboard,2022-07-16T20:00:10.000Z,Sat Jul 16 20:00:10 +0000 2022,647,61,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/VofU7ln ,0,1,,,,
1548392701099249665,"Dancehall superstar @Shenyeng is taking the world by storm. ? #ad Learn more about the superstar, from who she was before fame to what she plans for the future, with @honda. https://t.co/6K8Nx6Wv6L https://t.co/Ny085ZVoTn",billboard,billboard,2022-07-16T19:42:42.000Z,Sat Jul 16 19:42:42 +0000 2022,125,17,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,http://blbrd.cm/PHjKL9L ,1,2,video,https://video.twimg.com/amplify_video/1548392303089160198/vid/640x360/OSb3USqqY1qnlwcx.mp4?tag=14,,
1548382097705816074,The Twitter vs. Elon Musk saga has a new twist https://t.co/b9ohkwRoyr,billboard,billboard,2022-07-16T19:00:34.000Z,Sat Jul 16 19:00:34 +0000 2022,213,20,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/UcdxBJ4 ,0,0,,,,
1548372420087582720,".@4everBrandy says she's open to getting a tattoo of @RayJ, but it won't be like his controversial artwork of her face. https://t.co/dKdbt79wsp",billboard,billboard,2022-07-16T18:22:06.000Z,Sat Jul 16 18:22:06 +0000 2022,131,12,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/Esv0YpV ,0,2,,,,
1548351898364784643,Which music group would you most want to see reunite? Vote below! https://t.co/kibCJCnF0M,billboard,billboard,2022-07-16T17:00:34.000Z,Sat Jul 16 17:00:34 +0000 2022,246,27,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/wrecAB2 ,0,0,,,,
1548344236206002178,"Billboard Latin Music Week unveiled Thursday (July 14) the first round of participating talent set to take part at this year’s five-day legacy event. ?? See full details here:  ? #BillboardLatinWeek

https://t.co/oPx9cvSe2d",billboard,billboard,2022-07-16T16:30:07.000Z,Sat Jul 16 16:30:07 +0000 2022,134,14,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/R30EwAH ,1,0,,,,
1548336932924448768,Kodak Black has been arrested on drug charges in Florida. https://t.co/7j0QfDdKcU,billboard,billboard,2022-07-16T16:01:06.000Z,Sat Jul 16 16:01:06 +0000 2022,278,25,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/SkzXy80 ,0,0,,,,
1548321669508345858,More than a dozen #Emmy nominees shared their reactions with Billboard! https://t.co/chVWVwPcIQ,billboard,billboard,2022-07-16T15:00:27.000Z,Sat Jul 16 15:00:27 +0000 2022,114,5,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/JjIvWp5 ,1,0,,,,
1548310239153254402,"Registration is now OPEN for #BillboardLatinWeek! This year featuring @bizarrap, @camilomusica, @nickyjampr, @romeosantospage &amp; more. Get your exclusive pass here: https://t.co/n3qoLWso0l ??? https://t.co/mUVoFoChQJ",billboard,billboard,2022-07-16T14:15:01.000Z,Sat Jul 16 14:15:01 +0000 2022,128,16,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/BDNkv4q ,1,4,video,https://video.twimg.com/amplify_video/1548055576126504962/vid/720x786/9Nu6Aearg9BxddQ4.mp4?tag=14,,
1548291507358031874,"Cardi B explains why she was ""scared"" to hire a nanny help take care of her first born with husband Offset. https://t.co/W0uO1POipK",billboard,billboard,2022-07-16T13:00:35.000Z,Sat Jul 16 13:00:35 +0000 2022,469,46,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/3idkZ4o ,0,0,,,,
1548261298873331712,Watch @Harry_Styles' new music video for #LateNightTalking! https://t.co/LEJukkALGX,billboard,billboard,2022-07-16T11:00:33.000Z,Sat Jul 16 11:00:33 +0000 2022,393,45,en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Tweet,http://blbrd.cm/TvvWhQl ,1,1,,,,
