Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1542904009551380482,@livisbrutal3 they’re all sold out :(  // and yess! so many memories,cassie is vicious,blackmorningg_,2022-07-01T16:12:36.000Z,Fri Jul 01 16:12:36 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542902043043631107,@livisbrutal3 that lilo one omfg,cassie is vicious,blackmorningg_,2022-07-01T16:04:47.000Z,Fri Jul 01 16:04:47 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542892403291561984,happy birthday to @danielricciardo ! keep smiling and bringing joy to the paddock! best of luck this weekend,cassie is vicious,blackmorningg_,2022-07-01T15:26:29.000Z,Fri Jul 01 15:26:29 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1542889006471561217,@apocalypticsab this picture ?,cassie is vicious,blackmorningg_,2022-07-01T15:12:59.000Z,Fri Jul 01 15:12:59 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542883832717770754,"RT @BRITs : 'favorite crime', the song by @oliviarodrigo, is now #BRITcertified Gold https://t.co/RKZF41dLYb",cassie is vicious,blackmorningg_,2022-07-01T14:52:25.000Z,Fri Jul 01 14:52:25 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,1,photo,https://pbs.twimg.com/media/FWldXvjXoAASUD6.jpg,,,
1542883810131558402,glossier just reposted livs campaign video for the liners. i’m so confused,cassie is vicious,blackmorningg_,2022-07-01T14:52:20.000Z,Fri Jul 01 14:52:20 +0000 2022,2,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1542882840303616000,@livielena i’m in love with that shirt,cassie is vicious,blackmorningg_,2022-07-01T14:48:29.000Z,Fri Jul 01 14:48:29 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542876944206860296,the comments on those news posts about taylor’s ‘engagement’ to joe piss me off so fucking much,cassie is vicious,blackmorningg_,2022-07-01T14:25:03.000Z,Fri Jul 01 14:25:03 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1542874534398787589,@prfctmotives planning on buying it later today,cassie is vicious,blackmorningg_,2022-07-01T14:15:28.000Z,Fri Jul 01 14:15:28 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542873895480467458,@behindthemall13 i hope it’s true but at the same time i’m not getting my hopes up,cassie is vicious,blackmorningg_,2022-07-01T14:12:56.000Z,Fri Jul 01 14:12:56 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542865138566537222,olivia rodrigo would eat https://t.co/NMawOjqZ40,cassie is vicious,blackmorningg_,2022-07-01T13:38:08.000Z,Fri Jul 01 13:38:08 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/pradaxbby/status/1542546217527349249 ,0,0,,,,,
1542865034803650560,@livsregime those would look so cool ngl,cassie is vicious,blackmorningg_,2022-07-01T13:37:44.000Z,Fri Jul 01 13:37:44 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542862505344729090,happy st things day to everyone who celebrates! i hope the ending is of your liking,cassie is vicious,blackmorningg_,2022-07-01T13:27:40.000Z,Fri Jul 01 13:27:40 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1542731894361571331,@sourglendale ffs really,cassie is vicious,blackmorningg_,2022-07-01T04:48:40.000Z,Fri Jul 01 04:48:40 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542731715436859393,i don’t know where i’m going to find $75 bucks but this hoodie shall be mine https://t.co/QnMNsDH3Z3,cassie is vicious,blackmorningg_,2022-07-01T04:47:58.000Z,Fri Jul 01 04:47:58 +0000 2022,2,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/apocalypticsab/status/1542597761060802561 ,0,0,,,,,
1542730095596535808,@apocalypticsab re si. quiero ese saco y signed cd,cassie is vicious,blackmorningg_,2022-07-01T04:41:31.000Z,Fri Jul 01 04:41:31 +0000 2022,1,0,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542729217259053056,going to sleep rn. hopefully they’ll be signed cds in stock when i wake up,cassie is vicious,blackmorningg_,2022-07-01T04:38:02.000Z,Fri Jul 01 04:38:02 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1542728943249367040,@sourglendale seems like never,cassie is vicious,blackmorningg_,2022-07-01T04:36:57.000Z,Fri Jul 01 04:36:57 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542728854896361473,RT @apocalypticsab : the fact that we were with her when she saw it for the first time? https://t.co/3XohSAaH7J,cassie is vicious,blackmorningg_,2022-07-01T04:36:36.000Z,Fri Jul 01 04:36:36 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FWjfoFbWYAY509N.jpg,https://pbs.twimg.com/media/FWjfpDXXEAE561z.jpg,https://pbs.twimg.com/media/FWjfp4eXoAEg_J9.jpg,
1542728392465842177,i can’t wait to see what the next message will be. https://t.co/SOFR7vXMIz,cassie is vicious,blackmorningg_,2022-07-01T04:34:45.000Z,Fri Jul 01 04:34:45 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FWjfS1wWQAAWh4j.jpg,,,
1542728184449343489,@saturdaygirII eso juliii! ponte juiciosa con esto please. feed us bestie,cassie is vicious,blackmorningg_,2022-07-01T04:33:56.000Z,Fri Jul 01 04:33:56 +0000 2022,0,0,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542727981206044672,@apocalypticsab ya lo vi!! me muero de amor ??,cassie is vicious,blackmorningg_,2022-07-01T04:33:07.000Z,Fri Jul 01 04:33:07 +0000 2022,1,0,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542727128508235778,happy birthday to the icon @tatemcrae.,cassie is vicious,blackmorningg_,2022-07-01T04:29:44.000Z,Fri Jul 01 04:29:44 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,,,,
1542727053799313410,@sourglendale AAAA,cassie is vicious,blackmorningg_,2022-07-01T04:29:26.000Z,Fri Jul 01 04:29:26 +0000 2022,0,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542725269781467136,@apocalypticsab es su newsletter cierto?,cassie is vicious,blackmorningg_,2022-07-01T04:22:21.000Z,Fri Jul 01 04:22:21 +0000 2022,0,0,it,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542724904138821632,@SabrinaAnnLynn if you go on tour please don’t forget latin america. we love you here,cassie is vicious,blackmorningg_,2022-07-01T04:20:54.000Z,Fri Jul 01 04:20:54 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542724443654524932,"@SabrinaAnnLynn also, the bridge? slayed",cassie is vicious,blackmorningg_,2022-07-01T04:19:04.000Z,Fri Jul 01 04:19:04 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542724406715322369,@SabrinaAnnLynn it’s a perfect song,cassie is vicious,blackmorningg_,2022-07-01T04:18:55.000Z,Fri Jul 01 04:18:55 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1542723529053016065,sabrina had no right to slay that hard with the bridge of vicious.,cassie is vicious,blackmorningg_,2022-07-01T04:15:26.000Z,Fri Jul 01 04:15:26 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1542723267051634693,mood rn @SabrinaAnnLynn https://t.co/qMbl6EDgqc,cassie is vicious,blackmorningg_,2022-07-01T04:14:23.000Z,Fri Jul 01 04:14:23 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/FWjaok-WIAEjjwR.jpg,https://pbs.twimg.com/media/FWjaok_WAAIlo7k.jpg,,
