Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs
1548540335806103555,"LISA of @BLACKPINK's ""MONEY"" has now surpassed 500 million streams on Spotify. It’s the fastest song by a K-pop female act to reach this milestone.",chart data,chartdata,2022-07-17T05:29:21.000Z,Sun Jul 17 05:29:21 +0000 2022,7045,3483,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,
1548520213322276864,".@Anitta's ""Envolver"" has now surpassed 300 million views on YouTube.",chart data,chartdata,2022-07-17T04:09:23.000Z,Sun Jul 17 04:09:23 +0000 2022,1132,210,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,
1548472551931723778,".@theweeknd and @ArianaGrande's ""Save Your Tears"" has now sold over 7 million units in the US (all versions combined).",chart data,chartdata,2022-07-17T01:00:00.000Z,Sun Jul 17 01:00:00 +0000 2022,1949,232,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,2,,
1548457454828003332,"Today in 1999, Destiny's Child's ""Bills, Bills, Bills"" reached #1 on the Hot 100. The group's first of four #1 hits.",chart data,chartdata,2022-07-17T00:00:00.000Z,Sun Jul 17 00:00:00 +0000 2022,1986,292,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,0,,
1548447386254467072,"Steve Lacy's ""Dark Red"" has now surpassed 500 million streams on Spotify.",chart data,chartdata,2022-07-16T23:20:00.000Z,Sat Jul 16 23:20:00 +0000 2022,438,36,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,0,,
1548444808846254084,".@SabrinaAnnLynn earned her biggest streaming day of all-time on Spotify on July 15, with 4.5 million listens.",chart data,chartdata,2022-07-16T23:09:45.000Z,Sat Jul 16 23:09:45 +0000 2022,2699,401,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,
1548419703391113216,"Lana Del Rey's ""Doin' Time"" has now sold over 1.5 million units in the US.",chart data,chartdata,2022-07-16T21:30:00.000Z,Sat Jul 16 21:30:00 +0000 2022,1538,106,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,0,,
1548412157959802880,".@1future, @Drake and @temsbaby's ""WAIT FOR U"" has now sold over 2 million units in the US. It's the fastest 2022 collaboration to reach this milestone.",chart data,chartdata,2022-07-16T21:00:01.000Z,Sat Jul 16 21:00:01 +0000 2022,2418,503,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,3,,
1548407911176491010,".@lizzo simultaneously ranks at #1 on the US iTunes albums and singles charts with #Special and ""About Damn Time"".",chart data,chartdata,2022-07-16T20:43:08.000Z,Sat Jul 16 20:43:08 +0000 2022,1924,173,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,1,,
1548404603955191815,".@ckay_yo’s ""love nwantiti (ah ah ah)"" has now sold over 2.5 million units in the US.",chart data,chartdata,2022-07-16T20:30:00.000Z,Sat Jul 16 20:30:00 +0000 2022,2153,388,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,1,,
