Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs
710889175852003328,I LOVE WEEKENDS,Funny Days,fuuny_soul,2016-03-18T18:02:41.000Z,Fri Mar 18 18:02:41 +0000 2016,13,0,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710888402036465664,Gross Reasons You Might Want To Leave Your Pubes Alone https://t.co/H6tRN1kuxN https://t.co/BoUPYlRrrc,Funny Days,fuuny_soul,2016-03-18T17:59:37.000Z,Fri Mar 18 17:59:37 +0000 2016,21,0,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,http://bit.ly/1QQr7c7 ,0,0,photo,https://pbs.twimg.com/media/Cd2VPC7VAAA5iei.jpg
710880746370633728,"Dear Parents, Thanks for giving me such a weird name. Sincerely, my name is never on those customized items.",Funny Days,fuuny_soul,2016-03-18T17:29:12.000Z,Fri Mar 18 17:29:12 +0000 2016,19,14,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710872785346650112,#AlwaysInOurHeartsZaynMalik,Funny Days,fuuny_soul,2016-03-18T16:57:34.000Z,Fri Mar 18 16:57:34 +0000 2016,5,1,und,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,1,0,,
710864016218787840,There is always one song that stuck in my head.,Funny Days,fuuny_soul,2016-03-18T16:22:43.000Z,Fri Mar 18 16:22:43 +0000 2016,21,6,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710856183297343488,"Fake friends are like shadows. They're always near you at your brightest moments, but they're nowhere to be seen at your darkest hour.",Funny Days,fuuny_soul,2016-03-18T15:51:35.000Z,Fri Mar 18 15:51:35 +0000 2016,44,27,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710845587227222017,"Friends: ""what a perfect morning for a run"" Me: ""What a perfect morning for sleeping more""",Funny Days,fuuny_soul,2016-03-18T15:09:29.000Z,Fri Mar 18 15:09:29 +0000 2016,28,13,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710836048419393540,Being alone doesn't mean lonely but waiting for the right one.,Funny Days,fuuny_soul,2016-03-18T14:31:35.000Z,Fri Mar 18 14:31:35 +0000 2016,23,14,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710828382330617856,[E]asier,Funny Days,fuuny_soul,2016-03-18T14:01:07.000Z,Fri Mar 18 14:01:07 +0000 2016,2,0,it,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710820503968034816,#Vote1DUК #Retweet if you are a #directioner so more people can see it and vote 1D.,Funny Days,fuuny_soul,2016-03-18T13:29:49.000Z,Fri Mar 18 13:29:49 +0000 2016,2,1,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,3,0,,
710811013260509188,"Sometimes when you have a bad day, the things can only get better.",Funny Days,fuuny_soul,2016-03-18T12:52:06.000Z,Fri Mar 18 12:52:06 +0000 2016,14,6,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710801225843761153,Still wondering. Is it possible to fall in love this year yet?,Funny Days,fuuny_soul,2016-03-18T12:13:12.000Z,Fri Mar 18 12:13:12 +0000 2016,11,1,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710790532662833152,Day dreamers are usually better at solving complex problems.,Funny Days,fuuny_soul,2016-03-18T11:30:43.000Z,Fri Mar 18 11:30:43 +0000 2016,5,4,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710780957582692352,"To get something you've never had, you have to do something you've never done.",Funny Days,fuuny_soul,2016-03-18T10:52:40.000Z,Fri Mar 18 10:52:40 +0000 2016,8,7,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710762944741519361,That awesome moment when you open the fridge and the first thing you see is the thing you wanted to eat.,Funny Days,fuuny_soul,2016-03-18T09:41:06.000Z,Fri Mar 18 09:41:06 +0000 2016,12,5,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710754681480327168,#BeforeTwitterI was writing and not tweeting,Funny Days,fuuny_soul,2016-03-18T09:08:15.000Z,Fri Mar 18 09:08:15 +0000 2016,4,1,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,1,0,,
710743696828817409,"Girl: ""You tweet too much"" Boy: ""You eat too much""",Funny Days,fuuny_soul,2016-03-18T08:24:36.000Z,Fri Mar 18 08:24:36 +0000 2016,5,0,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710735269612244992,"Teens are always full of energy until someone says the words ""clean up"".",Funny Days,fuuny_soul,2016-03-18T07:51:07.000Z,Fri Mar 18 07:51:07 +0000 2016,5,5,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710726671729438720,"When I don’t have money, I want to buy everything I see. When I do have money, I don’t know what to buy.",Funny Days,fuuny_soul,2016-03-18T07:16:57.000Z,Fri Mar 18 07:16:57 +0000 2016,9,6,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
710717475407564800,Morning March,Funny Days,fuuny_soul,2016-03-18T06:40:25.000Z,Fri Mar 18 06:40:25 +0000 2016,2,0,en,"<a href=""https://twitter.com"" rel=""nofollow"">fuuny_soul</a>",Tweet,,0,0,,
