Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1537843263285125120,"Mediabase/CMM Pop Radio Callouts - Top 5 For Net Positive:

1) @DoveCameron - Boyfriend
2) @lizzo - About Damn Time
3) @LilNasX - THATS WHAT I WANT
4) @Harry_Styles - As It Was
5) @latto - Big Energy",Headline Planet,headlineplanet,2022-06-17T17:03:00.000Z,Fri Jun 17 17:03:00 +0000 2022,7,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,5,,,,,
1537647836149563394,"Current Top 5 on Spotify's Today's Top Hits:

1) @drake - Falling Back
2) @postmalone &amp; @DojaCat - I Like You (A Happier Song)
3) @Harry_Styles - As It Was
4) @sushitrash - Glimpse Of Us
5) @lizzo - About Damn Time",Headline Planet,headlineplanet,2022-06-17T04:06:26.000Z,Fri Jun 17 04:06:26 +0000 2022,4,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,6,,,,,
1537647675746795524,"Current Top 5 on Spotify's Pop Rising:

1) @marshmello &amp; @thegreatkhalid - Numb
2) @halsey - So Good
3) @sushitrash - Glimpse Of Us
4) @PostMalone &amp; @thekidlaroi - Wasting Angels
5) @Harry_Styles - Love Of My Life",Headline Planet,headlineplanet,2022-06-17T04:05:48.000Z,Fri Jun 17 04:05:48 +0000 2022,9,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,7,,,,,
1537647410482237440,"Current Top 5 on US Spotify's New Music Friday:

1) @drake - Falling Back
2) @lilbaby4PF, @42_Dugg &amp; @VEEZE4Eva - U-Digg
3) @FKAtwigs - killer
4) Steve Lacy - Mercury
5) @ChloeBailey - Surprise",Headline Planet,headlineplanet,2022-06-17T04:04:45.000Z,Fri Jun 17 04:04:45 +0000 2022,65,10,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,6,,,,,
1537117578610585601,Emma Chamberlain to appear on June 22 Tonight Show Starring Jimmy Fallon #emmachamberlain https://t.co/WBVeDp0dMY,Headline Planet,headlineplanet,2022-06-15T16:59:23.000Z,Wed Jun 15 16:59:23 +0000 2022,11,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://headlineplanet.com/home/2022/06/15/emma-chamberlain-scheduled-to-appear-on-june-22-tonight-show-starring-jimmy-fallon/ ,1,0,,,,,
1536913064552976384,Dakota Johnson appears for chat + Mad Lib Karaoke on The Tonight Show Starring Jimmy Fallon (press pics by Todd Owyoung/NBC) https://t.co/GSqpxoltqS https://t.co/Ycc412itIe,Headline Planet,headlineplanet,2022-06-15T03:26:43.000Z,Wed Jun 15 03:26:43 +0000 2022,126,34,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://headlineplanet.com/home/2022/06/14/dakota-johnson-appears-for-chat-mad-lib-karaoke-on-tonight-show-starring-jimmy-fallon-first-look/ ,0,0,photo,https://pbs.twimg.com/media/FVQ1iOsWYAEeoVC.jpg,https://pbs.twimg.com/media/FVQ1jIWWIAUPys8.jpg,https://pbs.twimg.com/media/FVQ1lRMWUAICJBd.jpg,https://pbs.twimg.com/media/FVQ1nA_XEAAyikg.jpg
1536862283724365829,"This week's pop radio add leaders (Mediabase):

1) @halsey - So Good
2) @Harry_Styles - Late Night Talking
3) @postmalone &amp; @DojaCat - I Like You
4) @KateBushMusic - Running Up That Hill
5) @marshmello &amp; @thegreatkhalid - Numb https://t.co/7e3egvpALN",Headline Planet,headlineplanet,2022-06-15T00:04:56.000Z,Wed Jun 15 00:04:56 +0000 2022,7,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://headlineplanet.com/home/2022/06/14/halseys-so-good-ranks-as-pop-radios-most-added-song/ ,0,7,,,,,
1536860417972129794,"Songs added by @SiriusXMHits1 this week:

* @halsey - So Good
* @ddlovato - SKIN OF MY TEETH
* @mimiwebb - Goodbye
* @postmalone &amp; @dojacat - I Like You
* @maggierogers - Want Want
* @marshmello &amp; @thegreatkhalid - Numb
* @itsameliamoore - i feel everything",Headline Planet,headlineplanet,2022-06-14T23:57:31.000Z,Tue Jun 14 23:57:31 +0000 2022,14,3,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,10,,,,,
1536810493041692680,"Added by @Z100NewYork this week:

* @halsey - So Good
* @stephencsanchez - Until I Found You",Headline Planet,headlineplanet,2022-06-14T20:39:08.000Z,Tue Jun 14 20:39:08 +0000 2022,6,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,3,,,,,
1536810327060381697,"Added by @1027KIISFM this week:

* @halsey - So Good",Headline Planet,headlineplanet,2022-06-14T20:38:29.000Z,Tue Jun 14 20:38:29 +0000 2022,6,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,2,,,,,
1536810245082779650,"Added by @B96Chicago this week:

* @halsey - So Good",Headline Planet,headlineplanet,2022-06-14T20:38:09.000Z,Tue Jun 14 20:38:09 +0000 2022,6,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,2,,,,,
1536467675320287234,Hailey Bieber + Anitta appear on the June 16 Kelly Clarkson Show (press pics by Weiss Eubanks/NBCU) https://t.co/hFm4Ezpn1j https://t.co/k5PtgbVzvo,Headline Planet,headlineplanet,2022-06-13T21:56:54.000Z,Mon Jun 13 21:56:54 +0000 2022,3373,280,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://headlineplanet.com/home/2022/06/13/hailey-bieber-anitta-appear-on-june-16-kelly-clarkson-show-first-look/ ,0,0,photo,https://pbs.twimg.com/media/FVKhGa7X0CYIvSr.jpg,https://pbs.twimg.com/media/FVKhHcGXEAE_8Av.jpg,https://pbs.twimg.com/media/FVKhIG3XwAUiZRF.jpg,https://pbs.twimg.com/media/FVKhIw4X0AEFAsg.jpg
1536157442186387456,.@BTS_twt's Yet To Come + @DukeandJones &amp; @louistheroux's Jiggle Jiggle + @ThisIsNYA's Closer Than Close + @halsey's So Good officially enter Top 50 at pop radio https://t.co/JMHh8jeV5t,Headline Planet,headlineplanet,2022-06-13T01:24:09.000Z,Mon Jun 13 01:24:09 +0000 2022,30,14,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://headlineplanet.com/home/2022/06/12/songs-by-bts-duke-jones-louis-theroux-nya-halsey-officially-reach-top-50-at-pop-radio/ ,0,5,,,,,
1536155450722471937,.@5sos' Me Myself &amp; I officially enters Top 40 at pop radio https://t.co/wjXaiHOZU3,Headline Planet,headlineplanet,2022-06-13T01:16:14.000Z,Mon Jun 13 01:16:14 +0000 2022,1,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://headlineplanet.com/home/2022/06/12/5-seconds-of-summers-me-myself-i-officially-makes-top-40-at-pop-radio/ ,0,1,,,,,
1536150232513269761,".@1053hotfm played @Harry_Styles' As It Was 145 times this week, ranking as the song's airplay leader at pop radio (according to Mediabase)",Headline Planet,headlineplanet,2022-06-13T00:55:30.000Z,Mon Jun 13 00:55:30 +0000 2022,5,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,2,,,,,
1536150086929076224,".@Z100Portland played @DoveCameron's Boyfriend 138 times this week, ranking as the song's airplay leader at pop radio (according to Mediabase)",Headline Planet,headlineplanet,2022-06-13T00:54:55.000Z,Mon Jun 13 00:54:55 +0000 2022,3,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,2,,,,,
1536149955911589893,".@hits957denver and @live955 each played @lizzo's About Damn Time 132 times this week, tying as the song's top supporters at pop radio (according to Mediabase)",Headline Planet,headlineplanet,2022-06-13T00:54:24.000Z,Mon Jun 13 00:54:24 +0000 2022,0,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,3,,,,,
1536149669742530562,".@Channel941Omaha played @EmBeihold's Numb Little Bug 132 times this week, ranking as the song's top supporter at pop radio (according to Mediabase)",Headline Planet,headlineplanet,2022-06-13T00:53:16.000Z,Mon Jun 13 00:53:16 +0000 2022,0,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,2,,,,,
