Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1539086235070672896,RT @mikethemiz : Look who was right. I got sent home from #DWTS just because I didn’t have my lucky underpants. #MizAndMrs,JoJo Siwa,itsjojosiwa,2022-06-21T03:22:07.000Z,Tue Jun 21 03:22:07 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,0,,,,,
1539086174332915712,RT @mikethemiz : So you’re telling me I’m in the bottom two with arguably the best dancer ever on #DWTS? This is going to end well for me. #MizAndMrs @itsjojosiwa https://t.co/Dr3pESSRYL,JoJo Siwa,itsjojosiwa,2022-06-21T03:21:53.000Z,Tue Jun 21 03:21:53 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,1,animated_gif,https://video.twimg.com/tweet_video/FVvq3ByVEAAB1bM.mp4,,,
1537140888228442113,"RT @LeahRemini : I’ve known @itsjojosiwa for years and I’ve always been so proud of her. 

Tonight, we start working together and I couldn’t be happier. 

Tune in to @DANCEonFOX at 9/8c tonight on @FOXTV! 

#sytycd https://t.co/b9H5jJpD9n",JoJo Siwa,itsjojosiwa,2022-06-15T18:32:01.000Z,Wed Jun 15 18:32:01 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,3,photo,https://pbs.twimg.com/media/FVT_g7kUsAIQTsr.jpg,,,
1536904950243991552,"RT @iHeartRadio : This ? is ? #CantCancelPride ?? Who's ready to celebrate with @itsjojosiwa &amp; more!? ??

Watch now: https://t.co/u59G4DiNMq https://t.co/MoudnA3g3S",JoJo Siwa,itsjojosiwa,2022-06-15T02:54:29.000Z,Wed Jun 15 02:54:29 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://ihr.fm/WatchCCP2022 ,1,1,animated_gif,https://video.twimg.com/tweet_video/FVOi5v4XEAIEzs1.mp4,,,
1536904853997248513,"RT @iHeartRadio : .@itsjojosiwa is exactly my mood when @bigfreedia walked on stage!!! ???????

Watch #CantCancelPride now: https://t.co/u59G4DiNMq https://t.co/gYArLjuSVY",JoJo Siwa,itsjojosiwa,2022-06-15T02:54:06.000Z,Wed Jun 15 02:54:06 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://ihr.fm/WatchCCP2022 ,1,2,video,https://video.twimg.com/ext_tw_video/1536756632025190400/pu/vid/668x360/ggdoQgMqJ66mh0Hh.mp4?tag=12,,,
1536904786997522432,RT @iHeartRadio : .@itsjojosiwa is living her life as her most authentic self! ?? #CantCancelPride https://t.co/pHahrA1WvK,JoJo Siwa,itsjojosiwa,2022-06-15T02:53:50.000Z,Wed Jun 15 02:53:50 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://ihr.fm/3tCdXca ,1,1,,,,,
1536904753090678784,RT @manilaluzon : Happy Pride from @itsjojosiwa @iHeartRadio @OutRightIntl &amp; me! #CantCancelPride ????????? https://t.co/WwoUgloFWV,JoJo Siwa,itsjojosiwa,2022-06-15T02:53:42.000Z,Wed Jun 15 02:53:42 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,3,video,https://video.twimg.com/ext_tw_video/1536895897379885056/pu/vid/446x270/80HH4-NTR1JWZXmW.mp4?tag=12,,,
1536802193721786369,"RT @iHeartRadio : .@itsjojosiwa is bringing the hype, the sparkle, and the fun to #CantCancelPride tonight!!! ???

Watch the event with @ProcterGamble at 8pm ET streaming on our Facebook, YouTube, and TikTok pages, https://t.co/AVTQ4XeJVa, The CW App, or on Revry:  https://t.co/u59G4DiNMq https://t.co/0yfy6TxLy9",JoJo Siwa,itsjojosiwa,2022-06-14T20:06:10.000Z,Tue Jun 14 20:06:10 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://PrideRadio.com https://ihr.fm/WatchCCP2022 ,1,2,photo,https://pbs.twimg.com/media/FVOVCAPWIAIMfFP.jpg,,,
1536802099060543488,I wonder if @justinbieber will say “Burn It” to this one?? https://t.co/FWVLQqId9B,JoJo Siwa,itsjojosiwa,2022-06-14T20:05:47.000Z,Tue Jun 14 20:05:47 +0000 2022,4112,221,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/FVPRXLpUYAAP--f.jpg,https://pbs.twimg.com/media/FVPRXLqUEAAshcX.jpg,,
1536405432717045760,This is like saying you’re a Meghan not a Murphy… you’re Meghan Murphy. Ever think I could be both?!:) https://t.co/y5ilLIj2Wk,JoJo Siwa,itsjojosiwa,2022-06-13T17:49:34.000Z,Mon Jun 13 17:49:34 +0000 2022,739,36,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/meggels2911/status/1535961439403446272 ,0,0,,,,,
