Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs
1525595091984957441,RT @UrbanQhoul : helpicantstopdrawingpizza https://t.co/tYb2hxBZE1,Pinkie Pie,mlp_Pinkie,2022-05-14T21:53:08.000Z,Sat May 14 21:53:08 +0000 2022,0,0,nl,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FSvWnOIWIAAKHlo.jpg
1505604275023581194,"*giggles as she hops around, tossing cupcakes to everyone and hopping to the frozen lake to begin the #WWU22 festivities!*

((RP’er has to afk but please have fun enjoying this years Winter Wrap Up everyone!)) https://t.co/dMpzqN28Oe",Pinkie Pie,mlp_Pinkie,2022-03-20T17:56:46.000Z,Sun Mar 20 17:56:46 +0000 2022,30,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FOT7F3DWUAQpzFa.jpg
1505601993271922689,"Winter Wrap Up, Winter Wrap Up, let's finish our holiday cheer
Winter Wrap Up, Winter Wrap Up, 'cause tomorrow spring is here
Winter Wrap Up, Winter Wrap Up, 'cause tomorrow spring is here
'Cause tomorrow spring is here

*points her hoof at @mlp_Twilight* ^.^ #WWU22",Pinkie Pie,mlp_Pinkie,2022-03-20T17:47:42.000Z,Sun Mar 20 17:47:42 +0000 2022,8,2,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,1,1,,
1505599179531374595,"Winter Wrap Up, Winter Wrap Up, let's finish our holiday cheer
Winter Wrap Up, Winter Wrap Up, 'cause tomorrow spring is here
Winter Wrap Up, Winter Wrap Up, 'cause tomorrow spring is here
'Cause tomorrow spring is here! *hoofclaps!!* #WWU22",Pinkie Pie,mlp_Pinkie,2022-03-20T17:36:31.000Z,Sun Mar 20 17:36:31 +0000 2022,8,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,1,0,,
1505598562842943488,"*grins wide at mlp_Rainbow and holds out a hoof as she sings*

When the sun comes up, its warmth and beauty will glow! #WWU22",Pinkie Pie,mlp_Pinkie,2022-03-20T17:34:04.000Z,Sun Mar 20 17:34:04 +0000 2022,6,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,1,0,,
1505597829200465928,"SomeBODY once tol-oh, no wait, the other stuck-in-your-head-song…

Winter wrap up winter wrap uuuuuup!! *gigglesnorts*",Pinkie Pie,mlp_Pinkie,2022-03-20T17:31:09.000Z,Sun Mar 20 17:31:09 +0000 2022,10,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,0,,
1505596036672327685,"*eeps at @mlp_Applejack’s nudging and @mlp_Rainbow’s singing*

We've kept our hoovsies warm at home, time off from work to play! *she sings, giggling!* ^.^ #WWU22",Pinkie Pie,mlp_Pinkie,2022-03-20T17:24:02.000Z,Sun Mar 20 17:24:02 +0000 2022,5,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,1,2,,
1505595069189042176,"*clears her throat* Ahem… *whispers* Winter wrap up, winter… something-something cheer*

*coughs, clears her throat again* C’mon Pinke. Eleven benevolent elephants, eleven benevolent elephants. Sally sells sea shells by the sea shore.",Pinkie Pie,mlp_Pinkie,2022-03-20T17:20:11.000Z,Sun Mar 20 17:20:11 +0000 2022,4,1,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,0,,
1505591280067387393,"Everyone gets a cupcake on free cupcake day!

… I mean, Winter Wrap Up! *tosses a cupcake to @mlp_starglow*",Pinkie Pie,mlp_Pinkie,2022-03-20T17:05:08.000Z,Sun Mar 20 17:05:08 +0000 2022,4,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,1,,
1505590876525010956,"It sure will be @mlp_Heartstroke!

Yippee!! *stomps her hooves for @MLP_TheMayor’s speech*
Way to go @mlp_Twilight! Way to go EVERY CREATURE! *bounces up and down*

#WWU22",Pinkie Pie,mlp_Pinkie,2022-03-20T17:03:32.000Z,Sun Mar 20 17:03:32 +0000 2022,3,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,1,3,,
1505589795292123138,"That’s one way to spice things up! *gigglesnorts to @mlp_cinders before smiling up at @MLP_Koal*

*has no idea how he got up there without her realizing it but doesn’t seem too surprised!* ^.^

#WWU22",Pinkie Pie,mlp_Pinkie,2022-03-20T16:59:14.000Z,Sun Mar 20 16:59:14 +0000 2022,2,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,1,2,,
1505587657237463041,"We sure are @mlp_Crunch, because we’re going to be working TOGETHER! 

*tosses a cupcake to @mlp_Heartstroke* Hiya! Welcome to the ice-skating team! ^.^

*looks back toward @MLP_TheMayor, listening* #WWU22",Pinkie Pie,mlp_Pinkie,2022-03-20T16:50:44.000Z,Sun Mar 20 16:50:44 +0000 2022,4,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,1,3,,
1505586714819112960,*her ears perk up as she turns to @MLP_TheMayor and listens up!* #WWU22,Pinkie Pie,mlp_Pinkie,2022-03-20T16:46:59.000Z,Sun Mar 20 16:46:59 +0000 2022,1,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,1,1,,
1505586447373549572,"Hiya @mlp_cinders!! *waves her hoof as she tosses her a cupcake with frosted ICE-ing frosting! Basically a cupcake made to look like an ice cube*

Welcome to the team! And hiya @mlp_Crunch! Also welcome to the team! *gigglesnorts, giving him a ice cupcake too*",Pinkie Pie,mlp_Pinkie,2022-03-20T16:45:56.000Z,Sun Mar 20 16:45:56 +0000 2022,2,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,,0,2,,
1505577703742840841,"Guess what everyone?

It’s time to SPRING FORWARD into spring!!

*giggles as she bounces*

… *and talks to herself again* 

((Source: https://t.co/dxOfzEt8Hx)) #WWU22 https://t.co/0q8vdKo8lI",Pinkie Pie,mlp_Pinkie,2022-03-20T16:11:11.000Z,Sun Mar 20 16:11:11 +0000 2022,23,5,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://www.deviantart.com/tg1117/art/Pinkie-Hop-782460487 ,1,0,animated_gif,https://video.twimg.com/tweet_video/FOTi6frXwAEaGbC.mp4
1503530693288148993,"RT @Sakura_Moon814 : Happy Pi(e) Day! ?

#PiDay #mlp #PinkiePie https://t.co/PQyFuXw9HU",Pinkie Pie,mlp_Pinkie,2022-03-15T00:37:06.000Z,Tue Mar 15 00:37:06 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,3,0,photo,https://pbs.twimg.com/media/FN2anB_XIAAbBBF.jpg
1499019442147188737,RT @ItsKittyRosie : https://t.co/nkfM2E6D8Q,Pinkie Pie,mlp_Pinkie,2022-03-02T13:51:00.000Z,Wed Mar 02 13:51:00 +0000 2022,0,0,zxx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FMvukqaVkAMYTqv.jpg
1477144826919505927,"*and cotton candy too, and cupcakes and-ew dragon slobber!*

*gigglesnorts and snuggles a @mlp_spike!* https://t.co/dFEh5b6vXr",Pinkie Pie,mlp_Pinkie,2022-01-01T05:09:05.000Z,Sat Jan 01 05:09:05 +0000 2022,12,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,https://twitter.com/mlp_spike/status/1477144055930933248 ,0,1,,
