Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1553304020625801216,#RENAISSANCE  … seriously https://t.co/LL72ceJuEr,?itt?? ??nsT?r ???? - Chromatica ball,monsterparis75,2022-07-30T08:58:32.000Z,Sat Jul 30 08:58:32 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FY5xxhqXgAA2YD8.jpg,,,
1553301920961421314,"RT @SaintHoax : Judge: You’re gonna have to serve…

Shakira: https://t.co/D9Cbp5Qg11",?itt?? ??nsT?r ???? - Chromatica ball,monsterparis75,2022-07-30T08:50:11.000Z,Sat Jul 30 08:50:11 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,video,https://video.twimg.com/ext_tw_video/1553095077576196097/pu/vid/484x360/Cuyi_dqQXLLEbico.mp4?tag=12,,,
1553268480971079680,RT @alluregaga2 : Me when I become a security for a day to get paid to attend a Lady Gaga concert  https://t.co/5wL8IwZ24Q,?itt?? ??nsT?r ???? - Chromatica ball,monsterparis75,2022-07-30T06:37:18.000Z,Sat Jul 30 06:37:18 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,video,https://video.twimg.com/ext_tw_video/1553170081965903872/pu/vid/720x1280/WYH9RZ8FbS7G0LfX.mp4?tag=12,,,
1553256080435826688,@Bad_r0mance31 @ladygaga C’était pas Wembley mais Tottenham,?itt?? ??nsT?r ???? - Chromatica ball,monsterparis75,2022-07-30T05:48:02.000Z,Sat Jul 30 05:48:02 +0000 2022,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1553137975306981376,@JAYACTII @b00giesand @ThatsSoKatie44 In Paris we started late and it was her longest show … we finished like almost 23:45,?itt?? ??nsT?r ???? - Chromatica ball,monsterparis75,2022-07-29T21:58:43.000Z,Fri Jul 29 21:58:43 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,3,,,,,
1553136586577137665,@JAYACTII @b00giesand @ThatsSoKatie44 UK is so annoying with these things,?itt?? ??nsT?r ???? - Chromatica ball,monsterparis75,2022-07-29T21:53:12.000Z,Fri Jul 29 21:53:12 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,3,,,,,
1553136292606738434,"@KillerHooker @ladygaga @bobby_campbell Europe serving, not like US ?",?itt?? ??nsT?r ???? - Chromatica ball,monsterparis75,2022-07-29T21:52:02.000Z,Fri Jul 29 21:52:02 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,3,,,,,
1553134665124429824,46k only ! … thought more for London ! ???? need a second date for Paris another 76K @ladygaga  #ChromaticaBallLondon #ChromaticaBall,?itt?? ??nsT?r ???? - Chromatica ball,monsterparis75,2022-07-29T21:45:34.000Z,Fri Jul 29 21:45:34 +0000 2022,6,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,2,1,,,,,
1553131001764892673,"#ChromaticaBallParis &gt;&gt;&gt;&gt;  #ChromaticaBallLondon … she didn’t Skip TEOG, more energy, crowd was ?, her biggest audience, she spoke french and communicated more with public … @ladygaga we miss you here ??? #ChromaticaBall",?itt?? ??nsT?r ???? - Chromatica ball,monsterparis75,2022-07-29T21:31:01.000Z,Fri Jul 29 21:31:01 +0000 2022,5,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,3,1,,,,,
1553121001139060736,RT @colinclark1995 : The new headpiece @ladygaga has for Babylon reminds me of the lobster one she wore in London in 2010 ? #ChromaticaBallLondon https://t.co/VTBtJHPd1j,?itt?? ??nsT?r ???? - Chromatica ball,monsterparis75,2022-07-29T20:51:16.000Z,Fri Jul 29 20:51:16 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,1,photo,https://pbs.twimg.com/media/FY3KyA2WAAEd-ES.jpg,https://pbs.twimg.com/media/FY3KyLKX0AQHV6A.jpg,,
1553120168833949697,@itsmyreplay They are so fucking calm … i miss Parisian crowd,?itt?? ??nsT?r ???? - Chromatica ball,monsterparis75,2022-07-29T20:47:58.000Z,Fri Jul 29 20:47:58 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1553118019781595138,@swiftstarligh @PopCrave Just for the image,?itt?? ??nsT?r ???? - Chromatica ball,monsterparis75,2022-07-29T20:39:26.000Z,Fri Jul 29 20:39:26 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
