"Tweet Id","Text","Name","Screen Name","UTC","Created At","Favorites","Retweets","Language","Client","Tweet Type","URLs","Hashtags","Mentions","Media Type","Media URLs","","",""
"1527800719171940353","RT @lizzo : My favorite part of waking up is knowin I’m bout to eat some food","Raini Rodriguez","Raini_Rodriguez","2022-05-20T23:57:31.000Z","Fri May 20 23:57:31 +0000 2022","0","0","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Retweet","","0","0","","","","",""
"1526253477357309953","@lizzo Yessss 👏🏽👏🏽👏🏽👏🏽 It’s been on repeat for 2 weeks straight","Raini Rodriguez","Raini_Rodriguez","2022-05-16T17:29:20.000Z","Mon May 16 17:29:20 +0000 2022","442","17","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","1","","","","",""
"1524604853946888193","😭😭😭😭 omg I’m so excited https://t.co/rp6T0xspba","Raini Rodriguez","Raini_Rodriguez","2022-05-12T04:18:17.000Z","Thu May 12 04:18:17 +0000 2022","113","8","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","https://twitter.com/ScreamMovies/status/1524523939627556864 ","0","0","","","","",""
"1524124507077758976","@BrunoMars @silksonic Omg!! I need to get myself some tickets for a late birthday gift!!!! Silk Sonic is my JAM 💃🏽👏🏽","Raini Rodriguez","Raini_Rodriguez","2022-05-10T20:29:34.000Z","Tue May 10 20:29:34 +0000 2022","40","6","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","2","","","","",""
"1523432748462993408","Yessss 👏🏽👏🏽👏🏽 Let’s go, @LASparks!! https://t.co/XDiq351tzy","Raini Rodriguez","Raini_Rodriguez","2022-05-08T22:40:45.000Z","Sun May 08 22:40:45 +0000 2022","42","2","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","https://twitter.com/WNBA/status/1523412028911538177 ","0","1","","","","",""
"1519768602517381122",". @StarringRico, setting up his new Oculus… 
“Man, you know I can barely see in these goggles without my glasses on. Even in virtual reality I’m blind.” 

😂😂😂","Raini Rodriguez","Raini_Rodriguez","2022-04-28T20:00:45.000Z","Thu Apr 28 20:00:45 +0000 2022","67","3","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","","0","1","","","","",""
"1517235513635348481","😭💜 Camp Fam 4 Life 💜😭 https://t.co/39Y7u8a1Rr","Raini Rodriguez","Raini_Rodriguez","2022-04-21T20:15:09.000Z","Thu Apr 21 20:15:09 +0000 2022","62","4","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","https://twitter.com/JurassicWorld/status/1516866151086653440 ","0","0","","","","",""
"1517235365840629760","Thank you for your kind words! Voicing Sammy has been a dream come true💜💜💜💜 https://t.co/mnKqPHCK32","Raini Rodriguez","Raini_Rodriguez","2022-04-21T20:14:34.000Z","Thu Apr 21 20:14:34 +0000 2022","48","3","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","https://twitter.com/Cretaceous_Dave/status/1516872790598635521 ","0","0","","","","",""
"1517234876956749825","@McDonalds The grilled chicken sandwich","Raini Rodriguez","Raini_Rodriguez","2022-04-21T20:12:38.000Z","Thu Apr 21 20:12:38 +0000 2022","204","3","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reply","","0","1","","","","",""
"1516833956339068930","Every journey comes to an end, even if you're not ready for it... The final season of Jurassic World: Camp Cretaceous arrives on Netflix, July 21 🦖🦕 https://t.co/tJ2C77sIrT","Raini Rodriguez","Raini_Rodriguez","2022-04-20T17:39:31.000Z","Wed Apr 20 17:39:31 +0000 2022","486","60","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tweet","","0","0","video","https://video.twimg.com/ext_tw_video/1516830450714566656/pu/vid/626x360/XV_CISwbPORjnMr8.mp4?tag=12","","",""
