Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1549974846573973504,"RT @rarebeauty : WE'RE COMING BRAZIL ???

Arriving August 3rd only @sephorabrasil. https://t.co/UZDNjGLTBS",Selena Gomez,selenagomez,2022-07-21T04:29:35.000Z,Thu Jul 21 04:29:35 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,video,https://video.twimg.com/ext_tw_video/1549795593710514177/pu/vid/320x568/isKcz8zgi0c8K3XM.mp4?tag=12,,,
1549498060513763329,New episode today! @OnlyMurdersHulu https://t.co/kPFO3ASXDj,Selena Gomez,selenagomez,2022-07-19T20:55:00.000Z,Tue Jul 19 20:55:00 +0000 2022,12268,1628,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,video,https://video.twimg.com/ext_tw_video/1549497946160316416/pu/vid/320x320/FnkMYYZYS9_hcwK2.mp4?tag=12,,,
1546545869163442176,So excited for SEASON 3!!! https://t.co/RuxgraR0ML,Selena Gomez,selenagomez,2022-07-11T17:24:03.000Z,Mon Jul 11 17:24:03 +0000 2022,30450,3958,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/OnlyMurdersHulu/status/1546543666432339973 ,0,0,,,,,
1545075360563224576,"My @rarebeauty Kind Words Matte Lipstick and Lip Liner are finally here! I’m really excited for you guys to try this one! 

Now available globally online and in-stores @sephora and @spacenk. #usekindwords https://t.co/NAZc7gnZtX",Selena Gomez,selenagomez,2022-07-07T16:00:46.000Z,Thu Jul 07 16:00:46 +0000 2022,16616,2261,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,1,3,photo,https://pbs.twimg.com/media/FXEyOeoUIAAvMCv.jpg,https://pbs.twimg.com/media/FXEyOepVsAE2dr7.jpg,https://pbs.twimg.com/media/FXEyOeqUUAEI6tK.jpg,
1544375949604503553,"RT @OnlyMurdersHulu : This is your friendly (yes, friendly) neighbor with an even friendlier reminder: A brand-new episode of #OMITB is now streaming, only on @hulu. https://t.co/WLaK67p3Eb",Selena Gomez,selenagomez,2022-07-05T17:41:34.000Z,Tue Jul 05 17:41:34 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,1,1,video,https://video.twimg.com/amplify_video/1542955622710366209/vid/540x540/ME9L4n7JV0Z3JHQW.mp4?tag=14,,,
1541634513075601409,Season 2 starts now!! @OnlyMurdersHulu https://t.co/wZPh8IyOXR,Selena Gomez,selenagomez,2022-06-28T04:08:04.000Z,Tue Jun 28 04:08:04 +0000 2022,34075,4991,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,video,https://video.twimg.com/ext_tw_video/1541634478858067968/pu/vid/540x540/iwByG1T9JYj1NKO-.mp4?tag=12,,,
1540455916331356160,"Please support @ppact- I am fearful of what will happen to those without the necessary means to have access to a safe, legal abortion. https://t.co/5hK6FGeGlA",Selena Gomez,selenagomez,2022-06-24T22:04:45.000Z,Fri Jun 24 22:04:45 +0000 2022,16975,2648,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,http://Bansoff.org ,0,1,,,,,
1540455914984988672,Watching a Constitutional right be stripped away is horrific. A woman should have the right to CHOOSE what she wants to do with her own body. End of story.,Selena Gomez,selenagomez,2022-06-24T22:04:45.000Z,Fri Jun 24 22:04:45 +0000 2022,360121,51282,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1540100639585234945,"RT @rarebeauty : USE KIND WORDS. It’s as easy as applying lipstick.?

Kind Words Matte Lipstick and Lip Liner drops globally 7/7 at 12am ET only @sephora, @space_nk, and https://t.co/unZFWiUWpl! https://t.co/r6SAlqyGm0",Selena Gomez,selenagomez,2022-06-23T22:33:00.000Z,Thu Jun 23 22:33:00 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://RareBeauty.com ,0,2,photo,https://pbs.twimg.com/media/FV87TlwUYAAt98l.jpg,https://pbs.twimg.com/media/FV87TluUsAArs4O.jpg,,
1538271417845764096,@OnlyMurdersHulu Same,Selena Gomez,selenagomez,2022-06-18T21:24:20.000Z,Sat Jun 18 21:24:20 +0000 2022,5235,542,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1538208088397709312,"The @UN Secretary General @antonioguterres said, “Hatred is a danger to everyone — and so fighting it must be a job for everyone.” Thank you @UN and @CCDHate for working to stop online hate and misinformation. Say #NoToHate https://t.co/ITUXofaDKn",Selena Gomez,selenagomez,2022-06-18T17:12:41.000Z,Sat Jun 18 17:12:41 +0000 2022,7670,1126,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/CCDHate/status/1538169594262827008 ,1,4,,,,,
1536756746764488705,I’m so excited for y’all to see Season 2-coming so soon! https://t.co/ISCEHXpiIf,Selena Gomez,selenagomez,2022-06-14T17:05:34.000Z,Tue Jun 14 17:05:34 +0000 2022,31273,5516,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,,0,0,video,https://video.twimg.com/amplify_video/1535354188414103553/vid/640x360/C_98IkCPY3yaeNZk.mp4?tag=14,,,
1530276694161969152,"RT @MTV : To champion #MentalHealthAction, @DrBiden, @Surgeon_General, &amp; @SelenaGomez teamed up with MTV to amplify the voices of youth activists &amp; chart the path forward at the Mental Health Youth Action Forum — and @MTVNEWS’ @Dometi_ was at the White House to hear their stories. ? https://t.co/j6VKWm06Qr",Selena Gomez,selenagomez,2022-05-27T19:56:09.000Z,Fri May 27 19:56:09 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,5,video,https://video.twimg.com/amplify_video/1529878300289540097/vid/480x852/UKm63sfNC1N1lhJL.mp4?tag=14,,,
1529883131288821760,"It was such an honor to sit down with @potus, @flotus, and @surgeon_general to discuss prioritizing mental health https://t.co/H5xvTsbVnQ",Selena Gomez,selenagomez,2022-05-26T17:52:17.000Z,Thu May 26 17:52:17 +0000 2022,21770,3368,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/POTUS/status/1529878963962761216 ,0,3,,,,,
1529296063076499456,It’s so frustrating and I’m not sure what to say anymore. Those in power need to stop giving lip service and actually change the laws to prevent these shootings in the future. https://t.co/xCTiOdjv6I,Selena Gomez,selenagomez,2022-05-25T02:59:29.000Z,Wed May 25 02:59:29 +0000 2022,31495,4750,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,https://www.everytown.org ,0,0,,,,,
1529296062019608576,Today in my home state of Texas 18 innocent students were killed while simply trying to get an education. A teacher killed doing her job; an invaluable yet sadly under appreciated job. If children aren’t safe at school where are they safe?,Selena Gomez,selenagomez,2022-05-25T02:59:28.000Z,Wed May 25 02:59:28 +0000 2022,181872,25498,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1527419237265854464,"RT @Surgeon_General : #MentalHealthAction Day is a chance to take steps to better our own mental health &amp; support those we love. Join me today in resolving to check in regularly on someone you love. Person by person, we have the power to help each other heal. #MentalHealth https://t.co/PcVcmc6MJ0",Selena Gomez,selenagomez,2022-05-19T22:41:38.000Z,Thu May 19 22:41:38 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://twitter.com/MTVNEWS/status/1527373883929571337 ,2,0,,,,,
1527332246373294104,"RT @Surgeon_General : I’m grateful to have met with @FLOTUS, @selenagomez, &amp; several young people about addressing #YouthMentalHealth through storytelling &amp; media. Together, we’re building a movement to protect the mental health &amp; emotional well-being of our nation’s youth. #MentalHealthAwarenessMonth https://t.co/YA4LkB7C3t",Selena Gomez,selenagomez,2022-05-19T16:55:58.000Z,Thu May 19 16:55:58 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,2,photo,https://pbs.twimg.com/media/FTFJrWGXsAEyjcB.jpg,https://pbs.twimg.com/media/FTFJrWGXsAAsl4v.jpg,https://pbs.twimg.com/media/FTFJrWGWYAMN-gx.jpg,
1527085346269196288,Thank you @FLOTUS for having us at the White House to discuss such an important issue. https://t.co/WTT8X2YFAu,Selena Gomez,selenagomez,2022-05-19T00:34:53.000Z,Thu May 19 00:34:53 +0000 2022,14131,1940,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/FLOTUS/status/1527025200231063554 ,0,1,,,,,
1526665107723456514,June 28th!! Can’t wait for y’all to see @onlymurdershulu Season 2 https://t.co/X80ZC39EmR,Selena Gomez,selenagomez,2022-05-17T20:45:00.000Z,Tue May 17 20:45:00 +0000 2022,23188,4572,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,,0,1,video,https://video.twimg.com/amplify_video/1525206462934355968/vid/540x540/Is7yn0j2EGQO9lRG.mp4?tag=14,,,
1526266032385564673,My heart is broken by the horrific attack in Buffalo. Social media companies have not done enough to deal with hate. https://t.co/hwpqJVVEEb,Selena Gomez,selenagomez,2022-05-16T18:19:13.000Z,Mon May 16 18:19:13 +0000 2022,18193,2237,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/CCDHate/status/1526215057486520321 ,0,0,,,,,
1526247573031460869,@melissavcomedy @mikeyfuntime @streetseidell No like we did so gooh,Selena Gomez,selenagomez,2022-05-16T17:05:52.000Z,Mon May 16 17:05:52 +0000 2022,7582,686,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,3,,,,,
1525608490164793345,"RT @nbcsnl : TONIGHT! @selenagomez
Live on @NBC and @peacockTV! https://t.co/JZm6dVLWRC",Selena Gomez,selenagomez,2022-05-14T22:46:23.000Z,Sat May 14 22:46:23 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,3,video,https://video.twimg.com/amplify_video/1525211331284111360/vid/1280x720/w53tMW3LEzvf__5X.mp4?tag=14,,,
1525147329086504961,RT @nbcsnl : ??? https://t.co/n5LkPAiZwZ,Selena Gomez,selenagomez,2022-05-13T16:13:53.000Z,Fri May 13 16:13:53 +0000 2022,0,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FSpKQ5eWIAAdpwA.jpg,,,
1524844982770749448,"RT @ourplace : We’re SO excited to share with you the Our Place x @selenagomez collection––a celebration of all ways we cook! ?
We’ll be donating 10% of the profits to expand mental health services with the Rare Impact Fund. Now, let’s make something delicious! https://t.co/yGrWZPSypd https://t.co/h9VsiU3orS",Selena Gomez,selenagomez,2022-05-12T20:12:28.000Z,Thu May 12 20:12:28 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://bit.ly/3yFFCvU ,0,1,photo,https://pbs.twimg.com/media/FSkv1-oUYAEPp4Q.jpg,https://pbs.twimg.com/media/FSkv4yFUYAs5n2T.jpg,https://pbs.twimg.com/media/FSkv8udUYA4OIkt.jpg,https://pbs.twimg.com/media/FSkwFCwUEAA5vj9.jpg
1524434365178159104,"RT @rarebeauty : That fresh no makeup-makeup with Founder, @selenagomez, using the NEW Positive Light Tinted Moisturizer SPF 20 ? Check out the full tutorial over on our YouTube channel and come hang out with us in the comments. See ya there besties!

https://t.co/3gwRniwhAS",Selena Gomez,selenagomez,2022-05-11T17:00:49.000Z,Wed May 11 17:00:49 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://youtu.be/fB1uhbBGUG0 ,0,1,,,,,
1524075389127213061,"RT @LupusResearch : On #WorldLupusDay, I’m teaming up with the @LupusResearch Alliance to empower lupus warriors and let you know...you are not alone.

Let’s elevate awareness and support lupus research -- because together, we can make a difference. 

https://t.co/ZLSGXHqnc7  https://t.co/6hzeqaEUB9 https://t.co/gKpAVRcW9v",Selena Gomez,selenagomez,2022-05-10T17:14:23.000Z,Tue May 10 17:14:23 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://Lupusresearch.org http://rarebeauty.com/rareimpact ,1,1,photo,https://pbs.twimg.com/media/FSZSmBwWUAAVnSi.jpg,https://pbs.twimg.com/media/FSZSniXWQAECyd0.jpg,https://pbs.twimg.com/media/FSZSoKAXMAECsLY.jpg,
1524075343862185984,RT @nbcsnl : SATURDAY! @selenagomez hosts with musical guest @PostMalone! https://t.co/MSmetimuQ9,Selena Gomez,selenagomez,2022-05-10T17:14:12.000Z,Tue May 10 17:14:12 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,2,video,https://video.twimg.com/amplify_video/1523697464867536900/pl/eIWnTmFmWOJe0tWT.m3u8?tag=14&container=fmp4,,,
1522648808005406720,See you May 14!!! https://t.co/GDHkJ6aeZm,Selena Gomez,selenagomez,2022-05-06T18:45:39.000Z,Fri May 06 18:45:39 +0000 2022,56141,6302,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/nbcsnl/status/1522622533035606016 ,0,0,,,,,
1522357515861733376,"RT @LupusResearch : In 2 days, join us in coming together on a global scale for the #ManyOneCan Virtual Walk with Us to Cure Lupus! The program kicks off at 12pm EST, and you can live chat with fellow lupus champions, LRA/LT staff, and corporate supporters until 2pm EST: https://t.co/dqshFOytSg https://t.co/sYs9a6VlCo",Selena Gomez,selenagomez,2022-05-05T23:28:10.000Z,Thu May 05 23:28:10 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://bit.ly/virtualwalk-2022 ,1,0,photo,https://pbs.twimg.com/media/FSBnA3dX0AAHaoh.jpg,,,
1522357342066470912,"RT @LupusResearch : This #LupusAwarenessMonth, we are teaming up with @selenagomez on a quest to accelerate research. Visit https://t.co/01t9pNxi7Q to learn about the many ways you can make a difference. No one individual can do it alone but #ManyOneCan! https://t.co/4vTv2F7mUp",Selena Gomez,selenagomez,2022-05-05T23:27:29.000Z,Thu May 05 23:27:29 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://lupusresearch.org ,2,1,video,https://video.twimg.com/ext_tw_video/1522247881796689925/pu/vid/640x360/DkJqsEymrSi8g8E4.mp4?tag=12,,,
1522262320570781702,"RT @letswondermind : Change starts with us. For #mentalhealthmonth, we are working to destigmatize mental health by empowering you to share your story. Thanks for sharing, @selenagomez! #letswondermind https://t.co/Vcp9SlVFeB",Selena Gomez,selenagomez,2022-05-05T17:09:54.000Z,Thu May 05 17:09:54 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,2,1,video,https://video.twimg.com/ext_tw_video/1521885201936355335/pu/vid/720x720/daewf36_a2ibvWsg.mp4?tag=12,,,
1521170298178998272,Living in my Rare Impact sweatshirt.?? Created in honor of Rare Impact by @RareBeauty’s “Your Words Matter” educational campaign to inspire and educate on the power and influence of your words. 100% of net proceeds support the Rare Impact Fund. https://t.co/gUYMRReXnp https://t.co/otqtlTTez9,Selena Gomez,selenagomez,2022-05-02T16:50:35.000Z,Mon May 02 16:50:35 +0000 2022,29669,2830,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.rarebeauty.com/products/rare-impact-crewneck-limited-edition-2022 ,0,1,photo,https://pbs.twimg.com/media/FRxFHhhVIAAC6Qz.jpg,,,
1519013561921523712,"Excited to share that the @WhiteHouse, @mtv, &amp; @rarebeauty’s Rare Impact Fund are joining forces for the Mental Health Youth Action Forum-May 18th! Looking forward to working with these young leaders to help shape positive conversations about self-acceptance and mental well-being https://t.co/n5JX6sbD3s",Selena Gomez,selenagomez,2022-04-26T18:00:29.000Z,Tue Apr 26 18:00:29 +0000 2022,14317,2399,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,3,video,https://video.twimg.com/ext_tw_video/1519013533354061824/pu/pl/gULdavrG-5Xx_4h3.m3u8?tag=12&container=fmp4,,,
1518398740595240960,"RT @CCDHate : “There is a tax being put on us being able to express our voices” 

Our CEO @Imi_Ahmed told @technews_weekly that @instagram and @Meta are failing to protect women, people of color, and LGBT people from an epidemic of online abuse. https://t.co/gxU1PsXsZ2",Selena Gomez,selenagomez,2022-04-25T01:17:24.000Z,Mon Apr 25 01:17:24 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,4,video,https://video.twimg.com/ext_tw_video/1517164840221085697/pu/vid/720x720/LiY_aJQo8ZTFUcZM.mp4?tag=12,,,
1517932228004564993,"RT @Mariska : The rape kit backlog is &amp; has always been an outrage. @JHF is proud to announce the new https://t.co/FyfWNzH3aE, a bold, comprehensive, unprecedented resource to mobilize the collective action that will bring the backlog to an end. Justice for survivors—always. @ENDTHEBACKLOG https://t.co/lmfPmFiAk1",Selena Gomez,selenagomez,2022-04-23T18:23:39.000Z,Sat Apr 23 18:23:39 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://www.endthebacklog.org ,0,2,photo,https://pbs.twimg.com/media/FQzJgzDXwA0oDqP.jpg,,,
1517235370613563392,"RT @Space_NK : ?COMING SOON? The wait is almost over, the NEW @RareBeauty by @SelenaGomez Positive Light Tinted Moisturiser SPF20 lands at Space NK on April 25th? 

Join the waitlist to be the first to shop??? https://t.co/5kKHAnW6LD https://t.co/i2L6MUgH7B",Selena Gomez,selenagomez,2022-04-21T20:14:35.000Z,Thu Apr 21 20:14:35 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://bit.ly/3uZnOd6 ,0,2,photo,https://pbs.twimg.com/media/FQzHOZGWYAcZhhc.jpg,,,
1510981640327204865,The first newsletter from @letswondermind is here! https://t.co/KheJKJeTfe,Selena Gomez,selenagomez,2022-04-04T14:04:30.000Z,Mon Apr 04 14:04:30 +0000 2022,14219,1866,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/letswondermind/status/1510980973051236360 ,0,1,,,,,
1509380998227767298,"My new @RareBeauty Positive Light Tinted Moisturizer Broad Spectrum SPF 20 has arrived in 24 flexible shades only @Sephora. It’s “no-makeup” makeup in a bottle that lets the real you shine with smooth glowy, skin and sun protection in one. https://t.co/StgM8RiAq4 https://t.co/evn27vvOVM",Selena Gomez,selenagomez,2022-03-31T04:04:07.000Z,Thu Mar 31 04:04:07 +0000 2022,21654,2414,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://seph.me/3JM12KG ,0,2,photo,https://pbs.twimg.com/media/FPJmA5mXEAAE5VN.jpg,,,
1508428694364188673,Our first initiative for @letswondermind will be an email newsletter dedicated to taking time for your mind! The first issue will be coming very soon so make sure to subscribe https://t.co/NCYHq46qQh #letswondermind https://t.co/L14brd7UUj,Selena Gomez,selenagomez,2022-03-28T13:00:00.000Z,Mon Mar 28 13:00:00 +0000 2022,10494,1648,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.wondermind.com/ ,1,1,video,https://video.twimg.com/ext_tw_video/1508422273220456455/pu/vid/320x320/lzHhvSJ3jneyYeft.mp4?tag=12,,,
1508224849424130052,Cannot wait for you guys to see what we’ve been up to in season 2. Here’s a sneak peek @onlymurdershulu https://t.co/aO0zbBTivd,Selena Gomez,selenagomez,2022-03-27T23:30:00.000Z,Sun Mar 27 23:30:00 +0000 2022,33158,6165,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,,0,1,video,https://video.twimg.com/amplify_video/1507760418059526147/vid/540x540/gD6KtFEYv3r7tHJM.mp4?tag=14,,,
1507394377588432902,Season 2 is coming June 28!! @OnlyMurdersHulu https://t.co/MduC8AWvT5,Selena Gomez,selenagomez,2022-03-25T16:30:00.000Z,Fri Mar 25 16:30:00 +0000 2022,36481,7195,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,,0,1,video,https://video.twimg.com/amplify_video/1506041585137426435/vid/320x320/BQp2UOcMbSXkPVj6.mp4?tag=14,,,
1506680425514733578,Meet one of my favorite products we’ve ever created – @RareBeauty’s Positive Light Tinted Moisturizer Broad Spectrum SPF 20. Launches 3/30 at 9PM PT. https://t.co/xNjiXq9xRu https://t.co/Yli3erGQ2f,Selena Gomez,selenagomez,2022-03-23T17:13:00.000Z,Wed Mar 23 17:13:00 +0000 2022,23884,3128,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://bit.ly/POSITIVELIGHT ,0,1,photo,https://pbs.twimg.com/media/FOjNlJgWUAILgU5.jpg,https://pbs.twimg.com/media/FOjNlwuWUAgUcQ2.jpg,,
1504872912771239939,RT @coldplay : ? The new Piano Version of #LetSomebodyGo with @SelenaGomez is out today! Stream / download at https://t.co/DazvuytIaf https://t.co/WFFLh3TIXv,Selena Gomez,selenagomez,2022-03-18T17:30:36.000Z,Fri Mar 18 17:30:36 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://coldplay.lnk.to/LSGPianoVersion ,1,1,video,https://video.twimg.com/amplify_video/1504728663908048937/vid/540x540/cuzvNYTRQCQk9jUx.mp4?tag=14,,,
1504049709010362369,@gabbyrevlugo @TanyaSaracho @Ojala_prods @peacockTV @UCP ??,Selena Gomez,selenagomez,2022-03-16T10:59:29.000Z,Wed Mar 16 10:59:29 +0000 2022,1608,215,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,5,,,,,
1504049633533870081,@TanyaSaracho @gabbyrevlugo @UCP @peacockTV ?,Selena Gomez,selenagomez,2022-03-16T10:59:11.000Z,Wed Mar 16 10:59:11 +0000 2022,1740,232,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,4,,,,,
