Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1549768209678704640,Had no seggs in 1 year. According to the bible does this mean I am born again,1DON,stefflondon,2022-07-20T14:48:29.000Z,Wed Jul 20 14:48:29 +0000 2022,2611,271,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1548419423995772930,RT @MannyNorte : The special feature is about it to surprise a lot of people!!! ???? https://t.co/Cvto6eG3kp,1DON,stefflondon,2022-07-16T21:28:53.000Z,Sat Jul 16 21:28:53 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://twitter.com/stefflondon/status/1548393857045241856 ,0,0,,,,,
1548393857045241856,"Some1 very special is featured on the song 2 lock in to find out who, then come tell me who you heard ??????? #BigFatMachine https://t.co/ahAk0ngY9P",1DON,stefflondon,2022-07-16T19:47:17.000Z,Sat Jul 16 19:47:17 +0000 2022,148,15,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/MannyNorte/status/1548391127971086345 ,1,0,,,,,
1547974718749229059,#BigFatMachine @MAJORLEAGUEDJZ  #Loading ???? https://t.co/6Evie1YCu4,1DON,stefflondon,2022-07-15T16:01:47.000Z,Fri Jul 15 16:01:47 +0000 2022,4187,715,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,2,1,video,https://video.twimg.com/ext_tw_video/1547974642257735680/pu/vid/320x568/RieF6taDHzbdCByt.mp4?tag=12,,,
1547973195445067777,"RT @GRMDAILY : ? @stefflondon &amp; @realdjfrass deliver dancehall vibes in lit ""Sweet Bounce"" visuals

https://t.co/XuMHHBotFf",1DON,stefflondon,2022-07-15T15:55:44.000Z,Fri Jul 15 15:55:44 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://bit.ly/3PqKXx3 ,0,2,,,,,
1546934672063709185,If I text you this “?” just know I got a trick 4 your a$$,1DON,stefflondon,2022-07-12T19:09:01.000Z,Tue Jul 12 19:09:01 +0000 2022,454,41,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1545058610341851141,Im actually a workaholic and I think im only realising it now. I thank God for giving me the drive and determination I have. Everything I achieve big or small is a blessing to me always. I take nothing for granted.,1DON,stefflondon,2022-07-07T14:54:13.000Z,Thu Jul 07 14:54:13 +0000 2022,538,54,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1545058005917388801,Be at peace with yourself because thats the person you have to live with every day.,1DON,stefflondon,2022-07-07T14:51:49.000Z,Thu Jul 07 14:51:49 +0000 2022,861,173,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1543987865453043715,Shot and Wine w/ “Seanda Paul so mi go so then” https://t.co/u9TcaMpKEn,1DON,stefflondon,2022-07-04T15:59:27.000Z,Mon Jul 04 15:59:27 +0000 2022,13731,2295,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1543987694455365634/pu/pl/eEElsxH0Q5btTq_7.m3u8?tag=12&container=fmp4,,,
1543608112980103168,https://t.co/EySzvqu56t,1DON,stefflondon,2022-07-03T14:50:27.000Z,Sun Jul 03 14:50:27 +0000 2022,21620,1825,zxx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FWv_ZLkXgAIOdVD.jpg,https://pbs.twimg.com/media/FWv_ZLlXEAEFwYN.jpg,https://pbs.twimg.com/media/FWv_ZLrXwAEA02G.jpg,https://pbs.twimg.com/media/FWv_ZLiWYAEcMOh.jpg
1543562168980963328,I ?? you Germany! ?? https://t.co/duY6P9w2IN,1DON,stefflondon,2022-07-03T11:47:53.000Z,Sun Jul 03 11:47:53 +0000 2022,7753,537,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FWvVm65WYAA4XPx.jpg,https://pbs.twimg.com/media/FWvVm7OXoAARvT3.jpg,https://pbs.twimg.com/media/FWvVm8WWQAEkBRM.jpg,https://pbs.twimg.com/media/FWvVm83XgAAjima.jpg
1543557063313424384,RT @_F_4_ever : Move de Stefflon ?,1DON,stefflondon,2022-07-03T11:27:36.000Z,Sun Jul 03 11:27:36 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1543556776565641221,RT @bestflow203 : Stefflon Don had Germany going Up,1DON,stefflondon,2022-07-03T11:26:28.000Z,Sun Jul 03 11:26:28 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1542552459666677764,August 5th we go up! ???????? https://t.co/4YIzL35LGE,1DON,stefflondon,2022-06-30T16:55:40.000Z,Thu Jun 30 16:55:40 +0000 2022,202,22,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/CalvinHarris/status/1542195163996487682 ,0,0,,,,,
1541838991477116930,I ?? You Rotterdam ! ??? https://t.co/DKrOMijf4m,1DON,stefflondon,2022-06-28T17:40:36.000Z,Tue Jun 28 17:40:36 +0000 2022,15556,1183,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FWW2YwxX0AAg3Rh.jpg,https://pbs.twimg.com/media/FWW2YwvXEAIOdVS.jpg,https://pbs.twimg.com/media/FWW2YxRXgAAQ3Jo.jpg,https://pbs.twimg.com/media/FWW2Yy7XwAMpPiB.jpg
1537111101250347009,https://t.co/mV0yr7Ck7K,1DON,stefflondon,2022-06-15T16:33:39.000Z,Wed Jun 15 16:33:39 +0000 2022,37252,5429,zxx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1537111023206940673/pu/vid/480x1038/XmWHFb0jSveSZXnz.mp4?tag=12,,,
1533183624958328833,RT @dasouthC : Stefflon don - I'm happy for her #PlatinumPartyatthePalace,1DON,stefflondon,2022-06-04T20:27:16.000Z,Sat Jun 04 20:27:16 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,,,,,
1533183482402332673,RT @nursedoubled : I wonder what The Queens favourite Stefflon Don song is #PlatinumPartyatthePalace,1DON,stefflondon,2022-06-04T20:26:42.000Z,Sat Jun 04 20:26:42 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,,,,,
1533183424575438849,RT @Aatine1 : See my Stefflon Don? https://t.co/AEYVSCGEf8,1DON,stefflondon,2022-06-04T20:26:28.000Z,Sat Jun 04 20:26:28 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://twitter.com/RoyalFamily/status/1533076078616625152 ,0,0,,,,,
1533183157855559686,Not Yorubashment ? https://t.co/gB1VO2wxjK,1DON,stefflondon,2022-06-04T20:25:24.000Z,Sat Jun 04 20:25:24 +0000 2022,229,15,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/Amirah_J/status/1533153066442178560 ,0,0,,,,,
1533182992243380225,RT @conormckenna101 : Stefflon Don tearing IT UP ?? #PlatinumPartyatthePalace Demi would’ve slayed if she had been there too.,1DON,stefflondon,2022-06-04T20:24:45.000Z,Sat Jun 04 20:24:45 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,,,,,
1533182932113936388,RT @MellmanKeano : Mad how the queen is currently watching stefflon don,1DON,stefflondon,2022-06-04T20:24:30.000Z,Sat Jun 04 20:24:30 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1533014683271188481,"I thank God every day for making me the woman I am. All I do is work, take care of my family, keep it real with anyone that comes my way and give back to people in need. My true dream is to help as many people as I can before my time is up.",1DON,stefflondon,2022-06-04T09:15:57.000Z,Sat Jun 04 09:15:57 +0000 2022,2691,307,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1531035092767883265,Rest in peace my brother Sidhu moose wala … thanks for everything! ???? https://t.co/75OjNP4yti,1DON,stefflondon,2022-05-29T22:09:46.000Z,Sun May 29 22:09:46 +0000 2022,10189,862,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FT9UTInWQAAX8yO.jpg,,,
1530904454656053248,Someone tell me whats going on with Sidhu ?,1DON,stefflondon,2022-05-29T13:30:39.000Z,Sun May 29 13:30:39 +0000 2022,936,51,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1530889306214223875,https://t.co/mGoGQaDYUb,1DON,stefflondon,2022-05-29T12:30:27.000Z,Sun May 29 12:30:27 +0000 2022,684,70,zxx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,video,https://video.twimg.com/ext_tw_video/1530889088445956101/pu/vid/540x540/Mj2QxxZLgDvTd5Qw.mp4?tag=12,,,
