Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,
1539659312515391489,dinner dates with olivia rodrigo &amp; hailee  steinfeld https://t.co/AaurSPTiCi,hailivia thinker ?,thinkerhailivia,2022-06-22T17:19:20.000Z,Wed Jun 22 17:19:20 +0000 2022,74,10,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FV33-5zXEAEHRnV.jpg,https://pbs.twimg.com/media/FV33-5yXwAIi5wT.jpg,
1538975429926834176,the aesthetic of hailee steinfeld &amp; olivia rodrigo on stage https://t.co/YOJApTqiyu,hailivia thinker ?,thinkerhailivia,2022-06-20T20:01:49.000Z,Mon Jun 20 20:01:49 +0000 2022,38,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVuJ_sPWAAA_qSU.jpg,https://pbs.twimg.com/media/FVuJ_sNXEAE_zgz.jpg,
1537951072643231744,hailee steinfeld &amp; olivia rodrigo in silver https://t.co/46rsSF0Bdz,hailivia thinker ?,thinkerhailivia,2022-06-18T00:11:24.000Z,Sat Jun 18 00:11:24 +0000 2022,43,9,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVfmV2GUEAA_Ue0.jpg,https://pbs.twimg.com/media/FVfmV2LUUAIxH1_.jpg,
1536856205263519744,happy pride month from hailee steinfeld &amp; olivia rodrigo &lt;3 https://t.co/0Xge7slu9r,hailivia thinker ?,thinkerhailivia,2022-06-14T23:40:47.000Z,Tue Jun 14 23:40:47 +0000 2022,92,9,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FVQCkofWUAEaNaZ.jpg,https://pbs.twimg.com/media/FVQCkocXsAEJfqS.jpg,
1531391135712784395,hailee steinfeld &amp; olivia rodrigo in front of mirrors https://t.co/2e6HPvRRTG,hailivia thinker ?,thinkerhailivia,2022-05-30T21:44:33.000Z,Mon May 30 21:44:33 +0000 2022,21,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FUCYHsWWQAY6uL1.jpg,https://pbs.twimg.com/media/FUCYHsWX0AELiFI.jpg,
1530683288167251969,hailee steinfeld &amp; olivia rodrigo wearing red https://t.co/KGy3ZVrAlY,hailivia thinker ?,thinkerhailivia,2022-05-28T22:51:49.000Z,Sat May 28 22:51:49 +0000 2022,50,5,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FT4UVe2XwAI1aaI.jpg,https://pbs.twimg.com/media/FT4UVe2XwAA-s5N.jpg,
1529166113933869058,olivia's picture credit to the owner &lt;3,hailivia thinker ?,thinkerhailivia,2022-05-24T18:23:06.000Z,Tue May 24 18:23:06 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,0,,,,
1529166031683469313,hailee steinfeld &amp; olivia rodrigo on film ? https://t.co/nw5skymCGB,hailivia thinker ?,thinkerhailivia,2022-05-24T18:22:47.000Z,Tue May 24 18:22:47 +0000 2022,37,3,et,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FTiwZkiWUAUKm6j.jpg,https://pbs.twimg.com/media/FTiwZkwXEAIEsaw.jpg,
1528131357305716745,"olivia rodrigo &amp; hailee steinfeld with the iconic sour face stickers

happy #1YearofSOUR &lt;3 https://t.co/8VVAgIzBLU",hailivia thinker ?,thinkerhailivia,2022-05-21T21:51:21.000Z,Sat May 21 21:51:21 +0000 2022,41,6,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FTUDXmyWYAAg7VR.jpg,https://pbs.twimg.com/media/FTUDXmyWIAInrsZ.jpg,
1527422726813761546,hailee steinfeld &amp; olivia rodrigo's mirror selfies &gt;&gt; https://t.co/Vw4ucwFkVs,hailivia thinker ?,thinkerhailivia,2022-05-19T22:55:30.000Z,Thu May 19 22:55:30 +0000 2022,34,7,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/FTJ-34RXwAMd7rF.jpg,https://pbs.twimg.com/media/FTJ-34SXwBEWmiZ.jpg,
