Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs
1532117896066785280,@PoDiddy 😭😭,Angelic Montero,ThisIsAngelic,2022-06-01T21:52:26.000Z,Wed Jun 01 21:52:26 +0000 2022,0,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,
1532117785773367296,"tbh ion even trust people, i just let their actions speak for themselves",Angelic Montero,ThisIsAngelic,2022-06-01T21:52:00.000Z,Wed Jun 01 21:52:00 +0000 2022,12,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,
1532113148609585152,life is crazy but ima just focus on the good parts 😝🙌🏽🖤🖤,Angelic Montero,ThisIsAngelic,2022-06-01T21:33:34.000Z,Wed Jun 01 21:33:34 +0000 2022,11,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,
1532112049697718272,i’m probably one of the most out there that stay untouched.,Angelic Montero,ThisIsAngelic,2022-06-01T21:29:12.000Z,Wed Jun 01 21:29:12 +0000 2022,10,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,
1519481784315957249,NA NA NA @Camila_Cabello  @MYKETOWERS https://t.co/ewMTXOtltI,Angelic Montero,ThisIsAngelic,2022-04-28T01:01:02.000Z,Thu Apr 28 01:01:02 +0000 2022,22,3,tl,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,2,video,https://video.twimg.com/ext_tw_video/1519481604246097922/pu/vid/480x852/Xb__G6C6iuPZ3pw1.mp4?tag=12
1518690931922247680,Hello @elonmusk 👋🏼💼,Angelic Montero,ThisIsAngelic,2022-04-25T20:38:28.000Z,Mon Apr 25 20:38:28 +0000 2022,14,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,,
1518690373974970368,@samedinaArt wow this is amazing  never stop,Angelic Montero,ThisIsAngelic,2022-04-25T20:36:15.000Z,Mon Apr 25 20:36:15 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,
1518689475508932608,"@elonmusk Been here 10 years, since I was 10y and we definitely need more tools and #FreeSpeech let’s go #ElonMuskBuyTwitter 👏🏼 https://t.co/YG6WEFGpMY",Angelic Montero,ThisIsAngelic,2022-04-25T20:32:41.000Z,Mon Apr 25 20:32:41 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,2,1,photo,https://pbs.twimg.com/media/FRN4Bt0UUAYbf1r.jpg
1518687575346622464,@elonmusk 👏🏼👏🏼,Angelic Montero,ThisIsAngelic,2022-04-25T20:25:08.000Z,Mon Apr 25 20:25:08 +0000 2022,2,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,
1515384524028272641,My Music video ft. @BABYKAELY is out on @YouTube !! go and check us out repost and tag us to get repost ♥️ https://t.co/yiMqlhcMs5 https://t.co/jmstM4VlNa,Angelic Montero,ThisIsAngelic,2022-04-16T17:39:59.000Z,Sat Apr 16 17:39:59 +0000 2022,25,4,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://youtu.be/qBq372PM46M ,0,2,video,https://video.twimg.com/ext_tw_video/1515384475051433984/pu/vid/320x400/QI3-5srnBBmUU2mv.mp4?tag=12
