Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1553309676468592641,RT @sweeettneer : Slut isn't even a bad word,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T09:21:00.000Z,Sat Jul 30 09:21:00 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1553309657413844992,RT @roomforletters : last european chromatica ball show today ???? big tears :(,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T09:20:56.000Z,Sat Jul 30 09:20:56 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1553296623329054722,@satansbuttcrvck Yeah ?? https://t.co/Zh0a67twwh,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T08:29:08.000Z,Sat Jul 30 08:29:08 +0000 2022,2,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,photo,https://pbs.twimg.com/media/FY5rCxaWQAIhZNU.jpg,,,
1553280912942661632,RT @tayslittlesis13 : today is gaga’s last europe show i‘m not ready for this:((,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T07:26:42.000Z,Sat Jul 30 07:26:42 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1553251051737948161,RT @iansgaga : Twitter is so boring when Gaga isn’t active,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T05:28:03.000Z,Sat Jul 30 05:28:03 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1553231020924850177,RT @SpursStadium : The Little Monsters are here ? https://t.co/OlBGZNCJav,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T04:08:27.000Z,Sat Jul 30 04:08:27 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FY2ia9YWIBEt-k7.jpg,,,
1553230232596930566,RT @alluregaga2 : Gaga and her mom Cynthia smiling at each other during her #ChromaticaBall show in London?? https://t.co/0BScU6sQnp,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T04:05:19.000Z,Sat Jul 30 04:05:19 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FY3uKDeVQAA0qQD.jpg,,,
1553225981606903808,RT @PrincessDieNYC : Tomorrow’s the last show… I’m not mentally prepared,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T03:48:26.000Z,Sat Jul 30 03:48:26 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1553222114181881861,RT @PrincessDieNYC : BEST FUCKING CONCERT,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T03:33:04.000Z,Sat Jul 30 03:33:04 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1553222049618870275,@xoxo_BLOOP @LadyGagaSlay28 The lost ?? No,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T03:32:48.000Z,Sat Jul 30 03:32:48 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1553221941800091648,RT @gabilovesgaga : I’m not crying u are! https://t.co/bYnZWoN7yp,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T03:32:23.000Z,Sat Jul 30 03:32:23 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FY3p-o0WYAAqTVw.jpg,,,
1553219811173351427,RT @MuhammadSlays : How is this okay? You stan a woman that preaches love &amp; kindness but you tweet a post that screams racism. Disappointed is not even the word. @LMonsterReacts https://t.co/Yb0GaKx2l2,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T03:23:55.000Z,Sat Jul 30 03:23:55 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/FY3yk3pX0AEEWzy.jpg,,,
1553219737013948417,@MuhammadSlays @princejacob_ WTF,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T03:23:37.000Z,Sat Jul 30 03:23:37 +0000 2022,0,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1553218129207218176,Me next week after my #ChromaticaBall holiday is over… https://t.co/OfCNjXCyRY,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T03:17:14.000Z,Sat Jul 30 03:17:14 +0000 2022,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,photo,https://pbs.twimg.com/media/FY4jpziWAAA3ZuT.jpg,,,
1553215563727622144,"So last European show today,I don’t know how I feel about this.. #ChromaticaBall #ChromaticaBallLondon https://t.co/UbAthsX8ec",| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T03:07:02.000Z,Sat Jul 30 03:07:02 +0000 2022,9,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,2,0,photo,https://pbs.twimg.com/media/FY4hUKaXgAE6C_n.jpg,,,
1553191701375815682,20 people followed me and 5 people unfollowed me // automatically checked by https://t.co/Z51EIVusQq,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T01:32:13.000Z,Sat Jul 30 01:32:13 +0000 2022,0,0,en,"<a href=""http://fllwrs.com"" rel=""nofollow"">fllwrs</a>",Tweet,http://fllwrs.com ,0,0,,,,,
1553187323868839938,RT @gagapicturescom : Some things never change #ChromaticaBallLondon https://t.co/ZfS270J3oX,| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T01:14:49.000Z,Sat Jul 30 01:14:49 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FY3Y4uAXoAESCJ8.jpg,https://pbs.twimg.com/media/FY3Y4t_WAAAWe8g.jpg,,
1553171837634240512,"So many people are seeing gaga for the first time during this tour and ever one is falling in love with her,my OG heart is full of love for every new little monster in our community! ??? #ChromaticaBall",| ?????????? ???? ???? 3 |,youknowigotyou_,2022-07-30T00:13:17.000Z,Sat Jul 30 00:13:17 +0000 2022,9,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,,,,,
